"","NumTotalSpecies","NumNewSpecies"
"Acanthococcidae",8,0
"Acanthosomatidae",8,0
"Acartophthalmidae",3,0
"Acerentomidae",1,0
"Achilidae",2,0
"Acrididae",22,0
"Acroceridae",4,0
"Adelgidae",16,0
"Adelidae",21,0
"Aderidae",8,0
"Aeolothripidae",11,0
"Aeshnidae",13,0
"Agromyzidae",318,0
"Agyrtidae",3,0
"Alexiidae",1,0
"Aleyrodidae",12,0
"Alucitidae",3,0
"Alydidae",1,0
"Ameletidae",2,0
"Amphipsocidae",1,0
"Ampulicidae",1,0
"Andrenidae",64,0
"Anisolabididae",1,0
"Anisopodidae",7,0
"Anoeciidae",6,0
"Anthicidae",17,0
"Anthocoridae",35,0
"Anthomyiidae",340,13
"Anthomyzidae",19,0
"Anthribidae",16,0
"Apataniidae",9,0
"Aphalaridae",20,0
"Aphelinidae",36,0
"Aphelocheiridae",1,0
"Aphididae",373,0
"Aphrophoridae",9,0
"Apidae",92,0
"Apionidae",82,0
"Aradidae",21,0
"Argidae",20,0
"Argyresthiidae",27,1
"Arrhopalitidae",4,0
"Artheneidae",1,0
"Asilidae",39,0
"Asteiidae",8,0
"Asterolecaniidae",2,0
"Atelestidae",1,0
"Athericidae",2,0
"Attelabidae",2,0
"Aulacidae",2,0
"Aulacigastridae",2,0
"Autostichidae",3,0
"Azotidae",1,0
"Baetidae",21,0
"Batrachedridae",2,0
"Bedelliidae",1,0
"Beraeidae",4,0
"Berytidae",8,0
"Bethylidae",19,2
"Bibionidae",24,0
"Biphyllidae",2,0
"Blaberidae",5,0
"Blasticotomidae",1,0
"Blastobasidae",4,0
"Blattellidae",4,0
"Blattidae",4,0
"Blissidae",2,0
"Bolboceratidae",1,0
"Bolitophilidae",27,0
"Bombyliidae",21,0
"Borboropsidae",1,0
"Boreidae",2,0
"Boridae",1,0
"Bostrichidae",25,0
"Bothrideridae",5,0
"Bourletiellidae",10,0
"Bovicolidae",9,0
"Brachycentridae",3,0
"Brachystomatidae",5,0
"Brachystomellidae",1,0
"Braconidae",1118,15
"Brahmaeidae",1,0
"Braulidae",1,0
"Bucculatricidae",17,0
"Buprestidae",40,0
"Byrrhidae",16,0
"Byturidae",2,0
"Caeciliusidae",9,0
"Caenidae",7,0
"Caliscelidae",1,0
"Calliphoridae",49,0
"Calopterygidae",2,0
"Camillidae",3,0
"Campichoetidae",3,0
"Campodeidae",5,0
"Canacidae",5,0
"Cantharidae",49,0
"Canthyloscelidae",2,0
"Capniidae",6,0
"Carabidae",367,0
"Carnidae",12,0
"Cecidomyiidae",684,106
"Cephidae",11,0
"Cerambycidae",127,1
