TaxonId;Understam;Ordning;Familj;Art;Vetenskapligt namn;Auktor;Grupp i 2003-rekonstruktion;Status 2003;URL till taxoninformation;Svensk frekomst
4000072;Hexapoda;;;;Hexapoda;;;;https://www.dyntaxa.se/taxon/info/4000072;
3000166;;Collembola;;;Collembola;;;;https://www.dyntaxa.se/taxon/info/3000166;
2000833;;;Poduridae;;Poduridae;;;;https://www.dyntaxa.se/taxon/info/2000833;
244433;;;;Podura aquatica;Podura aquatica;Linnaeus, 1758;;;https://www.dyntaxa.se/taxon/info/244433;Bofast och reproducerande
2000834;;;Hypogastruridae;;Hypogastruridae;;;;https://www.dyntaxa.se/taxon/info/2000834;
244439;;;;Choreutinula inermis;Choreutinula inermis;(Tullberg, 1871);;;https://www.dyntaxa.se/taxon/info/244439;Bofast och reproducerande
244440;;;;Choreutinula kulla;Choreutinula kulla;Fjellberg, 2007;;;https://www.dyntaxa.se/taxon/info/244440;Bofast och reproducerande
244445;;;;Schoettella ununguiculata;Schoettella ununguiculata;(Tullberg, 1869);;;https://www.dyntaxa.se/taxon/info/244445;Bofast och reproducerande
244448;;;;Hypogastrura tullbergi;Hypogastrura tullbergi;(Schäffer, 1900);;;https://www.dyntaxa.se/taxon/info/244448;Bofast och reproducerande
244450;;;;Hypogastrura concolor;Hypogastrura concolor;(Carpenter, 1900);;;https://www.dyntaxa.se/taxon/info/244450;Bofast och reproducerande
244451;;;;Hypogastrura sensilis;Hypogastrura sensilis;(Folsom, 1919);;;https://www.dyntaxa.se/taxon/info/244451;Bofast och reproducerande
244453;;;;Hypogastrura litoralis;Hypogastrura litoralis;(Axelson, 1907);;;https://www.dyntaxa.se/taxon/info/244453;Bofast och reproducerande
244454;;;;Hypogastrura viatica;Hypogastrura viatica;(Tullberg, 1872);;;https://www.dyntaxa.se/taxon/info/244454;Bofast och reproducerande
244455;;;;Hypogastrura arctandria;Hypogastrura arctandria;Fjellberg, 1988;;;https://www.dyntaxa.se/taxon/info/244455;Bofast och reproducerande
244456;;;;Hypogastrura assimilis;Hypogastrura assimilis;Krausbauer, 1898;;;https://www.dyntaxa.se/taxon/info/244456;Bofast och reproducerande
244457;;;;Hypogastrura neglecta;Hypogastrura neglecta;(Börner, 1901);;;https://www.dyntaxa.se/taxon/info/244457;Bofast och reproducerande
244463;;;;Hypogastrura serrata;Hypogastrura serrata;(Ågren, 1904);;;https://www.dyntaxa.se/taxon/info/244463;Bofast och reproducerande
244464;;;;Hypogastrura gisini;Hypogastrura gisini;Strenzke, 1954;;;https://www.dyntaxa.se/taxon/info/244464;Bofast och reproducerande
244465;;;;Hypogastrura manubrialis;Hypogastrura manubrialis;(Tullberg, 1869);;;https://www.dyntaxa.se/taxon/info/244465;Bofast och reproducerande
244466;;;;Hypogastrura vernalis;Hypogastrura vernalis;(Carl, 1901);;;https://www.dyntaxa.se/taxon/info/244466;Bofast och reproducerande
244467;;;;Hypogastrura purpurescens;Hypogastrura purpurescens;(Lubbock, 1867);;;https://www.dyntaxa.se/taxon/info/244467;Bofast och reproducerande
244469;;;;Hypogastrura distincta;Hypogastrura distincta;(Axelson, 1902);;;https://www.dyntaxa.se/taxon/info/244469;Bofast och reproducerande
244471;;;;Hypogastrura socialis;Hypogastrura socialis;(Uzel, 1891);;;https://www.dyntaxa.se/taxon/info/244471;Bofast och reproducerande
244473;;;;Hypogastrura sahlbergi;Hypogastrura sahlbergi;(Reuter, 1895);;;https://www.dyntaxa.se/taxon/info/244473;Bofast och reproducerande
244475;;;;Hypogastrura lapponica;Hypogastrura lapponica;(Axelson, 1902);;;https://www.dyntaxa.se/taxon/info/244475;Bofast och reproducerande
6004625;;;;Hypogastrura franconiana;Hypogastrura franconiana;(Stach, 1945);;;https://www.dyntaxa.se/taxon/info/6004625;Bofast och reproducerande
244477;;;;Ceratophysella longispina;Ceratophysella longispina;(Tullberg, 1876);;;https://www.dyntaxa.se/taxon/info/244477;Bofast och reproducerande
244478;;;;Ceratophysella granulata;Ceratophysella granulata;Stach, 1949;;;https://www.dyntaxa.se/taxon/info/244478;Bofast och reproducerande
244480;;;;Ceratophysella scotica;Ceratophysella scotica;(Carpenter & Evans, 1899);;;https://www.dyntaxa.se/taxon/info/244480;Bofast och reproducerande
244481;;;;Ceratophysella bengtssoni;Ceratophysella bengtssoni;(Ågren, 1904);;;https://www.dyntaxa.se/taxon/info/244481;Bofast och reproducerande
244486;;;;Ceratophysella denticulata;Ceratophysella denticulata;(Bagnall, 1941);;;https://www.dyntaxa.se/taxon/info/244486;Bofast och reproducerande
244487;;;;Ceratophysella engadinensis;Ceratophysella engadinensis;(Gisin, 1949);;;https://www.dyntaxa.se/taxon/info/244487;Bofast och reproducerande
244488;;;;Ceratophysella succinea;Ceratophysella succinea;Gisin, 1949;;;https://www.dyntaxa.se/taxon/info/244488;Bofast och reproducerande
244489;;;;Ceratophysella gibbosa;Ceratophysella gibbosa;(Bagnall, 1940);;;https://www.dyntaxa.se/taxon/info/244489;Bofast och reproducerande
248595;;;;Ceratophysella armata;Ceratophysella armata;(Nicolet, 1842);;;https://www.dyntaxa.se/taxon/info/248595;Bofast och reproducerande
244493;;;;Schaefferia willemi;Schaefferia willemi;(Bonet, 1930);;;https://www.dyntaxa.se/taxon/info/244493;Bofast och reproducerande
244494;;;;Bonetogastrura variabilis;Bonetogastrura variabilis;Christiansen, 1951;;;https://www.dyntaxa.se/taxon/info/244494;Bofast och reproducerande
244495;;;;Bonetogastrura nivalis;Bonetogastrura nivalis;(Martynova, 1973);;;https://www.dyntaxa.se/taxon/info/244495;Bofast och reproducerande
244496;;;;Mesogastrura libyca;Mesogastrura libyca;(Caroli, 1914);;;https://www.dyntaxa.se/taxon/info/244496;Bofast och reproducerande
244497;;;;Mesachorutes quadriocellatus;Mesachorutes quadriocellatus;Absolon, 1900;;;https://www.dyntaxa.se/taxon/info/244497;Bofast och reproducerande
244498;;;;Xenylla humicola;Xenylla humicola;(Fabricius, 1780);;;https://www.dyntaxa.se/taxon/info/244498;Bofast och reproducerande
244499;;;;Xenylla mucronata;Xenylla mucronata;Axelson, 1903;;;https://www.dyntaxa.se/taxon/info/244499;Bofast och reproducerande
244519;;;;Xenylla boerneri;Xenylla boerneri;Axelson, 1905;;;https://www.dyntaxa.se/taxon/info/244519;Bofast och reproducerande
244520;;;;Xenylla acauda;Xenylla acauda;Gisin, 1947;;;https://www.dyntaxa.se/taxon/info/244520;Bofast och reproducerande
244521;;;;Xenylla tullbergi;Xenylla tullbergi;Börner, 1903;;;https://www.dyntaxa.se/taxon/info/244521;Bofast och reproducerande
244522;;;;Xenylla brevicauda;Xenylla brevicauda;Tullberg, 1869;;;https://www.dyntaxa.se/taxon/info/244522;Bofast och reproducerande
244523;;;;Xenylla maritima;Xenylla maritima;Tullberg, 1869;;;https://www.dyntaxa.se/taxon/info/244523;Bofast och reproducerande
244524;;;;Xenylla xavieri;Xenylla xavieri;Gama, 1959;;;https://www.dyntaxa.se/taxon/info/244524;Bofast och reproducerande
244525;;;;Xenylla mediterranea;Xenylla mediterranea;Gama, 1964;;;https://www.dyntaxa.se/taxon/info/244525;Bofast och reproducerande
244526;;;;Xenylla corticalis;Xenylla corticalis;Börner, 1901;;;https://www.dyntaxa.se/taxon/info/244526;Bofast och reproducerande
244527;;;;Xenylla grisea;Xenylla grisea;Axelson, 1900;;;https://www.dyntaxa.se/taxon/info/244527;Bofast och reproducerande
244528;;;;Willemia anophthalma;Willemia anophthalma;Börner, 1901;;;https://www.dyntaxa.se/taxon/info/244528;Bofast och reproducerande
244529;;;;Willemia intermedia;Willemia intermedia;Mills, 1934;;;https://www.dyntaxa.se/taxon/info/244529;Bofast och reproducerande
244530;;;;Willemia similis;Willemia similis;Mills, 1934;;;https://www.dyntaxa.se/taxon/info/244530;Bofast och reproducerande
244531;;;;Willemia scandinavica;Willemia scandinavica;Stach, 1949;;;https://www.dyntaxa.se/taxon/info/244531;Bofast och reproducerande
244532;;;;Willemia denisi;Willemia denisi;Mills, 1932;;;https://www.dyntaxa.se/taxon/info/244532;Bofast och reproducerande
244533;;;;Willemia multilobata;Willemia multilobata;Gers & Deharveng, 1985;;;https://www.dyntaxa.se/taxon/info/244533;Bofast och reproducerande
244534;;;;Willemia unispina;Willemia unispina;Fjellberg, 2007;;;https://www.dyntaxa.se/taxon/info/244534;Bofast och reproducerande
6004627;;;;Paraxenylla norvegica;Paraxenylla norvegica;Fjellberg, 2010;;;https://www.dyntaxa.se/taxon/info/6004627;Bofast och reproducerande
2000835;;;Brachystomellidae;;Brachystomellidae;;;;https://www.dyntaxa.se/taxon/info/2000835;
244535;;;;Brachystomella parvula;Brachystomella parvula;(Schäffer, 1896);;;https://www.dyntaxa.se/taxon/info/244535;Bofast och reproducerande
2000836;;;Neanuridae;;Neanuridae;;;;https://www.dyntaxa.se/taxon/info/2000836;
244536;;;;Friesea mirabilis;Friesea mirabilis;(Tullberg, 1871);;;https://www.dyntaxa.se/taxon/info/244536;Bofast och reproducerande
244537;;;;Friesea truncata;Friesea truncata;Cassagnau, 1958;;;https://www.dyntaxa.se/taxon/info/244537;Bofast och reproducerande
244538;;;;Friesea claviseta;Friesea claviseta;Axelson, 1900;;;https://www.dyntaxa.se/taxon/info/244538;Bofast och reproducerande
244539;;;;Friesea baltica;Friesea baltica;Szeptycki, 1964;;;https://www.dyntaxa.se/taxon/info/244539;Bofast och reproducerande
244540;;;;Friesea danica;Friesea danica;Fjellberg, 1998;;;https://www.dyntaxa.se/taxon/info/244540;Bofast och reproducerande
244541;;;;Friesea quinquespinosa;Friesea quinquespinosa;Wahlgren, 1900;;;https://www.dyntaxa.se/taxon/info/244541;Bofast och reproducerande
244542;;;;Friesea sublimis;Friesea sublimis;Macnamara, 1921;;;https://www.dyntaxa.se/taxon/info/244542;Bofast och reproducerande
244543;;;;Pseudachorutella asigillata;Pseudachorutella asigillata;(Börner, 1901);;;https://www.dyntaxa.se/taxon/info/244543;Bofast och reproducerande
248596;;;;Pseudachorutella remyi;Pseudachorutella remyi;(Denis, 1933);;;https://www.dyntaxa.se/taxon/info/248596;Bofast och reproducerande
244544;;;;Pseudachorutes dubius;Pseudachorutes dubius;Krausbauer, 1898;;;https://www.dyntaxa.se/taxon/info/244544;Bofast och reproducerande
244545;;;;Pseudachorutes subcrassus;Pseudachorutes subcrassus;Tullberg, 1871;;;https://www.dyntaxa.se/taxon/info/244545;Bofast och reproducerande
244546;;;;Pseudachorutes parvulus;Pseudachorutes parvulus;Börner, 1901;;;https://www.dyntaxa.se/taxon/info/244546;Bofast och reproducerande
244547;;;;Pseudachorutes boerneri;Pseudachorutes boerneri;Schött, 1902;;;https://www.dyntaxa.se/taxon/info/244547;Bofast och reproducerande
244548;;;;Pseudachorutes corticicola;Pseudachorutes corticicola;(Schäffer, 1896);;;https://www.dyntaxa.se/taxon/info/244548;Bofast och reproducerande
244549;;;;Pratanurida cassagnaui;Pratanurida cassagnaui;Rusek, 1973;;;https://www.dyntaxa.se/taxon/info/244549;Bofast och reproducerande
244550;;;;Micranurida granulata;Micranurida granulata;(Agrell, 1943);;;https://www.dyntaxa.se/taxon/info/244550;Bofast och reproducerande
244551;;;;Micranurida pygmaea;Micranurida pygmaea;Börner, 1901;;;https://www.dyntaxa.se/taxon/info/244551;Bofast och reproducerande
244552;;;;Micranurida balta;Micranurida balta;Fjellberg, 1998;;;https://www.dyntaxa.se/taxon/info/244552;Bofast och reproducerande
244553;;;;Micranurida sensillata;Micranurida sensillata;(Gisin, 1953);;;https://www.dyntaxa.se/taxon/info/244553;Bofast och reproducerande
244554;;;;Micranurida forsslundi;Micranurida forsslundi;Gisin, 1949;;;https://www.dyntaxa.se/taxon/info/244554;Bofast och reproducerande
244555;;;;Micranurida anophthalmica;Micranurida anophthalmica;Stach, 1949;;;https://www.dyntaxa.se/taxon/info/244555;Bofast och reproducerande
244556;;;;Anuridella marina;Anuridella marina;Willem, 1906;;;https://www.dyntaxa.se/taxon/info/244556;Bofast och reproducerande
244557;;;;Anuridella submarina;Anuridella submarina;Bagnall, 1934;;;https://www.dyntaxa.se/taxon/info/244557;Bofast och reproducerande
244558;;;;Anuridella immsiana;Anuridella immsiana;Bagnall, 1939;;;https://www.dyntaxa.se/taxon/info/244558;Bofast och reproducerande
248597;;;;Anuridella germanica;Anuridella germanica;(Gisin, 1951);;;https://www.dyntaxa.se/taxon/info/248597;Bofast och reproducerande
244559;;;;Anurida ellipsoides;Anurida ellipsoides;Stach, 1949;;;https://www.dyntaxa.se/taxon/info/244559;Bofast och reproducerande
244560;;;;Anurida uniformis;Anurida uniformis;Gisin, 1953;;;https://www.dyntaxa.se/taxon/info/244560;Bofast och reproducerande
244561;;;;Anurida denisi;Anurida denisi;Bagnall, 1939;;;https://www.dyntaxa.se/taxon/info/244561;Bofast och reproducerande
244562;;;;Anurida maritima;Anurida maritima;(Guérin, 1836);;;https://www.dyntaxa.se/taxon/info/244562;Bofast och reproducerande
244563;;;;Anurida granaria;Anurida granaria;(Nicolet, 1847);;;https://www.dyntaxa.se/taxon/info/244563;Bofast och reproducerande
244564;;;;Anurida thalassophila;Anurida thalassophila;(Bagnall, 1939);;;https://www.dyntaxa.se/taxon/info/244564;Bofast och reproducerande
244565;;;;Anurida polaris;Anurida polaris;(Hammer, 1954);;;https://www.dyntaxa.se/taxon/info/244565;Bofast och reproducerande
244566;;;;Anurida alpina;Anurida alpina;Agrell, 1939;;;https://www.dyntaxa.se/taxon/info/244566;Bofast och reproducerande
244567;;;;Anurida tullbergi;Anurida tullbergi;Schött, 1891;;;https://www.dyntaxa.se/taxon/info/244567;Bofast och reproducerande
244568;;;;Paranura sexpunctata;Paranura sexpunctata;Axelson, 1902;;;https://www.dyntaxa.se/taxon/info/244568;Bofast och reproducerande
244569;;;;Deutonura stachi;Deutonura stachi;(Gisin, 1952);;;https://www.dyntaxa.se/taxon/info/244569;Bofast och reproducerande
244570;;;;Neanura muscorum;Neanura muscorum;(Templeton, 1835);;;https://www.dyntaxa.se/taxon/info/244570;Bofast och reproducerande
244571;;;;Neanura reticulata;Neanura reticulata;Axelson, 1905;;;https://www.dyntaxa.se/taxon/info/244571;Bofast och reproducerande
244572;;;;Neanura coronifera;Neanura coronifera;Axelson, 1905;;;https://www.dyntaxa.se/taxon/info/244572;Bofast och reproducerande
6004629;;;;Thaumanura carolii;Thaumanura carolii;(Stach, 1920);;;https://www.dyntaxa.se/taxon/info/6004629;Bofast och reproducerande
2000837;;;Odontellidae;;Odontellidae;;;;https://www.dyntaxa.se/taxon/info/2000837;
244573;;;;Xenyllodes armatus;Xenyllodes armatus;Axelson, 1903;;;https://www.dyntaxa.se/taxon/info/244573;Bofast och reproducerande
6004630;;;;Xenyllodes psammo;Xenyllodes psammo;Fjellberg, 2009;;;https://www.dyntaxa.se/taxon/info/6004630;Bofast och reproducerande
244574;;;;Axenyllodes echinatus;Axenyllodes echinatus;Fjellberg, 1988;;;https://www.dyntaxa.se/taxon/info/244574;Bofast och reproducerande
244575;;;;Pseudostachia populosa;Pseudostachia populosa;(Selga, 1963);;;https://www.dyntaxa.se/taxon/info/244575;Bofast och reproducerande
244576;;;;Odontella lamellifer;Odontella lamellifer;(Axelson, 1903);;;https://www.dyntaxa.se/taxon/info/244576;Bofast och reproducerande
2000838;;;Onychiuridae;;Onychiuridae;;;;https://www.dyntaxa.se/taxon/info/2000838;
244577;;;;Archaphorura serratotuberculata;Archaphorura serratotuberculata;(Stach, 1933);;;https://www.dyntaxa.se/taxon/info/244577;Bofast och reproducerande
244578;;;;Micraphorura absoloni;Micraphorura absoloni;(Börner, 1901);;;https://www.dyntaxa.se/taxon/info/244578;Bofast och reproducerande
244579;;;;Oligaphorura groenlandica;Oligaphorura groenlandica;(Tullberg, 1876);;;https://www.dyntaxa.se/taxon/info/244579;Bofast och reproducerande
244580;;;;Oligaphorura schoetti;Oligaphorura schoetti;(Lie Pettersen, 1896);;;https://www.dyntaxa.se/taxon/info/244580;Bofast och reproducerande
244581;;;;Oligaphorura ursi;Oligaphorura ursi;(Fjellberg, 1984);;;https://www.dyntaxa.se/taxon/info/244581;Bofast och reproducerande
