"Order" "Family.level.unit..PESI." "Main.feeding.niche" "Main.feeding.habitat"
"1" "Archaeognatha" "Machilidae" "Saprophagous" "Soil"
"2" "Coleoptera" "Acanthocnemidae" "Predator" "Wood"
"3" "Coleoptera" "Aderidae" "Saprophagous" "Wood"
"4" "Coleoptera" "Aegialiidae" "Saprophagous" "Soil"
"5" "Coleoptera" "Agyrtidae" "Saprophagous" "Soil"
"6" "Coleoptera" "Aleocharinae" "Predator" "Soil"
"7" "Coleoptera" "Alexiidae" "Saprophagous" "Fungi"
"8" "Coleoptera" "Anobiidae" "Phytophagous" "Wood"
"9" "Coleoptera" "Anthicidae" "Saprophagous" "Soil"
"10" "Coleoptera" "Anthribidae" "Phytophagous" "Plants"
"11" "Coleoptera" "Aphodiidae" "Saprophagous" "Temporary.habitats"
"12" "Coleoptera" "Apionidae" "Phytophagous" "Plants"
"13" "Coleoptera" "Artematopodidae" "Saprophagous" "Soil"
"14" "Coleoptera" "Attelabidae" "Phytophagous" "Plants"
"15" "Coleoptera" "Biphyllidae" "Saprophagous" "Fungi"
"16" "Coleoptera" "Boridae" "Saprophagous" "Wood"
"17" "Coleoptera" "Bostrichidae" "Phytophagous" "Wood"
"18" "Coleoptera" "Bothrideridae" "Predator" "Wood"
"19" "Coleoptera" "Brachyceridae" "Phytophagous" "Plants"
"20" "Coleoptera" "Brentidae" "Phytophagous" "Plants"
"21" "Coleoptera" "Buprestidae" "Phytophagous" "Wood"
"22" "Coleoptera" "Byrrhidae" "Phytophagous" "Plants"
"23" "Coleoptera" "Byturidae" "Phytophagous" "Plants"
"24" "Coleoptera" "Cantharidae" "Predator" "Soil"
"25" "Coleoptera" "Carabidae" "Predator" "Soil"
"26" "Coleoptera" "Cerambycidae" "Phytophagous" "Wood"
"27" "Coleoptera" "Cerophytidae" "Saprophagous" "Wood"
"28" "Coleoptera" "Cerylonidae" "Saprophagous" "Wood"
"29" "Coleoptera" "Cetoniidae" "Saprophagous" "Wood"
"30" "Coleoptera" "Chrysomelidae" "Phytophagous" "Plants"
"31" "Coleoptera" "Ciidae" "Saprophagous" "Fungi"
"32" "Coleoptera" "Clambidae" "Saprophagous" "Soil"
"33" "Coleoptera" "Cleridae" "Predator" "Wood"
"34" "Coleoptera" "Coccinellidae" "Predator" "Plants"
"35" "Coleoptera" "Corylophidae" "Saprophagous" "Soil"
"36" "Coleoptera" "Crowsoniellidae" NA "Soil"
"37" "Coleoptera" "Cryptophagidae" "Saprophagous" "Soil"
"38" "Coleoptera" "Cucujidae" "Saprophagous" "Wood"
"39" "Coleoptera" "Curculionidae" "Phytophagous" "Plants"
"40" "Coleoptera" "Cybocephalidae" "Predator" "Plants"
"41" "Coleoptera" "Dascillidae" "Saprophagous" "Soil"
"42" "Coleoptera" "Dasycerinae" "Saprophagous" "Soil"
"43" "Coleoptera" "Dasytidae" "Predator" "Wood"
"44" "Coleoptera" "Dermestidae" "Saprophagous" "Temporary.habitats"
"45" "Coleoptera" "Derodontidae" "Phytophage.parasitoid" "Plants"
"46" "Coleoptera" "Drilidae" "Predator" "Soil"
"47" "Coleoptera" "Dryophthoridae" "Phytophagous" "Plants"
"48" "Coleoptera" "Dryopidae" "Saprophagous" "Water"
"49" "Coleoptera" "Dynastidae" "Saprophagous" "Soil"
"50" "Coleoptera" "Dytiscidae" "Predator" "Water"
"51" "Coleoptera" "Elateridae" "Saprophagous" "Soil"
"52" "Coleoptera" "Elmidae" "Saprophagous" "Water"
"53" "Coleoptera" "Endecatomidae" "Saprophagous" "Wood"
"54" "Coleoptera" "Endomychidae" "Saprophagous" "Fungi"
"55" "Coleoptera" "Erirhinidae" "Phytophagous" "Plants"
"56" "Coleoptera" "Erotylidae" "Saprophagous" "Fungi"
"57" "Coleoptera" "Euaesthetinae" "Predator" "Soil"
"58" "Coleoptera" "Euchiridae" "Saprophagous" "Wood"
"59" "Coleoptera" "Eucinetidae" "Saprophagous" "Soil"
"60" "Coleoptera" "Eucnemidae" "Saprophagous" "Wood"
"61" "Coleoptera" "Geotrupidae" "Saprophagous" "Temporary.habitats"
"62" "Coleoptera" "Gietellidae" "Predator" "Soil"
"63" "Coleoptera" "Glaphyridae" "Saprophagous" "Soil"
"64" "Coleoptera" "Glaresidae" "Saprophagous" "Soil"
"65" "Coleoptera" "Gyrinidae" "Predator" "Water"
"66" "Coleoptera" "Habrocerinae" "Predator" "Soil"
"67" "Coleoptera" "Haliplidae" "Saprophagous" "Water"
"68" "Coleoptera" "Heteroceridae" "Saprophagous" "Water"
"69" "Coleoptera" "Histeridae" "Predator" "Temporary.habitats"
"70" "Coleoptera" "Hybosoridae" "Saprophagous" "Temporary.habitats"
"71" "Coleoptera" "Hydraenidae" "Saprophagous" "Water"
"72" "Coleoptera" "Hydrophilidae" "Predator" "Water"
"73" "Coleoptera" "Hydroscaphidae" "Phytophagous" "Water"
"74" "Coleoptera" "Hygrobiidae" "Predator" "Water"
"75" "Coleoptera" "Jacobsoniidae" "Saprophagous" "Soil"
"76" "Coleoptera" "Kateretidae" "Phytophagous" "Plants"
"77" "Coleoptera" "Laemophloeidae" "Saprophagous" "Wood"
"78" "Coleoptera" "Lampyridae" "Predator" "Soil"
"79" "Coleoptera" "Languriidae" "Saprophagous" "Wood"
"80" "Coleoptera" "Latridiidae" "Saprophagous" "Soil"
"81" "Coleoptera" "Leiodidae" "Saprophagous" "Soil"
"82" "Coleoptera" "Leptotyphlinae" "Predator" "Soil"
"83" "Coleoptera" "Limnichidae" "Saprophagous" "Water"
"84" "Coleoptera" "Lucanidae" "Saprophagous" "Wood"
"85" "Coleoptera" "Lycidae" "Predator" "Soil"
"86" "Coleoptera" "Lyctidae" "Phytophagous" "Wood"
"87" "Coleoptera" "Lymexylidae" "Phytophagous" "Wood"
"88" "Coleoptera" "Malachiidae" "Predator" "Plants"
"89" "Coleoptera" "Melandryidae" "Predator" "Wood"
"90" "Coleoptera" "Meloidae" "Phytophage.parasitoid" "Soil"
"91" "Coleoptera" "Melolonthidae" "Phytophagous" "Soil"
"92" "Coleoptera" "Melyridae" "Predator" "Plants"
"93" "Coleoptera" "Micromalthidae" "Saprophagous" "Wood"
"94" "Coleoptera" "Micropeplinae" "Saprophagous" "Temporary.habitats"
"95" "Coleoptera" "Monotomidae" "Saprophagous" "Soil"
"96" "Coleoptera" "Mordellidae" "Saprophagous" "Wood"
"97" "Coleoptera" "Mycetophagidae" "Saprophagous" "Fungi"
"98" "Coleoptera" "Mycteridae" "Predator" "Wood"
"99" "Coleoptera" "Nanophyidae" "Phytophagous" "Plants"
"100" "Coleoptera" "Nemonychidae" "Phytophagous" "Plants"
"101" "Coleoptera" "Nitidulidae" "Saprophagous" "Temporary.habitats"
"102" "Coleoptera" "Nosodendridae" "Saprophagous" "Temporary.habitats"
"103" "Coleoptera" "Noteridae" "Predator" "Water"
"104" "Coleoptera" "Ochodaeidae" "Saprophagous" "Soil"
"105" "Coleoptera" "Oedemeridae" "Saprophagous" "Wood"
"106" "Coleoptera" "Olisthaerinae" "Predator" "Wood"
"107" "Coleoptera" "Omaliinae" "Saprophagous" "Temporary.habitats"
"108" "Coleoptera" "Omalisidae" "Predator" "Soil"
"109" "Coleoptera" "Orphnidae" "Saprophagous" "Soil"
"110" "Coleoptera" "Osoriinae" "Predator" "Wood"
"111" "Coleoptera" "Oxycorynidae" "Phytophagous" "Wood"
"112" "Coleoptera" "Oxyporinae" "Predator" "Fungi"
"113" "Coleoptera" "Oxytelinae" "Saprophagous" "Temporary.habitats"
"114" "Coleoptera" "Pachypodidae" "Phytophagous" "Soil"
"115" "Coleoptera" "Paederinae" "Predator" "Soil"
"116" "Coleoptera" "Passandridae" "Phytophage.parasitoid" "Wood"
"117" "Coleoptera" "Phalacridae" "Saprophagous" "Fungi"
"118" "Coleoptera" "Phloeocharinae" "Predator" "Wood"
"119" "Coleoptera" "Phloeostichidae" "Saprophagous" "Wood"
"120" "Coleoptera" "Phloiophilidae" "Saprophagous" "Fungi"
"121" "Coleoptera" "Piestinae" "Predator" "Wood"
"122" "Coleoptera" "Prionoceridae" "Predator" "Wood"
"123" "Coleoptera" "Prostomidae" "Saprophagous" "Wood"
"124" "Coleoptera" "Proteininae" "Saprophagous" "Temporary.habitats"
"125" "Coleoptera" "Pselaphinae" "Saprophagous" "Soil"
"126" "Coleoptera" "Psephenidae" "Saprophagous" "Water"
"127" "Coleoptera" "Pseudopsinae" "Saprophagous" "Soil"
"128" "Coleoptera" "Ptiliidae" "Saprophagous" "Temporary.habitats"
"129" "Coleoptera" "Pyrochroidae" "Saprophagous" "Wood"
"130" "Coleoptera" "Pythidae" "Saprophagous" "Wood"
"131" "Coleoptera" "Quediinae" "Predator" "Temporary.habitats"
"132" "Coleoptera" "Raymondionymidae" "Phytophagous" "Plants"
"133" "Coleoptera" "Rhipiceridae" "Phytophage.parasitoid" "Plants"
"134" "Coleoptera" "Rhynchitidae" "Phytophagous" "Plants"
"135" "Coleoptera" "Ripiphoridae" "Saprophage.parasitoid" "Soil"
"136" "Coleoptera" "Rutelidae" "Phytophagous" "Soil"
"137" "Coleoptera" "Salpingidae" "Saprophagous" "Wood"
"138" "Coleoptera" "Scaphidiinae" "Saprophagous" "Fungi"
"139" "Coleoptera" "Scarabaeidae" "Saprophagous" "Temporary.habitats"
"140" "Coleoptera" "Scirtidae" "Saprophagous" "Soil"
"141" "Coleoptera" "Scraptiidae" "Saprophagous" "Wood"
"142" "Coleoptera" "Scydmaenidae" "Saprophagous" "Soil"
"143" "Coleoptera" "Silphidae" "Saprophagous" "Temporary.habitats"
"144" "Coleoptera" "Silvanidae" "Saprophagous" "Wood"
"145" "Coleoptera" "Sphaeritidae" "Saprophagous" "Temporary.habitats"
"146" "Coleoptera" "Sphaeriusidae" "Saprophagous" "Water"
"147" "Coleoptera" "Sphindidae" "Saprophagous" "Fungi"
"148" "Coleoptera" "Staphylininae" "Predator" "Temporary.habitats"
"149" "Coleoptera" "Steninae" "Predator" "Soil"
"150" "Coleoptera" "Stenotrachelidae" "Saprophagous" "Wood"
"151" "Coleoptera" "Tachyporinae" "Predator" "Soil"
"152" "Coleoptera" "Tenebrionidae" "Saprophagous" "Wood"
"153" "Coleoptera" "Tetratomidae" "Saprophagous" "Fungi"
"154" "Coleoptera" "Thanerocleridae" "Predator" "Temporary.habitats"
"155" "Coleoptera" "Throscidae" "Saprophagous" "Soil"
"156" "Coleoptera" "Trachypachidae" "Predator" "Soil"
"157" "Coleoptera" "Trichophyinae" "Predator" "Soil"
"158" "Coleoptera" "Trigonurinae" "Predator" "Wood"
"159" "Coleoptera" "Trogidae" "Saprophagous" "Temporary.habitats"
"160" "Coleoptera" "Trogositidae" "Saprophagous" "Wood"
"161" "Coleoptera" "Zopheridae" "Predator" "Wood"
"162" "Collembola" "Actaletidae" "Saprophagous" "Soil"
"163" "Collembola" "Arrhopalitidae" "Saprophagous" "Soil"
"164" "Collembola" "Bourletiellidae" "Saprophagous" "Plants"
"165" "Collembola" "Brachystomellidae" "Saprophagous" "Soil"
"166" "Collembola" "Cyphoderidae" "Saprophagous" "Soil"
"167" "Collembola" "Dicyrtomidae" "Saprophagous" "Soil"
"168" "Collembola" "Entomobryidae" "Saprophagous" "Soil"
