"TaxonId"	"Subphylum"	"Order"	"Family"	"Species"	"SciName"	"Author"	"AnalysisTaxon"	"Status.2003"	"URL"	"Occurrence.status"
"2572"	264234	""	""	""	"Acanthothrips nodicornis"	"Acanthothrips nodicornis"	"(O. M. Reuter, 1880)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264234"	"Bofast och reproducerande"
"2573"	264235	""	""	""	"Bolothrips dentipes"	"Bolothrips dentipes"	"(O. M. Reuter, 1880)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264235"	"Bofast och reproducerande"
"2574"	264236	""	""	""	"Bolothrips icarus"	"Bolothrips icarus"	"(Uzel, 1895)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264236"	"Bofast och reproducerande"
"2575"	264237	""	""	""	"Cephalothrips monilicornis"	"Cephalothrips monilicornis"	"(O. M. Reuter, 1880)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264237"	"Bofast och reproducerande"
"2576"	264238	""	""	""	"Cryptothrips nigripes"	"Cryptothrips nigripes"	"(O. M. Reuter, 1880)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264238"	"Bofast och reproducerande"
"2577"	264239	""	""	""	"Haplothrips acanthoscelis"	"Haplothrips acanthoscelis"	"(Karny, 1910)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264239"	"Bofast och reproducerande"
"2578"	264240	""	""	""	"Haplothrips aculeatus"	"Haplothrips aculeatus"	"(Fabricius, 1803)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264240"	"Bofast och reproducerande"
"2579"	264241	""	""	""	"Haplothrips alpester"	"Haplothrips alpester"	"Priesner, 1914"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264241"	"Bofast och reproducerande"
"2580"	264242	""	""	""	"Haplothrips angusticornis"	"Haplothrips angusticornis"	"Priesner, 1921"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264242"	"Bofast och reproducerande"
"2581"	264243	""	""	""	"Haplothrips distinguendus"	"Haplothrips distinguendus"	"(Uzel, 1895)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264243"	"Bofast och reproducerande"
"2582"	264244	""	""	""	"Haplothrips hukkineni"	"Haplothrips hukkineni"	"Priesner, 1939"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264244"	"Bofast och reproducerande"
"2583"	264245	""	""	""	"Haplothrips leucanthemi"	"Haplothrips leucanthemi"	"(Schrank, 1781)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264245"	"Bofast och reproducerande"
"2584"	264246	""	""	""	"Haplothrips niger"	"Haplothrips niger"	"(Osborn, 1883)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264246"	"Bofast och reproducerande"
"2585"	264247	""	""	""	"Haplothrips propinquus"	"Haplothrips propinquus"	"Bagnall, 1933"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264247"	"Bofast och reproducerande"
"2586"	264248	""	""	""	"Haplothrips setiger"	"Haplothrips setiger"	"Priesner, 1921"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264248"	"Bofast och reproducerande"
"2587"	264249	""	""	""	"Haplothrips statices"	"Haplothrips statices"	"(Haliday, 1836)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264249"	"Bofast och reproducerande"
"2588"	264250	""	""	""	"Haplothrips subtilissimus"	"Haplothrips subtilissimus"	"(Haliday, 1852)"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264250"	"Bofast och reproducerande"
"2589"	264251	""	""	""	"Hoplandrothrips williamsianus"	"Hoplandrothrips williamsianus"	"Priesner, 1923"	"Thysanoptera"	"present"	"https://www.dyntaxa.se/taxon/info/264251"	"Bofast och reproducerande"
"2590"	266920	""	""	""	"Hoplandrothrips bidens"	"Hoplandrothrips bidens"	"(Bagnall, 1910)"	"Thysanoptera"	"absent"	"https://www.dyntaxa.se/taxon/info/266920"	"Bofast och reproducerande"
