"EventID" "TrapID" "StartDate" "EndDate" "Sampling.period..days." "NA."
"1" 78 1 "2003-06-08" "2003-06-17" 9 NA
"2" 79 1 "2003-06-17" "2003-07-02" 15 NA
"3" 80 1 "2003-07-02" "2003-07-11" 9 NA
"4" 308 1 "2003-07-11" "2003-08-04" 24 NA
"5" 309 1 "2003-08-04" "2003-08-29" 25 NA
"6" 310 1 "2003-08-29" "2003-10-01" 33 NA
"7" 311 1 "2003-10-01" "2003-11-11" 41 NA
"8" 312 1 "2003-11-11" "2004-01-15" 65 NA
"9" 313 1 "2004-01-15" "2004-03-28" 73 NA
"10" 314 1 "2004-03-28" "2004-05-12" 45 NA
"11" 315 1 "2004-05-12" "2004-05-28" 16 NA
"12" 316 1 "2004-05-28" "2004-06-16" 19 NA
"13" 841 1 "2004-06-16" "2004-06-27" 11 NA
"14" 842 1 "2004-06-27" "2004-07-14" 17 NA
"15" 843 1 "2004-07-14" "2004-08-10" 27 NA
"16" 844 1 "2004-08-10" "2004-08-25" 15 NA
"17" 845 1 "2004-08-25" "2004-09-10" 16 NA
"18" 846 1 "2004-09-10" "2004-10-01" 21 NA
"19" 847 1 "2004-10-01" "2004-10-26" 25 NA
"20" 848 1 "2004-10-26" "2004-12-29" 64 NA
"21" 849 1 "2004-12-29" "2005-03-03" 64 NA
"22" 1567 1 "2005-03-03" "2005-04-09" 37 NA
"23" 1568 1 "2005-04-09" "2005-04-28" 19 NA
"24" 1569 1 "2005-04-28" "2005-05-19" 21 NA
"25" 1570 1 "2005-05-19" "2005-06-13" 25 NA
"26" 1571 1 "2005-06-13" "2005-07-06" 23 NA
"27" 1572 1 "2005-07-06" "2005-07-21" 15 NA
"28" 1573 1 "2005-07-21" "2005-08-04" 14 NA
"29" 1574 1 "2005-08-04" "2005-08-19" 15 NA
"30" 1575 1 "2005-08-19" "2005-09-21" 33 NA
"31" 1576 1 "2005-09-21" "2005-10-10" 19 NA
"32" 5014 1 "2005-10-10" "2005-12-21" 72 NA
"33" 1577 1 "2005-12-21" "2006-04-03" 103 NA
"34" 81 2 "2003-06-08" "2003-07-02" 24 NA
"35" 82 2 "2003-07-02" "2003-07-21" 19 NA
"36" 83 2 "2003-07-21" "2003-08-04" 14 NA
"37" 104 2 "2003-08-04" "2003-08-26" 22 NA
"38" 105 2 "2003-08-26" "2003-09-09" 14 NA
"39" 106 2 "2003-09-09" "2003-09-25" 16 NA
"40" 107 2 "2003-09-25" "2003-10-16" 21 NA
"41" 108 2 "2003-10-16" "2003-11-04" 19 NA
"42" 784 2 "2003-11-04" "2004-01-28" 85 NA
"43" 785 2 "2004-01-28" "2004-06-18" 142 NA
"44" 786 2 "2004-06-18" "2004-06-21" 3 NA
"45" 787 2 "2004-06-21" "2004-07-20" 29 NA
"46" 788 2 "2004-07-20" "2004-08-11" 22 NA
"47" 789 2 "2004-08-11" "2004-09-07" 27 NA
"48" 790 2 "2004-09-07" "2004-09-22" 15 NA
"49" 791 2 "2004-09-22" "2004-10-21" 29 NA
"50" 792 2 "2004-10-21" "2004-12-02" 42 NA
"51" 2094 2 "2004-12-02" "2005-01-28" 57 NA
"52" 2095 2 "2005-01-28" "2005-03-21" 52 NA
"53" 2096 2 "2005-03-21" "2005-05-24" 64 NA
"54" 2097 2 "2005-05-24" "2005-06-09" 16 NA
"55" 1831 2 "2005-06-09" "2005-07-01" 22 NA
"56" 1832 2 "2005-07-01" "2005-07-22" 21 NA
"57" 1833 2 "2005-07-22" "2005-08-22" 31 NA
"58" 1834 2 "2005-08-22" "2005-09-12" 21 NA
"59" 1835 2 "2005-09-12" "2005-10-04" 22 NA
"60" 1836 2 "2005-10-04" "2005-11-03" 30 NA
"61" 1837 2 "2005-11-03" "2005-12-09" 36 NA
"62" 1838 2 "2005-12-09" "2006-05-08" 150 NA
"63" 84 3 "2003-06-08" "2003-07-02" 24 NA
"64" 85 3 "2003-07-02" "2003-07-21" 19 NA
"65" 86 3 "2003-07-21" "2003-08-04" 14 NA
"66" 109 3 "2003-08-04" "2003-08-26" 22 NA
"67" 110 3 "2003-08-26" "2003-09-09" 14 NA
"68" 111 3 "2003-09-09" "2003-09-25" 16 NA
"69" 112 3 "2003-09-25" "2003-10-16" 21 NA
"70" 113 3 "2003-10-16" "2003-11-04" 19 NA
"71" 793 3 "2003-11-04" "2003-12-12" 38 NA
"72" 794 3 "2003-12-12" "2004-01-28" 47 NA
"73" 795 3 "2004-01-28" "2004-04-28" 91 NA
"74" 796 3 "2004-04-28" "2004-06-18" 51 NA
"75" 797 3 "2004-06-18" "2004-06-21" 3 NA
"76" 798 3 "2004-06-21" "2004-07-20" 29 NA
"77" 799 3 "2004-07-20" "2004-08-11" 22 NA
"78" 800 3 "2004-08-11" "2004-09-07" 27 NA
"79" 801 3 "2004-09-07" "2004-09-22" 15 NA
"80" 802 3 "2004-09-22" "2004-10-21" 29 NA
"81" 803 3 "2004-10-21" "2004-12-02" 42 NA
"82" 2098 3 "2004-12-02" "2005-01-28" 57 NA
"83" 2099 3 "2005-01-28" "2005-03-21" 52 NA
"84" 2100 3 "2005-03-21" "2005-05-24" 64 NA
"85" 2101 3 "2005-05-24" "2005-06-09" 16 NA
"86" 1839 3 "2005-06-09" "2005-07-01" 22 NA
"87" 1840 3 "2005-07-01" "2005-07-22" 21 NA
"88" 1841 3 "2005-07-22" "2005-08-22" 31 NA
"89" 1842 3 "2005-08-22" "2005-09-12" 21 NA
"90" 1843 3 "2005-09-12" "2005-10-04" 22 NA
"91" 1844 3 "2005-10-04" "2005-11-03" 30 NA
"92" 1845 3 "2005-11-03" "2005-12-09" 36 NA
"93" 1846 3 "2005-12-09" "2006-05-08" 150 NA
"94" 87 4 "2003-06-08" "2003-07-02" 24 NA
"95" 88 4 "2003-07-02" "2003-07-21" 19 NA
"96" 89 4 "2003-07-21" "2003-08-04" 14 NA
"97" 114 4 "2003-08-04" "2003-08-26" 22 NA
"98" 223 4 "2003-08-26" "2003-09-09" 14 NA
"99" 224 4 "2003-09-09" "2003-09-25" 16 NA
"100" 225 4 "2003-09-25" "2003-10-16" 21 NA
"101" 226 4 "2003-10-16" "2003-11-04" 19 NA
"102" 804 4 "2003-11-04" "2003-12-12" 38 NA
"103" 805 4 "2003-12-12" "2004-01-28" 47 NA
"104" 806 4 "2004-01-28" "2004-04-28" 91 NA
"105" 807 4 "2004-04-28" "2004-06-18" 51 NA
"106" 808 4 "2004-06-18" "2004-06-21" 3 NA
"107" 809 4 "2004-06-21" "2004-07-20" 29 NA
"108" 810 4 "2004-07-20" "2004-08-11" 22 NA
"109" 811 4 "2004-08-11" "2004-09-07" 27 NA
"110" 812 4 "2004-09-07" "2004-09-22" 15 NA
"111" 813 4 "2004-09-22" "2004-10-21" 29 NA
"112" 814 4 "2004-10-21" "2004-12-02" 42 NA
"113" 2091 4 "2004-12-02" "2005-01-28" 57 NA
"114" 2092 4 "2005-01-28" "2005-03-21" 52 NA
"115" 2090 4 "2005-03-21" "2005-05-24" 64 NA
"116" 2093 4 "2005-05-24" "2005-06-09" 16 NA
"117" 1847 4 "2005-06-09" "2005-07-01" 22 NA
"118" 1848 4 "2005-07-01" "2005-07-22" 21 NA
"119" 1849 4 "2005-07-22" "2005-08-22" 31 NA
"120" 1850 4 "2005-08-22" "2005-09-12" 21 NA
"121" 1851 4 "2005-09-12" "2005-10-04" 22 NA
"122" 1852 4 "2005-10-04" "2005-11-03" 30 NA
"123" 1853 4 "2005-11-03" "2005-12-09" 36 NA
"124" 1854 4 "2005-12-09" "2006-05-08" 150 NA
"125" 64 5 "2003-06-16" "2003-07-02" 16 NA
"126" 65 5 "2003-07-02" "2003-07-14" 12 NA
"127" 71 5 "2003-07-14" "2003-07-28" 14 NA
"128" 76 5 "2003-07-28" "2003-08-11" 14 NA
"129" 77 5 "2003-08-11" "2003-08-30" 19 NA
"130" 90 5 "2003-08-30" "2003-09-17" 18 NA
"131" 99 5 "2003-09-17" "2003-10-06" 19 NA
"132" 101 5 "2003-10-06" "2003-10-20" 14 NA
"133" 102 5 "2003-10-20" "2003-11-03" 14 NA
"134" 181 5 "2003-11-03" "2003-11-17" 14 NA
"135" 227 5 "2003-11-17" "2003-12-01" 14 NA
"136" 265 5 "2003-12-01" "2003-12-15" 14 NA
"137" 268 5 "2003-12-15" "2003-12-29" 14 NA
"138" 269 5 "2003-12-29" "2004-01-12" 14 NA
"139" 282 5 "2004-01-12" "2004-01-26" 14 NA
"140" 283 5 "2004-01-26" "2004-02-09" 14 NA
"141" 300 5 "2004-02-09" "2004-02-23" 14 NA
"142" 348 5 "2004-02-23" "2004-03-10" 16 NA
"143" 349 5 "2004-03-10" "2004-01-12" -58 NA
"144" 350 5 "2004-04-01" "2004-04-16" 15 NA
"145" 351 5 "2004-04-16" "2004-05-03" 17 NA
"146" 352 5 "2004-05-03" "2004-05-18" 15 NA
"147" 353 5 "2004-05-18" "2004-06-07" 20 NA
"148" 354 5 "2004-06-07" "2004-06-16" 9 NA
"149" 764 5 "2004-06-16" "2004-06-30" 14 NA
"150" 765 5 "2004-06-30" "2004-07-13" 13 NA
"151" 766 5 "2004-07-13" "2004-08-10" 28 NA
"152" 767 5 "2004-08-10" "2004-08-16" 6 NA
"153" 768 5 "2004-08-16" "2004-09-08" 23 NA
"154" 769 5 "2004-08-16" "2004-10-20" 65 NA
"155" 368 6 "2003-06-17" "2003-07-02" 15 NA
"156" 369 6 "2003-07-02" "2003-07-29" 27 NA
"157" 370 6 "2003-07-29" "2003-08-12" 14 NA
"158" 371 6 "2003-08-12" "2003-08-26" 14 NA
"159" 372 6 "2003-08-26" "2003-09-09" 14 NA
"160" 373 6 "2003-09-09" "2003-10-20" 41 NA
"161" 374 6 "2003-10-20" "2003-11-18" 29 NA
"162" 375 6 "2003-11-18" "2003-12-09" 21 NA
"163" 376 6 "2003-12-09" "2004-06-14" 188 NA
"164" 377 6 "2004-06-14" "2004-06-27" 13 NA
"165" 850 6 "2004-06-27" "2004-07-01" 4 NA
"166" 851 6 "2004-07-01" "2004-07-26" 25 NA
"167" 852 6 "2004-07-26" "2004-08-18" 23 NA
"168" 853 6 "2004-08-18" "2004-09-04" 17 NA
"169" 854 6 "2004-09-04" "2004-09-20" 16 NA
"170" 855 6 "2004-09-20" "2004-10-04" 14 NA
"171" 856 6 "2004-10-04" "2004-11-01" 28 NA
"172" 857 6 "2004-11-01" "2004-12-06" 35 NA
"173" 1578 6 "2004-12-06" "2005-06-03" 179 NA
"174" 1579 6 "2005-06-03" "2005-06-30" 27 NA
"175" 1580 6 "2005-06-30" "2005-07-17" 17 NA
"176" 1581 6 "2005-07-17" "2005-08-22" 36 NA
"177" 1582 6 "2005-08-22" "2005-09-11" 20 NA
"178" 1583 6 "2005-09-11" "2005-10-02" 21 NA
"179" 1584 6 "2005-10-02" "2006-01-12" 102 NA
"180" 1585 6 "2006-01-12" "2006-05-07" 115 NA
"181" 378 7 "2003-06-17" "2003-07-03" 16 NA
"182" 379 7 "2003-07-03" "2003-07-29" 26 NA
"183" 380 7 "2003-07-29" "2003-08-12" 14 NA
"184" 381 7 "2003-08-12" "2003-08-26" 14 NA
"185" 382 7 "2003-08-26" "2003-09-09" 14 NA
"186" 383 7 "2003-09-09" "2003-10-20" 41 NA
"187" 384 7 "2003-10-20" "2003-11-18" 29 NA
"188" 385 7 "2003-11-18" "2003-12-09" 21 NA
"189" 386 7 "2003-12-09" "2004-04-20" 133 NA
"190" 387 7 "2004-04-20" "2004-06-14" 55 NA
"191" 388 7 "2004-06-14" "2004-06-27" 13 NA
"192" 858 7 "2004-06-27" "2004-07-01" 4 NA
"193" 859 7 "2004-07-01" "2004-07-26" 25 NA
"194" 5009 7 "2004-07-26" "2004-08-18" 23 NA
"195" 860 7 "2004-08-18" "2004-09-04" 17 NA
"196" 861 7 "2004-09-04" "2004-09-20" 16 NA
"197" 862 7 "2004-09-20" "2004-10-04" 14 NA
"198" 863 7 "2004-10-04" "2004-11-01" 28 NA
"199" 864 7 "2004-11-01" "2004-12-06" 35 NA
"200" 1586 7 "2004-12-06" "2005-04-11" 126 NA
"201" 1587 7 "2005-04-11" "2005-04-28" 17 NA
"202" 1588 7 "2005-04-28" "2005-05-16" 18 NA
"203" 1589 7 "2005-05-16" "2005-05-24" 8 NA
"204" 1590 7 "2005-05-24" "2005-06-14" 21 NA
"205" 1591 7 "2005-06-14" "2005-07-04" 20 NA
"206" 1592 7 "2005-07-04" "2005-07-17" 13 NA
"207" 1593 7 "2005-07-17" "2005-08-16" 30 NA
"208" 1594 7 "2005-08-16" "2005-09-11" 26 NA
"209" 1595 7 "2005-09-11" "2005-09-26" 15 NA
"210" 1596 7 "2005-09-26" "2005-12-05" 70 NA
"211" 1597 7 "2005-12-05" "2006-01-16" 42 NA
"212" 1598 7 "2006-01-16" "2006-04-18" 92 NA
"213" 389 8 "2003-06-18" "2003-07-04" 16 NA
"214" 390 8 "2003-07-04" "2003-07-15" 11 NA
"215" 391 8 "2003-07-15" "2003-08-04" 20 NA
"216" 392 8 "2003-08-04" "2003-08-19" 15 NA
"217" 393 8 "2003-08-19" "2003-09-07" 19 NA
"218" 5010 8 "2003-09-07" "2003-11-02" 56 NA
"219" 5011 8 "2003-11-02" "2004-04-19" 169 NA
"220" 394 8 "2004-04-19" "2004-06-01" 43 NA
"221" 395 8 "2004-06-01" "2004-06-15" 14 NA
"222" 1557 8 "2004-06-15" "2004-06-28" 13 NA
"223" 1558 8 "2004-06-28" "2004-07-13" 15 NA
"224" 1559 8 "2004-07-13" "2004-07-29" 16 NA
"225" 1560 8 "2004-07-29" "2004-08-08" 10 NA
"226" 1561 8 "2004-08-08" "2004-08-27" 19 NA
"227" 1562 8 "2004-08-27" "2004-09-10" 14 NA
"228" 1563 8 "2004-09-10" "2004-12-17" 98 NA
"229" 1599 8 "2004-12-17" "2005-04-30" 134 NA
"230" 1600 8 "2005-04-30" "2005-05-20" 20 NA
"231" 1601 8 "2005-05-20" "2005-06-20" 31 NA
"232" 1602 8 "2005-06-20" "2005-07-18" 28 NA
"233" 1603 8 "2005-07-18" "2005-09-05" 49 NA
"234" 1604 8 "2005-09-05" "2005-11-15" 71 NA
"235" 1605 8 "2005-11-15" "2006-04-05" 141 NA
"236" 355 9 "2003-06-18" "2003-07-06" 18 NA
"237" 356 9 "2003-07-06" "2003-07-19" 13 NA
"238" 357 9 "2003-07-19" "2003-08-02" 14 NA
"239" 2064 9 "2003-08-02" "2003-08-13" 11 NA
"240" 358 9 "2003-08-13" "2003-08-31" 18 NA
"241" 359 9 "2003-08-31" "2003-09-01" 1 NA
"242" 360 9 "2003-09-01" "2003-09-19" 18 NA
"243" 361 9 "2003-09-19" "2003-09-27" 8 NA
"244" 362 9 "2003-09-27" "2003-10-12" 15 NA
"245" 363 9 "2003-10-12" "2003-12-26" 75 NA
"246" 364 9 "2003-12-26" "2004-04-06" 102 NA
"247" 365 9 "2004-04-06" "2004-04-27" 21 NA
"248" 366 9 "2004-04-27" "2004-05-22" 25 NA
"249" 367 9 "2004-05-22" "2004-05-31" 9 NA
"250" 865 9 "2004-05-31" "2004-06-19" 19 NA
"251" 866 9 "2004-06-19" "2004-07-11" 22 NA
"252" 867 9 "2004-07-11" "2004-08-07" 27 NA
"253" 868 9 "2004-08-07" "2004-08-17" 10 NA
"254" 869 9 "2004-08-17" "2004-09-01" 15 NA
"255" 870 9 "2004-09-01" "2004-09-20" 19 NA
"256" 871 9 "2004-09-20" "2004-09-30" 10 NA
"257" 872 9 "2004-09-30" "2004-10-25" 25 NA
"258" 873 9 "2004-10-25" "2004-12-19" 55 NA
"259" 874 9 "2004-12-19" "2005-03-25" 96 NA
"260" 875 9 "2005-03-25" "2005-05-01" 37 NA
"261" 1606 9 "2005-05-01" "2005-05-15" 14 NA
"262" 1607 9 "2005-05-15" "2005-05-28" 13 NA
"263" 1608 9 "2005-05-28" "2005-06-11" 14 NA
"264" 1609 9 "2005-06-11" "2005-06-24" 13 NA
"265" 1610 9 "2005-06-24" "2005-07-16" 22 NA
"266" 1611 9 "2005-07-16" "2005-08-06" 21 NA
"267" 1612 9 "2005-08-06" "2005-08-22" 16 NA
"268" 1613 9 "2005-08-22" "2005-09-05" 14 NA
"269" 1614 9 "2005-09-05" "2005-10-04" 29 NA
"270" 1615 9 "2005-10-04" "2005-10-21" 17 NA
