"EventID" "TrapID" "StartDate" "EndDate" "Sampling.period..days."
"1" 78 1 "2003-06-08" "2003-06-17" 9
"2" 79 1 "2003-06-17" "2003-07-02" 15
"3" 80 1 "2003-07-02" "2003-07-11" 9
"4" 308 1 "2003-07-11" "2003-08-04" 24
"5" 309 1 "2003-08-04" "2003-08-29" 25
"6" 310 1 "2003-08-29" "2003-10-01" 33
"7" 311 1 "2003-10-01" "2003-11-11" 41
"8" 312 1 "2003-11-11" "2004-01-15" 65
"9" 313 1 "2004-01-15" "2004-03-28" 73
"10" 314 1 "2004-03-28" "2004-05-12" 45
"11" 315 1 "2004-05-12" "2004-05-28" 16
"12" 316 1 "2004-05-28" "2004-06-16" 19
"13" 841 1 "2004-06-16" "2004-06-27" 11
"14" 842 1 "2004-06-27" "2004-07-14" 17
"15" 843 1 "2004-07-14" "2004-08-10" 27
"16" 844 1 "2004-08-10" "2004-08-25" 15
"17" 845 1 "2004-08-25" "2004-09-10" 16
"18" 846 1 "2004-09-10" "2004-10-01" 21
"19" 847 1 "2004-10-01" "2004-10-26" 25
"20" 848 1 "2004-10-26" "2004-12-29" 64
"21" 849 1 "2004-12-29" "2005-03-03" 64
"22" 1567 1 "2005-03-03" "2005-04-09" 37
"23" 1568 1 "2005-04-09" "2005-04-28" 19
"24" 1569 1 "2005-04-28" "2005-05-19" 21
"25" 1570 1 "2005-05-19" "2005-06-13" 25
"26" 1571 1 "2005-06-13" "2005-07-06" 23
"27" 1572 1 "2005-07-06" "2005-07-21" 15
"28" 1573 1 "2005-07-21" "2005-08-04" 14
"29" 1574 1 "2005-08-04" "2005-08-19" 15
"30" 1575 1 "2005-08-19" "2005-09-21" 33
"31" 1576 1 "2005-09-21" "2005-10-10" 19
"32" 5014 1 "2005-10-10" "2005-12-21" 72
"33" 1577 1 "2005-12-21" "2006-04-03" 103
"34" 81 2 "2003-06-08" "2003-07-02" 24
"35" 82 2 "2003-07-02" "2003-07-21" 19
"36" 83 2 "2003-07-21" "2003-08-04" 14
"37" 104 2 "2003-08-04" "2003-08-26" 22
"38" 105 2 "2003-08-26" "2003-09-09" 14
"39" 106 2 "2003-09-09" "2003-09-25" 16
"40" 107 2 "2003-09-25" "2003-10-16" 21
"41" 108 2 "2003-10-16" "2003-11-04" 19
"42" 784 2 "2003-11-04" "2004-01-28" 85
"43" 785 2 "2004-01-28" "2004-06-18" 142
"44" 786 2 "2004-06-18" "2004-06-21" 3
"45" 787 2 "2004-06-21" "2004-07-20" 29
"46" 788 2 "2004-07-20" "2004-08-11" 22
"47" 789 2 "2004-08-11" "2004-09-07" 27
"48" 790 2 "2004-09-07" "2004-09-22" 15
"49" 791 2 "2004-09-22" "2004-10-21" 29
"50" 792 2 "2004-10-21" "2004-12-02" 42
"51" 2094 2 "2004-12-02" "2005-01-28" 57
"52" 2095 2 "2005-01-28" "2005-03-21" 52
"53" 2096 2 "2005-03-21" "2005-05-24" 64
"54" 2097 2 "2005-05-24" "2005-06-09" 16
"55" 1831 2 "2005-06-09" "2005-07-01" 22
"56" 1832 2 "2005-07-01" "2005-07-22" 21
"57" 1833 2 "2005-07-22" "2005-08-22" 31
"58" 1834 2 "2005-08-22" "2005-09-12" 21
"59" 1835 2 "2005-09-12" "2005-10-04" 22
"60" 1836 2 "2005-10-04" "2005-11-03" 30
"61" 1837 2 "2005-11-03" "2005-12-09" 36
"62" 1838 2 "2005-12-09" "2006-05-08" 150
"63" 84 3 "2003-06-08" "2003-07-02" 24
"64" 85 3 "2003-07-02" "2003-07-21" 19
"65" 86 3 "2003-07-21" "2003-08-04" 14
"66" 109 3 "2003-08-04" "2003-08-26" 22
"67" 110 3 "2003-08-26" "2003-09-09" 14
"68" 111 3 "2003-09-09" "2003-09-25" 16
"69" 112 3 "2003-09-25" "2003-10-16" 21
"70" 113 3 "2003-10-16" "2003-11-04" 19
"71" 793 3 "2003-11-04" "2003-12-12" 38
"72" 794 3 "2003-12-12" "2004-01-28" 47
"73" 795 3 "2004-01-28" "2004-04-28" 91
"74" 796 3 "2004-04-28" "2004-06-18" 51
"75" 797 3 "2004-06-18" "2004-06-21" 3
"76" 798 3 "2004-06-21" "2004-07-20" 29
"77" 799 3 "2004-07-20" "2004-08-11" 22
"78" 800 3 "2004-08-11" "2004-09-07" 27
"79" 801 3 "2004-09-07" "2004-09-22" 15
"80" 802 3 "2004-09-22" "2004-10-21" 29
"81" 803 3 "2004-10-21" "2004-12-02" 42
"82" 2098 3 "2004-12-02" "2005-01-28" 57
"83" 2099 3 "2005-01-28" "2005-03-21" 52
"84" 2100 3 "2005-03-21" "2005-05-24" 64
"85" 2101 3 "2005-05-24" "2005-06-09" 16
"86" 1839 3 "2005-06-09" "2005-07-01" 22
"87" 1840 3 "2005-07-01" "2005-07-22" 21
"88" 1841 3 "2005-07-22" "2005-08-22" 31
"89" 1842 3 "2005-08-22" "2005-09-12" 21
"90" 1843 3 "2005-09-12" "2005-10-04" 22
"91" 1844 3 "2005-10-04" "2005-11-03" 30
"92" 1845 3 "2005-11-03" "2005-12-09" 36
"93" 1846 3 "2005-12-09" "2006-05-08" 150
"94" 87 4 "2003-06-08" "2003-07-02" 24
"95" 88 4 "2003-07-02" "2003-07-21" 19
"96" 89 4 "2003-07-21" "2003-08-04" 14
"97" 114 4 "2003-08-04" "2003-08-26" 22
"98" 223 4 "2003-08-26" "2003-09-09" 14
"99" 224 4 "2003-09-09" "2003-09-25" 16
"100" 225 4 "2003-09-25" "2003-10-16" 21
"101" 226 4 "2003-10-16" "2003-11-04" 19
"102" 804 4 "2003-11-04" "2003-12-12" 38
"103" 805 4 "2003-12-12" "2004-01-28" 47
"104" 806 4 "2004-01-28" "2004-04-28" 91
"105" 807 4 "2004-04-28" "2004-06-18" 51
"106" 808 4 "2004-06-18" "2004-06-21" 3
"107" 809 4 "2004-06-21" "2004-07-20" 29
"108" 810 4 "2004-07-20" "2004-08-11" 22
"109" 811 4 "2004-08-11" "2004-09-07" 27
"110" 812 4 "2004-09-07" "2004-09-22" 15
"111" 813 4 "2004-09-22" "2004-10-21" 29
"112" 814 4 "2004-10-21" "2004-12-02" 42
"113" 2091 4 "2004-12-02" "2005-01-28" 57
"114" 2092 4 "2005-01-28" "2005-03-21" 52
"115" 2090 4 "2005-03-21" "2005-05-24" 64
"116" 2093 4 "2005-05-24" "2005-06-09" 16
"117" 1847 4 "2005-06-09" "2005-07-01" 22
"118" 1848 4 "2005-07-01" "2005-07-22" 21
"119" 1849 4 "2005-07-22" "2005-08-22" 31
"120" 1850 4 "2005-08-22" "2005-09-12" 21
"121" 1851 4 "2005-09-12" "2005-10-04" 22
"122" 1852 4 "2005-10-04" "2005-11-03" 30
"123" 1853 4 "2005-11-03" "2005-12-09" 36
"124" 1854 4 "2005-12-09" "2006-05-08" 150
"125" 64 5 "2003-06-16" "2003-07-02" 16
"126" 65 5 "2003-07-02" "2003-07-14" 12
"127" 71 5 "2003-07-14" "2003-07-28" 14
"128" 76 5 "2003-07-28" "2003-08-11" 14
"129" 77 5 "2003-08-11" "2003-08-30" 19
"130" 90 5 "2003-08-30" "2003-09-17" 18
"131" 99 5 "2003-09-17" "2003-10-06" 19
"132" 101 5 "2003-10-06" "2003-10-20" 14
"133" 102 5 "2003-10-20" "2003-11-03" 14
"134" 181 5 "2003-11-03" "2003-11-17" 14
"135" 227 5 "2003-11-17" "2003-12-01" 14
"136" 265 5 "2003-12-01" "2003-12-15" 14
"137" 268 5 "2003-12-15" "2003-12-29" 14
"138" 269 5 "2003-12-29" "2004-01-12" 14
"139" 282 5 "2004-01-12" "2004-01-26" 14
"140" 283 5 "2004-01-26" "2004-02-09" 14
"141" 300 5 "2004-02-09" "2004-02-23" 14
"142" 348 5 "2004-02-23" "2004-03-10" 16
"143" 349 5 "2004-03-10" "2004-01-12" -58
"144" 350 5 "2004-04-01" "2004-04-16" 15
"145" 351 5 "2004-04-16" "2004-05-03" 17
"146" 352 5 "2004-05-03" "2004-05-18" 15
"147" 353 5 "2004-05-18" "2004-06-07" 20
"148" 354 5 "2004-06-07" "2004-06-16" 9
"149" 764 5 "2004-06-16" "2004-06-30" 14
"150" 765 5 "2004-06-30" "2004-07-13" 13
"151" 766 5 "2004-07-13" "2004-08-10" 28
"152" 767 5 "2004-08-10" "2004-08-16" 6
"153" 768 5 "2004-08-16" "2004-09-08" 23
"154" 769 5 "2004-08-16" "2004-10-20" 65
"155" 368 6 "2003-06-17" "2003-07-02" 15
"156" 369 6 "2003-07-02" "2003-07-29" 27
"157" 370 6 "2003-07-29" "2003-08-12" 14
"158" 371 6 "2003-08-12" "2003-08-26" 14
"159" 372 6 "2003-08-26" "2003-09-09" 14
"160" 373 6 "2003-09-09" "2003-10-20" 41
"161" 374 6 "2003-10-20" "2003-11-18" 29
"162" 375 6 "2003-11-18" "2003-12-09" 21
"163" 376 6 "2003-12-09" "2004-06-14" 188
"164" 377 6 "2004-06-14" "2004-06-27" 13
"165" 850 6 "2004-06-27" "2004-07-01" 4
"166" 851 6 "2004-07-01" "2004-07-26" 25
"167" 852 6 "2004-07-26" "2004-08-18" 23
"168" 853 6 "2004-08-18" "2004-09-04" 17
"169" 854 6 "2004-09-04" "2004-09-20" 16
"170" 855 6 "2004-09-20" "2004-10-04" 14
"171" 856 6 "2004-10-04" "2004-11-01" 28
"172" 857 6 "2004-11-01" "2004-12-06" 35
"173" 1578 6 "2004-12-06" "2005-06-03" 179
"174" 1579 6 "2005-06-03" "2005-06-30" 27
"175" 1580 6 "2005-06-30" "2005-07-17" 17
"176" 1581 6 "2005-07-17" "2005-08-22" 36
"177" 1582 6 "2005-08-22" "2005-09-11" 20
"178" 1583 6 "2005-09-11" "2005-10-02" 21
"179" 1584 6 "2005-10-02" "2006-01-12" 102
"180" 1585 6 "2006-01-12" "2006-05-07" 115
"181" 378 7 "2003-06-17" "2003-07-03" 16
"182" 379 7 "2003-07-03" "2003-07-29" 26
"183" 380 7 "2003-07-29" "2003-08-12" 14
"184" 381 7 "2003-08-12" "2003-08-26" 14
"185" 382 7 "2003-08-26" "2003-09-09" 14
"186" 383 7 "2003-09-09" "2003-10-20" 41
"187" 384 7 "2003-10-20" "2003-11-18" 29
"188" 385 7 "2003-11-18" "2003-12-09" 21
"189" 386 7 "2003-12-09" "2004-04-20" 133
"190" 387 7 "2004-04-20" "2004-06-14" 55
"191" 388 7 "2004-06-14" "2004-06-27" 13
"192" 858 7 "2004-06-27" "2004-07-01" 4
"193" 859 7 "2004-07-01" "2004-07-26" 25
"194" 5009 7 "2004-07-26" "2004-08-18" 23
"195" 860 7 "2004-08-18" "2004-09-04" 17
"196" 861 7 "2004-09-04" "2004-09-20" 16
"197" 862 7 "2004-09-20" "2004-10-04" 14
"198" 863 7 "2004-10-04" "2004-11-01" 28
"199" 864 7 "2004-11-01" "2004-12-06" 35
"200" 1586 7 "2004-12-06" "2005-04-11" 126
"201" 1587 7 "2005-04-11" "2005-04-28" 17
"202" 1588 7 "2005-04-28" "2005-05-16" 18
"203" 1589 7 "2005-05-16" "2005-05-24" 8
"204" 1590 7 "2005-05-24" "2005-06-14" 21
"205" 1591 7 "2005-06-14" "2005-07-04" 20
"206" 1592 7 "2005-07-04" "2005-07-17" 13
"207" 1593 7 "2005-07-17" "2005-08-16" 30
"208" 1594 7 "2005-08-16" "2005-09-11" 26
"209" 1595 7 "2005-09-11" "2005-09-26" 15
"210" 1596 7 "2005-09-26" "2005-12-05" 70
"211" 1597 7 "2005-12-05" "2006-01-16" 42
"212" 1598 7 "2006-01-16" "2006-04-18" 92
"213" 389 8 "2003-06-18" "2003-07-04" 16
"214" 390 8 "2003-07-04" "2003-07-15" 11
"215" 391 8 "2003-07-15" "2003-08-04" 20
"216" 392 8 "2003-08-04" "2003-08-19" 15
"217" 393 8 "2003-08-19" "2003-09-07" 19
"218" 5010 8 "2003-09-07" "2003-11-02" 56
"219" 5011 8 "2003-11-02" "2004-04-19" 169
"220" 394 8 "2004-04-19" "2004-06-01" 43
"221" 395 8 "2004-06-01" "2004-06-15" 14
"222" 1557 8 "2004-06-15" "2004-06-28" 13
"223" 1558 8 "2004-06-28" "2004-07-13" 15
"224" 1559 8 "2004-07-13" "2004-07-29" 16
"225" 1560 8 "2004-07-29" "2004-08-08" 10
"226" 1561 8 "2004-08-08" "2004-08-27" 19
"227" 1562 8 "2004-08-27" "2004-09-10" 14
"228" 1563 8 "2004-09-10" "2004-12-17" 98
"229" 1599 8 "2004-12-17" "2005-04-30" 134
"230" 1600 8 "2005-04-30" "2005-05-20" 20
"231" 1601 8 "2005-05-20" "2005-06-20" 31
"232" 1602 8 "2005-06-20" "2005-07-18" 28
"233" 1603 8 "2005-07-18" "2005-09-05" 49
"234" 1604 8 "2005-09-05" "2005-11-15" 71
"235" 1605 8 "2005-11-15" "2006-04-05" 141
"236" 355 9 "2003-06-18" "2003-07-06" 18
"237" 356 9 "2003-07-06" "2003-07-19" 13
"238" 357 9 "2003-07-19" "2003-08-02" 14
"239" 2064 9 "2003-08-02" "2003-08-13" 11
"240" 358 9 "2003-08-13" "2003-08-31" 18
"241" 359 9 "2003-08-31" "2003-09-01" 1
"242" 360 9 "2003-09-01" "2003-09-19" 18
"243" 361 9 "2003-09-19" "2003-09-27" 8
"244" 362 9 "2003-09-27" "2003-10-12" 15
"245" 363 9 "2003-10-12" "2003-12-26" 75
"246" 364 9 "2003-12-26" "2004-04-06" 102
"247" 365 9 "2004-04-06" "2004-04-27" 21
"248" 366 9 "2004-04-27" "2004-05-22" 25
"249" 367 9 "2004-05-22" "2004-05-31" 9
"250" 865 9 "2004-05-31" "2004-06-19" 19
"251" 866 9 "2004-06-19" "2004-07-11" 22
"252" 867 9 "2004-07-11" "2004-08-07" 27
"253" 868 9 "2004-08-07" "2004-08-17" 10
"254" 869 9 "2004-08-17" "2004-09-01" 15
"255" 870 9 "2004-09-01" "2004-09-20" 19
"256" 871 9 "2004-09-20" "2004-09-30" 10
"257" 872 9 "2004-09-30" "2004-10-25" 25
"258" 873 9 "2004-10-25" "2004-12-19" 55
"259" 874 9 "2004-12-19" "2005-03-25" 96
"260" 875 9 "2005-03-25" "2005-05-01" 37
"261" 1606 9 "2005-05-01" "2005-05-15" 14
"262" 1607 9 "2005-05-15" "2005-05-28" 13
"263" 1608 9 "2005-05-28" "2005-06-11" 14
"264" 1609 9 "2005-06-11" "2005-06-24" 13
"265" 1610 9 "2005-06-24" "2005-07-16" 22
"266" 1611 9 "2005-07-16" "2005-08-06" 21
"267" 1612 9 "2005-08-06" "2005-08-22" 16
"268" 1613 9 "2005-08-22" "2005-09-05" 14
"269" 1614 9 "2005-09-05" "2005-10-04" 29
"270" 1615 9 "2005-10-04" "2005-10-21" 17
"271" 1616 9 "2005-10-21" "2005-12-08" 48
"272" 396 10 "2003-06-23" "2003-07-08" 15
"273" 397 10 "2003-07-08" "2003-07-21" 13
"274" 398 10 "2003-07-21" "2003-08-04" 14
"275" 399 10 "2003-08-04" "2003-08-26" 22
"276" 400 10 "2003-08-26" "2003-09-16" 21
"277" 401 10 "2003-09-16" "2003-10-14" 28
"278" 402 10 "2003-10-14" "2003-11-11" 28
"279" 403 10 "2003-11-11" "2004-01-14" 64
"280" 404 10 "2004-01-14" "2004-02-18" 35
"281" 405 10 "2004-02-18" "2004-03-27" 38
"282" 406 10 "2004-03-27" "2004-04-15" 19
"283" 407 10 "2004-04-15" "2004-05-13" 28
"284" 408 10 "2004-05-13" "2004-06-18" 36
"285" 876 10 "2004-06-18" "2004-07-01" 13
"286" 877 10 "2004-07-01" "2004-07-28" 27
"287" 878 10 "2004-07-28" "2004-09-16" 50
"288" 879 10 "2004-09-16" "2004-12-16" 91
"289" 880 10 "2004-12-16" "2005-03-03" 77
