"Sort.order" "Analysis.Taxon" "Included.Taxa" "Order" "Known.spp.2003" "Expert.guess.2007" "Expert.guess.2017" "DataType" "Number.specimens...observations" "New.species.in.SMTP" "Proportion.of.SMTP.samples.containing.taxon" "Number.of.samples.processed" "Proportion.of.catch.processed" "Main.feeding.niche" "Main.feeding.habitat"
"1" 65 "Brachycyrtinae" "Ichneumonidae: Brachycyrtinae" "Hymenoptera" 0 0 1 "Abundance" 10 "yes" 0.003 4 0.694806322737537 "Predator.parasitoid" "Plants"
"2" 16 "Pachyneuridae" "Pachyneuridae" "Diptera" 1 1 1 "Abundance" 10 "no" 0.003 2 0.347403161368768 "Saprophagous" "Fungi"
"3" 49 "Gasteruptiidae+Aulacidae" "Gasteruptiidae, Aulacidae" "Hymenoptera" 8 12 15 "Abundance" 50 "no" 0.024 32 0.694806322737537 "Phytophage.parasitoid" NA
"4" 61 "Neorhacodini" "Ichneumonidae: Tersilochinae: Neorhacodes group" "Hymenoptera" 1 1 1 "Abundance" 25 "no" 0.011 12 0.568477900421621 "Phytophage.parasitoid" "Plants"
"5" 66 "Diacritinae" "Ichneumonidae: Diacritinae" "Hymenoptera" 0 0 1 "Abundance" 97 "yes" 0.019 17 0.466251611310716 NA NA
"6" 57 "Rhyssinae" "Ichneumonidae: Rhyssinae" "Hymenoptera" 6 6 7 "Abundance" 5 "yes" 0.021 4 0.0992580461053624 "Phytophage.parasitoid" "Wood"
"7" 12 "Strepsiptera" "Strepsiptera: all families" "Strepsiptera" 7 7 13 "Abundance" 208 "no" 0.069 91 0.687254080099085 "Phytophage.parasitoid" "Plants"
"8" 38 "Conopidae" "Conopidae" "Diptera" 27 27 28 "Abundance" 87 "no" 0.046 30 0.339850918730317 "Phytophage.parasitoid" "Plants"
"9" 1 "Odonata" "Odonata: all families" "Odonata" 59 61 63 "Abundance" 116 "no" 0.029 43 0.772672548561571 "Predator" "Water"
"10" 73 "Small parasitic aculeate families" "Mutillidae, Myrmosidae, Tiphiidae, Methochidae, Sapygidae" "Hymenoptera" 11 11 12 "Abundance" 204 "no" 0.052 38 0.380807311500381 "Phytophage.parasitoid" "Soil"
"11" 15 "Dixidae" "Dixidae" "Diptera" 11 12 17 "Abundance" 11 "no" 0.029 8 0.143753032290525 "Saprophagous" "Water"
"12" 76 "Eumeninae" "Vespidae: Eumeninae" "Hymenoptera" 38 38 39 "Abundance" 53 "no" 0.07 30 0.223330603737065 "Predator" "Plants"
"13" 48 "Evaniidae" "Evaniidae" "Hymenoptera" 2 2 3 "Abundance" 325 NA 0.11 98 0.464256952010991 "Saprophage.parasitoid" "Soil"
"14" 42 "Therevidae" "Therevidae" "Diptera" 20 20 23 "Abundance" 37 "no" 0.062 16 0.134478643110491 "Predator" "Soil"
"15" 39 "Aulacigastridae" "Aulacigastridae" "Diptera" 1 1 2 "Abundance" 73 "yes" 0.044 15 0.177649343881757 "Saprophagous" "Temporary.habitats"
"16" 60 "Phrudus group" "Ichneumonidae: Tersilochinae: Phrudus group" "Hymenoptera" 2 10 10 "Abundance" 488 "yes" 0.12 129 0.560187597707139 "Phytophage.parasitoid" "Plants"
"17" 59 "Xoridinae" "Ichneumonidae: Xoridinae" "Hymenoptera" 22 30 28 "Abundance" 115 "no" 0.11 55 0.260552371026576 "Phytophage.parasitoid" "Wood"
"18" 41 "Asilidae" "Asilidae" "Diptera" 39 39 41 "Abundance" 269 "no" 0.23 57 0.12914334911752 "Predator" "Soil"
"19" 47 "Heloridae" "Heloridae" "Hymenoptera" 4 5 5 "Abundance" 136 "no" 0.052 52 0.521104742053153 "Predator.parasitoid" "Plants"
"20" 24 "Piophilidae" "Piophilidae" "Diptera" 17 17 25 "Abundance" 1064 "yes" 0.12 55 0.238839673441028 "Saprophagous" "Temporary.habitats"
"21" 52 "Mymar" "Mymaridae: Mymar" "Hymenoptera" 2 2 6 "Abundance" 13 "yes" 0.15 7 0.0243182212958138 "General.parasitoid" "Plants"
"22" 51 "Omphale" "Eulophidae: Entedontinae: Omphale" "Hymenoptera" 28 45 45 "Abundance" 189 "no" 0.12 44 0.191071738752823 "Phytophage.parasitoid" "Plants"
"23" 58 "Poemeniinae" "Ichneumonidae: Poemeniinae" "Hymenoptera" 11 13 13 "Abundance" 57 "no" 0.12 44 0.191071738752823 "Phytophage.parasitoid" "Wood"
"24" 27 "Milichiidae excl Phyllomyza" "Milichiidae excl Phyllomyza" "Diptera" 9 9 12 "Abundance" 738 "yes" 0.126 109 0.450796959395188 "Saprophagous" "Temporary.habitats"
"25" 50 "Eupelmidae" "Eupelmidae" "Hymenoptera" 16 22 30 "Abundance" 618 "yes" 0.11 65 0.307925529395045 "Phytophage.parasitoid" "Plants"
"26" 33 "Trixoscelididae" "Trixoscelididae" "Diptera" 4 4 4 "Abundance" 245 "no" 0.07 36 0.267996724484478 "Saprophagous" "Temporary.habitats"
"27" 31 "Acartophthalmidae" "Acartophthalmidae" "Diptera" 1 3 3 "Abundance" 358 "yes" 0.13 79 0.316671343247685 "Saprophagous" "Temporary.habitats"
"28" 29 "Anthomyzidae" "Anthomyzidae" "Diptera" 18 18 22 "Abundance" 549 "no" 0.12 79 0.343060621851659 "Saprophagous" "Plants"
"29" 62 "Banchini" "Ichneumonidae: Banchinae: Banchini" "Hymenoptera" 19 28 28 "Abundance" 218 "yes" 0.14 49 0.182386659718603 "Phytophage.parasitoid" "Plants"
"30" 35 "Asteiidae" "Asteiidae" "Diptera" 8 8 8 "Abundance" 151 "no" 0.11 54 0.255815055189729 "Saprophagous" "Fungi"
"31" 30 "Tephritidae+Ulidiidae" "Tephritidae, Ulidiidae" "Diptera" 92 93 108 "Abundance" 495 "no" 0.11 107 0.506892794542612 "Phytophagous" "Plants"
"32" 79 "Bethylidae" "Bethylidae" "Hymenoptera" 14 22 25 "Abundance" 13 "no" 0.08 9 0.0586242834809797 "Saprophage.parasitoid" "Soil"
"33" 78 "Chrysididae" "Chrysididae" "Hymenoptera" 45 80 65 "Abundance" 41 "no" 0.16 14 0.0455966649296509 "Phytophage.parasitoid" "Plants"
"34" 40 "Clusiidae" "Clusiidae" "Diptera" 11 11 14 "Abundance" 54 "no" 0.14 15 0.0558326509342664 "Saprophagous" "Wood"
"35" 37 "Dryomyzidae" "Dryomyzidae" "Diptera" 4 7 5 "Abundance" 176 "no" 0.13 11 0.0440934781737283 "Saprophagous" "Temporary.habitats"
"36" 63 "Netelia" "Ichneumonidae: Tryphoninae: Netelia" "Hymenoptera" 13 28 30 "Abundance" 40 "yes" 0.14 13 0.0483882974763642 "Phytophage.parasitoid" "Plants"
"37" 64 "Anomaloninae" "Ichneumonidae: Anomaloninae" "Hymenoptera" 40 45 45 "Abundance" 32 "no" 0.2 15 0.0390828556539864 "Phytophage.parasitoid" "Plants"
"38" 46 "Ismaridae" "Ismaridae" "Hymenoptera" 5 5 6 "Abundance" 260 "no" 0.19 112 0.307177532157648 "Predator.parasitoid" "Plants"
"39" 34 "Pallopteridae" "Pallopteridae" "Diptera" 16 16 17 "Abundance" 231 "no" 0.11 65 0.307925529395045 "Predator" "Wood"
"40" 2 "Plecoptera" "Plecoptera: all families" "Plecoptera" 37 37 39 "Abundance" 3097 "no" 0.18 109 0.315557871576631 "Saprophagous" "Water"
"41" 54 "Adelognathinae" "Ichneumonidae: Adelognathinae" "Hymenoptera" 22 40 40 "Abundance" 503 "yes" 0.24 204 0.44293903074518 "Phytophage.parasitoid" "Plants"
"42" 26 "Lonchaeidae" "Lonchaeidae" "Diptera" 27 38 67 "Abundance" 386 "yes" 0.18 126 0.364773319437207 "Saprophagous" "Wood"
"43" 21 "Sepsidae" "Sepsidae" "Diptera" 34 32 38 "Abundance" 5223 "yes" 0.37 111 0.156331422615946 "Saprophagous" "Temporary.habitats"
"44" 71 "Pompilidae" "Pompilidae" "Hymenoptera" 61 83 82 "Abundance" 2304 "no" 0.28 296 0.550882155884761 "Predator" "Soil"
"45" 3 "Dermaptera" "Dermaptera: all families" "Dermaptera" 5 5 6 "Abundance" 102 "no" 0.22 15 0.0355298687763513 "Saprophagous" "Soil"
"46" 14 "Small mycetophiloid families" "Diadocidiidae, Mycetobiidae, Ditomyiidae, Sciarosoma" "Diptera" 6 8 16 "Abundance" 141 "yes" 0.2 32 0.0833767587285044 "Saprophagous" "Fungi"
"47" 17 "Porricondylinae (s lat)" "Cecidomyiidae: Porricondylinae, Winnertziinae" "Diptera" 27 NA 300 "Incidence" 366 "yes" 0.36 74 0.10711597475537 "Phytophagous" "Plants"
"48" 36 "Syrphidae" "Syrphidae" "Diptera" 368 404 415 "Abundance" 134 "no" 0.52 9 0.00901912053553534 "Predator" "Plants"
"49" 70 "Adeliini" "Braconidae: Cheloninae: Adeliini" "Hymenoptera" 1 4 6 "Abundance" 140 "yes" 0.15 63 0.218863991662324 "Phytophage.parasitoid" "Plants"
"50" 25 "Sciomyzidae" "Sciomyzidae" "Diptera" 77 85 83 "Abundance" 1023 "yes" 0.3 144 0.250130276185513 "Predator" "Water"
"51" 74 "Sphecidae (s lat)" "Crabronidae, Sphecidae, Ampulicidae" "Hymenoptera" 157 182 191 "Abundance" 56 "no" 0.12 23 0.0998784088935209 "Predator" "Plants"
"52" 55 "Diplazontinae" "Ichneumonidae: Diplazontinae" "Hymenoptera" 49 80 90 "Abundance" 2788 "yes" 0.45 320 0.370563372126686 "Predator.parasitoid" "Plants"
"53" 72 "Dryinidae+Embolemidae" "Dryinidae, Embolemidae" "Hymenoptera" 33 47 47 "Abundance" 480 "yes" 0.42 89 0.110424576292216 "Phytophage.parasitoid" "Plants"
"54" 32 "Lauxaniidae" "Lauxaniidae" "Diptera" 44 48 65 "Abundance" 352 "yes" 0.39 42 0.0561189722211087 "Saprophagous" "Temporary.habitats"
"55" 75 "Vespinae" "Vespidae: Vespinae" "Hymenoptera" 12 12 12 "Abundance" 240 "no" 0.54 36 0.0347403161368768 "Predator" "Plants"
"56" 68 "Meteorini" "Braconidae: Euphorinae: Meteorini" "Hymenoptera" 37 60 53 "Abundance" 1322 "yes" 0.55 285 0.27002700270027 "Phytophage.parasitoid" "Plants"
"57" 6 "Auchenorrhyncha excl Delphacidae" "Hemiptera: Auchenorrhyncha: Cicadidae, Cicadellidae, Ulopidae, Membracidae, Aphrophoridae, Achilidae, Caliscelidae, Cixiidae, Issidae" "Hemiptera" 325 355 358 "Abundance" 2171 "no" 0.564 66 0.0609803421551562 "Phytophagous" "Plants"
"58" 5 "Thysanoptera" "Thysanoptera: all families" "Thysanoptera" 119 117 186 "Abundance" 1528 "yes" 0.49 66 0.0701896183173634 NA "Plants"
"59" 45 "Figitidae excl Charipinae" "Figitidae: Anacharitinae, Aspicerinae, Eucoilinae, Figitinae" "Hymenoptera" 127 239 268 "Abundance" 1094 "yes" 0.33 165 0.260552371026576 "Saprophage.parasitoid" "Temporary.habitats"
"60" 43 "Symphyta" "Xyelidae, Cephidae, Pamphilidae, Siricidae, Xiphydriidae, Argidae, Blasticotomidae, Cimbicidae, Diprionidae, Tenthredinidae, Orussidae" "Hymenoptera" 584 875 799 "Abundance" 2912 "yes" 0.57 333 0.304434875620526 "Phytophagous" "Plants"
"61" 9 "Trichoptera" "Trichoptera: all families" "Trichoptera" 222 222 238 "Abundance" 3548 "no" 0.43 108 0.130882121259862 "Saprophagous" "Water"
"62" 11 "Macrolepidoptera" "Lepidoptera: Zygaenoidea, Papilionoidea, Drepanoidea, Geometroidea, Lasiocampoidea, Bombycoidea, Sphingoidea, Noctuoidea" "Lepidoptera" 1029 1026 1100 "Abundance" 425 "no" 0.65 30 0.0240509880947609 "Phytophagous" "Plants"
"63" 69 "Rogadinae" "Braconidae: Rogadinae" "Hymenoptera" 38 75 60 "Incidence" 161 "yes" 0.45 104 0.120433095941173 "Phytophage.parasitoid" "Plants"
"64" 53 "Ichneumoninae excl Phaeogenini" "Ichneumonidae: Ichneumoninae: Callajoppini, Eurylabini, Goedartiinae, Heresiarchini, Ichneumonini, Listrodromini, Oedicephalini, Platylabini, Zimmeriini" "Hymenoptera" 325 480 490 "Abundance" 5659 "yes" 0.61 423 0.361356239161449 "Phytophage.parasitoid" "Plants"
"65" 23 "Chloropidae" "Chloropidae" "Diptera" 149 150 200 "Abundance" 1419 "no" 0.47 36 0.039914405774284 "Phytophagous" "Plants"
"66" 67 "Cheloninae" "Braconidae: Cheloninae excl. Adeliini" "Hymenoptera" 45 90 86 "Incidence" 182 "yes" 0.21 34 0.0843693391895581 "Phytophage.parasitoid" "Plants"
"67" 22 "Heleomyzidae+Odiniidae" "Heleomyzidae" "Diptera" 54 62 80 "Abundance" 4921 "yes" 0.59 267 0.235821976488461 "Saprophagous" "Temporary.habitats"
"68" 4 "Psocoptera" "Psocoptera: all families" "Psocoptera" 65 62 84 "Incidence" 495 "yes" 0.64 95 0.0773514851485149 "Saprophagous" NA
"69" 77 "Formicidae" "Formicidae" "Hymenoptera" 82 85 112 "Abundance" 147 "no" 0.75 12 0.00833767587285044 "Saprophagous" "Soil"
"70" 56 "Pimplinae" "Ichneumonidae: Pimplinae" "Hymenoptera" 127 150 150 "Abundance" 2224 "yes" 0.73 391 0.279112265949017 "Phytophage.parasitoid" "Wood"
"71" 19 "Dolichopodidae" "Dolichopodidae" "Diptera" 314 356 360 "Abundance" 43148 "yes" 0.53 390 0.383454432831565 "Predator" "Soil"
