"Order" "AnalysisTaxon" "Filename" "Type"
"5" "Psocoptera" "Psocoptera" "SMTP_Psocoptera.xls" "non-quantitative"
"8" "Psylloidea" "Psylloidea" "SMTP_Psylloidea_CAG.xls" "non-quantitative"
"9" "Psylloidea" "Psylloidea" "SMTP_Psylloidea_CAG_2.xls" "non-quantitative"
"10" "Psylloidea" "Psylloidea" "SMTP_Psylloidea_CAG_6.xls" "non-quantitative"
"11" "Psylloidea" "Psylloidea" "SMTP_Psylloidea_CAG_7.xls" "non-quantitative"
"12" "Psylloidea" "Psylloidea" "SMTP_Psylloidea_CAG_8.xls" "non-quantitative"
"13" "Psylloidea" "Psylloidea" "SMTP_Psylloidea_CAG_9.xls" "non-quantitative"
"35" "Diptera" "Cecidomyiidae: Porricondylinae (s lat)" "SMTP_Cecidomyiidae.xls" "non-quantitative"
"107" "Hymenoptera" "Cheloninae excl Adeliini" "SMTP_Cheloninae.xls" "non-quantitative"
"109" "Hymenoptera" "Rogadinae" "SMTP_Rogadinae.xls" "non-quantitative"
