"Sorting.Number" "Order" "Taxon..Dyntaxa.2017." "Taxon.in.Gärdenfors.et.al...2003." "Linné..1761." "Wahlgren...Tullgren..1922." "Gärdenfors.et.al...2003." "Corrected.values.2003" "Dyntaxa.2017" "Corrected.values.2017" "Sweden.estimated.total" "New.species.to.science.since.2003" "Estimate.minus.known.2003" "Estimate.minus.known.2017" "Main.feeding.niche" "Main.feeding.habitat" "Expert.estimate"
"1" 1 "Collembola" "Arrhopalitidae" "Arrhopalitidae" 0 0 4 4 4 4 7 0 3 3 "Saprophagous" "Soil" "Arne Fjellberg"
"2" 1 "Collembola" "Bourletiellidae" "Bourletiellidae" 0 7 12 10 10 10 11 0 1 1 "Saprophagous" "Plants" "Arne Fjellberg"
"3" 1 "Collembola" "Brachystomellidae" "Brachystomellidae" 0 0 1 1 1 1 1 0 0 0 "Saprophagous" "Soil" "Arne Fjellberg"
"4" 1 "Collembola" "Cyphoderidae" "Cyphoderidae" 0 1 1 1 1 1 1 0 0 0 "Saprophagous" "Soil" "Arne Fjellberg"
"5" 1 "Collembola" "Dicyrtomidae" "Dicyrtomidae" 1 0 3 3 5 5 7 0 4 2 "Saprophagous" "Soil" "Arne Fjellberg"
"6" 1 "Collembola" "Entomobryidae" "Entomobryidae" 2 20 26 26 33 33 36 0 10 3 "Saprophagous" "Soil" "Arne Fjellberg"
"7" 1 "Collembola" "Hypogastruridae" "Hypogastruridae" 0 25 29 29 36 36 38 2 9 2 "Saprophagous" "Soil" "Arne Fjellberg"
"8" 1 "Collembola" "Isotomidae" "Isotomidae" 1 28 78 78 102 102 115 4 37 13 "Saprophagous" "Soil" "Arne Fjellberg"
"9" 1 "Collembola" "Katiannidae" "Katiannidae" 0 0 5 5 9 9 15 0 10 6 "Saprophagous" "Soil" "Arne Fjellberg"
"10" 1 "Collembola" "Mackenziellidae" "Mackenziellidae" 0 0 1 1 1 1 1 0 0 0 "Saprophagous" "Soil" "Arne Fjellberg"
"11" 1 "Collembola" "Neanuridae" "Neanuridae" 0 12 25 25 27 27 32 0 7 5 "Saprophagous" "Soil" "Arne Fjellberg"
"12" 1 "Collembola" "Neelidae" "Neelidae" 0 1 2 2 2 2 2 0 0 0 "Saprophagous" "Soil" "Arne Fjellberg"
"13" 1 "Collembola" "Odontellidae" "Odontellidae" 0 0 3 3 4 4 4 1 1 0 "Saprophagous" "Soil" "Arne Fjellberg"
"14" 1 "Collembola" "Oncopoduridae" NA 0 0 0 0 0 0 1 0 1 1 "Saprophagous" "Soil" "Arne Fjellberg"
"15" 1 "Collembola" "Onychiuridae" "Onychiuridae" 1 5 37 37 45 45 59 0 22 14 "Saprophagous" "Soil" "Arne Fjellberg"
"16" 1 "Collembola" "Poduridae" "Poduridae" 1 1 1 1 1 1 1 0 0 0 "Saprophagous" "Water" "Arne Fjellberg"
