"TrapID" "Locality.name.on.label" "Country" "Province" "Province.abbreviation" "County" "Parish" "Locality" "Complete.locality.name" "Latitude" "Longitude" "GPS.precision" "Biogeographic.region" "Method" "Habitat" "Habitat.class" "Trap.head.direction" "Altitude.m.s.l." "Vegetation" "Running.period.start" "Running.period.end" "Number.of.samples"
"1" 1 "Sö Åva Spirudden" "Sweden" "Södermanland" "Sö" "Tyresö kommun" "Tyresö socken" "Tyresta, Åva, Spirudden" "SE, Sö, Tyresö kommun, Tyresö socken, Tyresta, Åva, Spirudden" 59.171883 18.36995 "10 m" "boreonemoral" "Malaise trap, Townes model" "Coastal mixed dense oak-ash forest" "Forest: nemoral deciduous forest" "202°" 10 "Acer pseudoplatanus, Anthriscus sylvestris, Fraxinus excelsior, Geum urbanum, Laserpitium latifolium, Quercus robur, Rosa sp., Sorbus intermedia, Tilia cordata, Ulmus glabra" "2003-06-08" "2006-04-03" 33
"2" 2 "Sö Tyresta Ungfars mosse" "Sweden" "Södermanland" "Sö" "Tyresö kommun" "Tyresö socken" "Tyresta NP, Ungfars mosse" "SE, Sö, Tyresö kommun, Tyresö socken, Tyresta NP, Ungfars mosse" 59.1783 18.229433 "10 m" "boreonemoral" "Malaise trap, Townes model" "Sphagnum bog in pine forest" "Open meagre dry habitat" "350°" 64 "Andromeda polifolia, Betula pubescens, Calluna vulgaris, Eriophorum angustifolium, Myrica gale, Pinus sylvestris, Sphagnum spp." "2003-06-08" "2006-05-08" 29
"3" 3 "Sö Tyresta Urskogsslingan pine forest" "Sweden" "Södermanland" "Sö" "Haninge kommun" "Österhaninge socken" "Tyresta NP, Urskogsslingan" "SE, Sö, Haninge kommun, Österhaninge socken, Tyresta NP, Urskogsslingan" 59.1768 18.246933 "10 m" "boreonemoral" "Malaise trap, Townes model" "\"Hällmarkstallskog\": open pine forest on partly bare granite bedrock" "Forest: coniferous forest" "180°" 69 "Calluna vulgaris, Cladonia sp., Picea abies, Pinus sylvestris, Vaccinium myrtillus." "2003-06-08" "2006-05-08" 31
"4" 4 "Sö Tyresta Urskogsslingan spruce forest" "Sweden" "Södermanland" "Sö" "Haninge kommun" "Österhaninge socken" "Tyresta NP, Urskogsslingan" "SE, Sö, Haninge kommun, Österhaninge socken, Tyresta NP, Urskogsslingan" 59.1759 18.247583 "10 m" "boreonemoral" "Malaise trap, Townes model" "Old-growth spruce forest with blueberry" "Forest: coniferous forest" "180°" 67 "Maianthemum bifolium, Picea abies, Populus tremula, Sphagnum spp., Vaccinium myrtillus, Vacciniuim vitis-idaea" "2003-06-08" "2006-05-08" 31
"5" 5 "Sö Sofielundstippen garbage" "Sweden" "Södermanland" "Sö" "Huddinge kommun" "Huddinge socken" "Sofielunds återvinningsanläggning" "SE, Sö, Huddinge kommun, Huddinge socken, Sofielunds återvinningsanläggning" 59.176533 17.99385 "10 m" "boreonemoral" "Malaise trap, Townes model" "Dry aspen-pine forest at garbage dump edge with much rubbish" "Forest: boreal deciduous forest" "202°" 77 "Calluna vulgaris, Convallaria majalis, Picea abies, Pinus sylvestris, Populus tremula, Quercus robur, Sorbus aucuparia, Vacciniuim vitis-idaea " "2003-06-16" "2004-10-20" 30
"6" 6 "Up Marma skjutfält" "Sweden" "Uppland" "Up" "Älvkarleby kommun" "Älvkarleby socken" "Marma skjutfält, east of Sköldvägen/Kanonvägen" "SE, Up, Älvkarleby kommun, Älvkarleby socken, Marma skjutfält, east of Sköldvägen/Kanonvägen" 60.524267 17.451483 "10 m" "boreonemoral" "Malaise trap, Townes model" "Dry meadow with birch in shooting range" "Open meagre dry habitat" "167°" 29 "Achillea millefolium, Antennaria dioica, Betula pendula, Equisetum hyemale, Erigeron acer, Fragaria vesca, Galium boreale, Galium verum, Pteridium aquilinum, Ribes alpinum, Rubus saxatilis, Solidago virgaurea, Stellaria, Trifolium pratense, Vacciniuim vitis-idaea, Vicia sylvatica" "2003-06-17" "2006-05-07" 26
"7" 7 "Up Båtfors" "Sweden" "Uppland" "Up" "Älvkarleby kommun" "Älvkarleby socken" "Båtfors, between Milsten and Båtforstorpet" "SE, Up, Älvkarleby kommun, Älvkarleby socken, Båtfors, between Milsten and Båtforstorpet" 60.46065 17.317817 "10 m" "boreonemoral" "Malaise trap, Townes model" "Flood-regiment old-growth birch edge of pine forest" "Forest: coniferous forest" "290°" 40 "Betula pendula, Convallaria majalis, Dactylorhiza maculata maculata, Fraxinus excelsior, Iris pseudacorus, Mycelis muralis, Pinus sylvestris, Polygonum aviculare, Populus tremula, Potentilla sp., Quercus robur, Salix caprea, Sorbus aucuparia, Stellaria sp., Vaccinium myrtillus" "2003-06-17" "2006-04-18" 32
"8" 8 "Up Biskops-Arnö" "Sweden" "Uppland" "Up" "Håbo kommun" "Övergran socken" "Biskops-Arnö, northern beach" "SE, Up, Håbo kommun, Övergran socken, Biskops-Arnö, northern beach" 59.672133 17.50085 "10 m" "boreonemoral" "Malaise trap, Townes model" "Elm grove" "Forest: nemoral deciduous forest" "185°" 8 "Actaea spicata, Alnus glutinosa, Anthriscus sylvestris, Convallaria majalis, Fraxinus excelsior, Geranium sylvaticum, Geum urbanum, Iris pseudacorus, Paris quadrifolia, Poa nemoralis, Rubus idaeus, Stachys sylvatica, Taraxacum sp., Ulmus glabra" "2003-06-18" "2006-04-05" 23
"9" 9 "Up Rickebasta" "Sweden" "Uppland" "Up" "Knivsta kommun" "Alsike socken" "Rickebasta alsumpskog, western part" "SE, Up, Knivsta kommun, Alsike socken, Rickebasta alsumpskog, western part" 59.73435 17.720417 "10 m" "boreonemoral" "Malaise trap, Townes model" "Alder swamp forest" "Forest: boreal deciduous forest" "211°" 20 "Alnus glutinosa, Betula pubescens, Carex spp., Cirsium palustre, Fraxinus excelsior, Galium sp., Iris pseudacorus, Juncus sp., Lemna sp., Lycopus europaeus, Lysimachia thyrsiflora, Peucedanum palustre, Picea abies, Prunus padus, Ranunculus acris, Solanum dulcamara, Stellaria longifolia" "2003-06-18" "2005-12-08" 36
"10" 10 "Dr Säterdalen Näsåkerspussen" "Sweden" "Dalarna" "Dr" "Säters kommun" "Säter socken" "Säterdalen, Näsåkerspussen" "SE, Dr, Säters kommun, Säter socken, Säterdalen, Näsåkerspussen" 60.366667 15.716667 "10 m" "boreal" "Malaise trap, Townes model" "Alder forest in slope of large silt ravine" "Forest: nemoral deciduous forest" "165°" 162 "Alnus incana, Anemone nemorosa, Betula pendula, Butomus umbellatus, Equisetum fluviatile, Oxalis acetosella, Paris quadrifolia, Prunus padus, Pteridium aquilinum, Ribes spicatum spicatum, Rubus idaeus, Sambucus racemosa, Sorbus aucuparia" "2003-06-23" "2006-05-11" 33
"11" 11 "Vs Västerfärnebo Nötmyran" "Sweden" "Västmanland" "Vs" "Sala kommun" "Västerfärnebo socken" "Nötmyran, Östermyran near Islingby" "SE, Vs, Sala kommun, Västerfärnebo socken, Nötmyran, Östermyran near Islingby" 59.941959 16.30945 "10 m" "boreal" "Malaise trap, Townes model" "Moist hay-making meadow" "Open lush habitat" "230°" 66 "Agrostis canina, Alchemilla, Alopecurus pratensis, Anthriscus sylvestris, Betula pendula, Campanula patula, Carex nigra, Cirsium arvense, Comarum palustre, Eriophorum angustifolium, Filipendula ulmaria, Galeopsis speciosa, Lathyrus pratensis, Luzula multiflora, Lychnis flos-cuculi, Potentilla anserina, Ranunculus acris, Rhinanthus minor, Rumex acetosa, Senecio viscosus, Thalictrum flavum, Trifolium repens" "2003-06-23" "2005-10-17" 25
"12" 12 "Sö Hunga södergård" "Sweden" "Södermanland" "Sö" "Trosa kommun" "Vagnhärad socken" "Hunga, Hunga Södergård 1" "SE, Sö, Trosa kommun, Vagnhärad socken, Hunga, Hunga Södergård 1" 58.920733 17.521233 "10 m" "boreonemoral" "Malaise trap, Townes model" "Agricultural backyard, heavily eutrophicated, in tall grass near stable manure pile" "Open lush habitat" "180°" 18 "Agrostis gigantea, Lolium perenne, Rumex longifolius, Salix caprea, Tripleurospermum perforatum, Urtica dioica" "2003-06-24" "2005-01-05" 25
"13" 13 "Ög Omberg Stocklycke äng" "Sweden" "Östergötland" "Ög" "Ödeshögs kommun" "Västra Tollstad socken" "Omberg, Stocklycke äng" "SE, Ög, Ödeshögs kommun, Västra Tollstad socken, Omberg, Stocklycke äng" 58.307533 14.630983 "10 m" "boreonemoral" "Malaise trap, Townes model" "Meadow in lime-tree dominated forest" "Open lush habitat" "180°" 130 "Aegopodium podagraria, Aquilegia vulgaris, Betula pendula, Cirsium palustre, Corylus avellana, Dactylis glomerata, Dactylorhiza maculata maculata, Fagus sylvatica, Filipendula ulmaria, Fraxinus excelsior, Geum rivale, Laserpitium latifolium, Prunus padus, Ulmus glabra" "2003-06-24" "2005-09-16" 30
"14" 14 "Ög Omberg Stocklycke skog" "Sweden" "Östergötland" "Ög" "Ödeshögs kommun" "Västra Tollstad socken" "Omberg, Stocklycke skog" "SE, Ög, Ödeshögs kommun, Västra Tollstad socken, Omberg, Stocklycke skog" 58.306383 14.631833 "10 m" "boreonemoral" "Malaise trap, Townes model" "Mixed elm-dominated forest" "Forest: nemoral deciduous forest" "200°" 136 "Aegopodium podagraria, Anemone hepatica, Anemone nemorosa, Corylus avellana, Fraxinus excelsior, Paris quadrifolia, Polygonatum multiflorum, Prunus padus, Ribes alpinum, Stachys sylvatica, Ulmus glabra" "2003-06-24" "2006-04-24" 29
"15" 15 "Ög Omberg Storpissan" "Sweden" "Östergötland" "Ög" "Ödeshögs kommun" "Västra Tollstad socken" "Omberg, Storpissan NR" "SE, Ög, Ödeshögs kommun, Västra Tollstad socken, Omberg, Storpissan NR" 58.334917 14.655 "10 m" "boreonemoral" "Malaise trap, Townes model" "Old-growth spruce forest" "Forest: coniferous forest" "250°" 172 "Allium ursinum, Alnus glutinosa, Fraxinus excelsior, Hylocomium splendens, Mercurialis perennis, Oxalis acetosella, Picea abies, Ribes alpinum, Sorbus aucuparia" "2003-06-24" "2006-04-24" 26
"16" 16 "Ög Omberg Bokskogsreservatet" "Sweden" "Östergötland" "Ög" "Ödeshögs kommun" "Västra Tollstad socken" "Omberg, Bokskogsreservatet" "SE, Ög, Ödeshögs kommun, Västra Tollstad socken, Omberg, Bokskogsreservatet" 58.297183 14.634817 "10 m" "boreonemoral" "Malaise trap, Townes model" "Beech forest" "Forest: nemoral deciduous forest" "210°" 108 "Anemone hepatica, Anemone nemorosa, Aquilegia vulgaris, Carex, Fagus sylvatica, Fraxinus excelsior, Larix decidua, Maianthemum bifolium" "2003-06-24" "2006-04-24" 24
"17" 17 "Sm Lönnemålen" "Sweden" "Småland" "Sm" "Gränna kommun" "Gränna socken" "Lönnemålen" "SE, Sm, Gränna kommun, Gränna socken, Lönnemålen" 58.048917 14.573033 "10 m" "boreonemoral" "Malaise trap, Townes model" "Spruce forest with big ash pollards" "Forest: nemoral deciduous forest" "198°" 293 "Aegopodium podagraria, Anthriscus sylvestris, Corylus avellana, Dactylis glomerata, Filipendula ulmaria, Fraxinus excelsior, Geranium sylvaticum, Oxalis acetosella, Picea abies, Ranunculus acris, Urtica dioica" "2003-06-24" "2006-05-10" 37
"18" 18 "Sm Hornsö kronopark" "Sweden" "Småland" "Sm" "Högsby kommun" "Långemåla socken" "Hornsö kronopark, vicinity of Skärsgölorna, near end of Nya Kringlavägen" "SE, Sm, Högsby kommun, Långemåla socken, Hornsö kronopark, vicinity of Skärsgölorna, near end of Nya Kringlavägen" 57.00655 16.10935 "10 m" "boreonemoral" "Malaise trap, Townes model" "Birch fen" "Forest: boreal deciduous forest" "170°" 81 "Alnus glutinosa, Betula pubescens, Comarum palustre, Picea abies, Pinus sylvestris, Quercus robur, Salix sp., Sphagnum spp., Vacciniuim vitis-idaea, Vaccinium myrtillus" "2003-06-25" "2005-04-19" 48
"19" 20 "Öl Frösslunda alvar" "Sweden" "Öland" "Öl" "Mörbylånga kommun" "Stenåsa socken" "Frösslunda alvar, north-eastern part" "SE, Öl, Mörbylånga kommun, Stenåsa socken, Frösslunda alvar, north-eastern part" 56.54745 16.57725 "10 m" "nemoral" "Malaise trap, Townes model" "Cattle-grazed pasture on alvar limestone heath" "Open meagre dry habitat" "104°" 18 "Anemone pratensis, Filipendula vulgaris, Galium boreale, Globularia vulgaris, Helianthemum nummularium, Helictotrichon pratense, Juniperus communis, Oenothera biennis, Prunus spinosa, Sedum acre, Thymus serpyllum serpyllum" "2003-06-25" "2005-12-30" 24
"20" 21 "Öl Ottenby Södra lunden" "Sweden" "Öland" "Öl" "Mörbylånga kommun" "Ås socken" "Ottenby NR, Södra lunden, radarstationen" "SE, Öl, Mörbylånga kommun, Ås socken, Ottenby NR, Södra lunden, radarstationen" 56.21935 16.42235 "10 m" "nemoral" "Malaise trap, Townes model" "Glade in deciduous grove" "Forest: nemoral deciduous forest" "257°" 11 "Alnus glutinosa, Betula pendula, Oxalis acetosella, Populus tremula, Quercus robur, Rubus, Rubus idaeus" "2003-06-25" "2005-12-31" 28
"21" 22 "Öl Gamla Skogsby" "Sweden" "Öland" "Öl" "Mörbylånga kommun" "Torslunda socken" "Skogsby, Gamla Skogsby near Kalkstad NR, Diversitetsängen" "SE, Öl, Mörbylånga kommun, Torslunda socken, Skogsby, Gamla Skogsby near Kalkstad NR, Diversitetsängen" 56.6167 16.507617 "10 m" "nemoral" "Malaise trap, Townes model" "Rich transitional meadow with shrubs near nemoral forest" "Open lush habitat" "153°" 42 "Allium sp., Convolvulus arvensis, Dactylis glomerata, Dasiphora fruticosa, Filipendula vulgaris, Fragaria vesca, Fraxinus excelsior, Galium boreale, Galium verum, Medicago sativa falcata, Poa pratensis pratensis, Primula veris, Prunus spinosa, Ranunculus polyanthemos, Rosa sp., Taraxacum sp., Vicia hirsuta" "2003-06-25" "2006-09-06" 46
"22" 23 "Bl Tromtö nabb" "Sweden" "Blekinge" "Bl" "Ronneby kommun" "Förkärla socken" "Tromtö NR, Tromtö nabb" "SE, Bl, Ronneby kommun, Förkärla socken, Tromtö NR, Tromtö nabb" 56.149067 15.480017 "10 m" "nemoral" "Malaise trap, Townes model" "Old-growth oak forest with beech" "Forest: nemoral deciduous forest" "100°" 8 "Anemone nemorosa, Cerastium, Dactylis glomerata, Fagus sylvatica, Galium aparine, Poa nemoralis, Quercus robur, Sorbus aucuparia, Stellaria holostea" "2003-06-26" "2005-12-28" 59
"23" 24 "Sm Stenbrohult Djäknabygd" "Sweden" "Småland" "Sm" "Älmhults kommun" "Stenbrohult socken" "Djäknabygds bokbacke" "SE, Sm, Älmhults kommun, Stenbrohult socken, Djäknabygds bokbacke" 56.609133 14.19305 "10 m" "boreonemoral" "Malaise trap, Townes model" "Old-growth beech grove" "Forest: nemoral deciduous forest" "40°" 149 "Anemone nemorosa, Betula pendula, Carpinus betulus, Corylus avellana, Deschampsia flexuosa, Fagus sylvatica, Galium saxatile, Holcus mollis, Juniperus communis, Lathyrus linifolius, Luzula pilosa, Maianthemum bifolium, Poa pratensis pratensis, Quercus robur, Sorbus aucuparia, Trientalis europaea, Vaccinium myrtillus" "2003-06-26" "2006-05-07" 19
"24" 25 "Up Fiby urskog" "Sweden" "Uppland" "Up" "Uppsala kommun" "Vänge socken" "Fiby urskog NR, Trefaldighets källa" "SE, Up, Uppsala kommun, Vänge socken, Fiby urskog NR, Trefaldighets källa" 59.8834 17.19305 "10 m" "boreonemoral" "Malaise trap, Townes model" "Mixed aspen forest on alluvial sediment" "Forest: boreal deciduous forest" "178°" 63 "Alnus glutinosa, Betula pendula, Filipendula ulmaria, Fraxinus excelsior, Iris pseudacorus, Lysimachia, Picea abies, Prunus padus, Rubus idaeus, Salix caprea, Solanum dulcamara, Urtica dioica, Viburnum opulus" "2003-06-29" "2003-11-18" 5
"25" 26 "Up Svartlöga" "Sweden" "Uppland" "Up" "Norrtälje kommun" "Blidö socken" "Svartlöga, Matkrok" "SE, Up, Norrtälje kommun, Blidö socken, Svartlöga, Matkrok" 59.56945 19.053 "10 m" "boreonemoral" "Malaise trap, Townes model" "Lush archipelago-type deciduous forest" "Forest: boreal deciduous forest" "175°" 10 "Alnus glutinosa, Betula pendula, Carex, Dactylis glomerata, Juniperus communis, Melampyrum sylvaticum, Melica uniflora, Prunus padus, Rhamnus cathartica, Salix caprea, Sorbus aucuparia, Vaccinium myrtillus" "2003-07-07" "2006-03-23" 31
"26" 27 "Up Vällen Ekdalen" "Sweden" "Uppland" "Up" "Uppsala kommun" "Knutby socken" "Vällen, Ekdalen NR, southern hillside" "SE, Up, Uppsala kommun, Knutby socken, Vällen, Ekdalen NR, southern hillside" 59.971517 18.354983 "10 m" "boreonemoral" "Malaise trap, Townes model" "Herb-rich open oak forest" "Forest: nemoral deciduous forest" "40°" 38 "Anemone hepatica, Anemone nemorosa, Corylus avellana, Fragaria vesca, Lonicera xylosteum, Populus tremula, Quercus robur, Ribes alpinum, Rubus idaeus, Rubus saxatilis, Senecio viscosus, Sorbus aucuparia, Tilia cordata" "2003-07-07" "2006-05-11" 56
"27" 28 "Go Roleks" "Sweden" "Gotland" "Go" "Gotlands kommun" "Vall socken" "Roleks" "SE, Go, Gotlands kommun, Vall socken, Roleks" 57.536783 18.337883 "10 m" "boreonemoral" "Malaise trap, Townes model" "Open limestone pasture at border to pine forest" "Open meagre dry habitat" "276°" 54 "Bellis perennis, Crataegus, Dactylis glomerata, Festuca ovina, Filipendula vulgaris, Fraxinus excelsior, Galium verum, Helianthemum nummularium, Juniperus communis, Myosotis scorpioides scorpioides, Pinus sylvestris, Plantgo lanceolata, Rhamnus cathartica, Rosa, Sambucus racemosa, Ulmus minor" "2003-07-08" "2006-01-11" 25
"28" 29 "Go Rembs" "Sweden" "Gotland" "Go" "Gotlands kommun" "Sundre socken" "Rembs" "SE, Go, Gotlands kommun, Sundre socken, Rembs" 56.9333933 18.268783 "10 m" "nemoral" "Malaise trap, Townes model" "Lichen-rich pine forest on sand dunes" "Forest: coniferous forest" "230°" 12 "Cladonia rangiferina, Cladonia stellaris, Juniperus communis, Pinus sylvestris, Pleurozium schreberi" "2003-07-08" "2005-12-12" 26
"29" 30 "Sö Tullgarnsnäs" "Sweden" "Södermanland" "Sö" "Södertälje kommun" "Hölö socken" "Tullgarnsnäs NR, Rävsalaviken" "SE, Sö, Södertälje kommun, Hölö socken, Tullgarnsnäs NR, Rävsalaviken" 58.955217 17.60755 "10 m" "boreonemoral" "Malaise trap, Townes model" "Spruce forest edge towards coastal pasture" "Forest: coniferous forest" "236°" 12 "Anemone nemorosa, Betula pendula, Campanula persicifolia, Convallaria majalis, Dactylis glomerata, Deschampsia cespitosa, Fraxinus excelsior, Juniperus communis, Melampyrum sylvaticum, Picea abies, Poa sp., Primula veris, Prunus spinosa, Quercus robur, Rosa sp., Sorbus aucuparia, Ulmus glabra" "2003-07-09" "2006-05-21" 16
