"Genus"	"Species"	"Author"	"TrapID"	"EventID"
"1"	"Asynapta"	"strobi"	"(Kieffer, 1920)"	2	81
"2"	"Porricondyla"	"leacheana"	"(F.Walker, 1856)"	21	240
"3"	"Schistoneurus"	"irregularis"	"Mamaev, 1964"	21	240
"4"	"Camptomyia"	"corticalis"	"(Loew, 1851)"	18	341
"5"	"Camptomyia"	"regia"	"Spuņģis, 1989"	18	341
"6"	"Winnertzia"	"longiptera"	"Mamaev, 2002"	18	341
"7"	"Coccopsilis"	"paneliusi"	"(Yukawa, 1971)"	25	453
"8"	"Tetraneuromyia"	"lenticularis"	"(Spuņģis, 1987)"	25	453
"9"	"Asynapta"	"rufomaculata"	"Panelius, 1965"	27	487
"10"	"Dicerura"	"dentata"	"Spuņģis, 1979"	27	487
"11"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	27	487
"12"	"Neurepidosis"	"grytsjoenensis"	"Jaschhof, 2013"	27	487
"13"	"Porricondyla"	"macrodon"	"Jaschhof, 2013"	27	487
"14"	"Winnertzia"	"tumida"	"Panelius, 1965"	27	487
"15"	"Heteropeza"	"pygmaea"	"Winnertz, 1846"	28	488
"16"	"Parepidosis"	"argentifera"	"(de Meijere, 1906)"	28	488
"17"	"Porricondyla"	"colpodioides"	"Mamaev, 1963"	28	488
"18"	"Porricondyla"	"errabunda"	"Mamaev, 2001"	28	488
"19"	"Porricondyla"	"photophila"	"Spuņģis, 1981"	28	488
"20"	"Stackelbergiella"	"hordei"	"(Barnes, 1927)"	28	488
"21"	"Asynapta"	"breviata"	"Spuņģis, 1988"	31	515
"22"	"Asynapta"	"inflata"	"Spuņģis, 1988"	31	515
"23"	"Asynapta"	"magdalini"	"Panelius, 1965"	31	515
"24"	"Asynapta"	"saliciperda"	"Felt, 1908"	31	515
"25"	"Porricondyla"	"nigripennis"	"(Meigen, 1830)"	31	515
"26"	"Serratyla"	"pubescens"	"(F.Walker, 1856)"	31	515
"27"	"Winnertzia"	"solidaginis"	"Felt, 1907"	31	515
"28"	"Winnertzia"	"tridens"	"Panelius, 1965"	31	515
"29"	"Porricondyla"	"nigripennis"	"(Meigen, 1830)"	36	824
"30"	"Serratyla"	"pubescens"	"(F.Walker, 1856)"	36	824
"31"	"Spungisomyia"	"aberrans"	"Jaschhof, 2013"	37	833
"32"	"Coccopsilis"	"paneliusi"	"(Yukawa, 1971)"	38	1128
"33"	"Cryptoneurus"	"musicola"	"(Kieffer, 1896)"	38	1128
"34"	"Monepidosis"	"scanica"	"Jaschhof, 2013"	38	1128
"35"	"Porricondyla"	"colpodioides"	"Mamaev, 1963"	38	1128
"36"	"Asynapta"	"saliciperda"	"Felt, 1908"	1008	1032
"37"	"Camptomyia"	"flavocinerea"	"Panelius, 1965"	1008	1032
"38"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	1008	1032
"39"	"Pseudepidosis"	"trifida"	"Mamaev, 1966"	1008	1032
"40"	"Serratyla"	"pubescens"	"(F.Walker, 1856)"	1008	1032
"41"	"Spungisomyia"	"media"	"(Spuņģis, 1981)"	1008	1032
"42"	"Bryocrypta"	"indubitata"	"Mamaev, 1964"	29	1047
"43"	"Cassidoides"	"fulviventris"	"(Mamaev, 1964)"	29	1047
"44"	"Monepidosis"	"pectinatoides"	"Jaschhof, 2013"	29	1047
"45"	"Porricondyla"	"lata"	"Mamaev, 1965"	29	1047
"46"	"Schistoneurus"	"impressus"	"Mamaev, 1964"	29	1047
"47"	"Winnertzia"	"bulbifera"	"Mamaev, 1963"	29	1047
"48"	"Winnertzia"	"solidaginis"	"Felt, 1907"	29	1047
"49"	"Bryocrypta"	"indubitata"	"Mamaev, 1964"	29	1048
"50"	"Claspettomyia"	"hamata"	"(Felt, 1907)"	29	1048
"51"	"Divellepidosis"	"fuscostriata"	"(Panelius, 1965)"	29	1048
"52"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	29	1048
"53"	"Monepidosis"	"pectinatoides"	"Jaschhof, 2013"	29	1048
"54"	"Porricondyla"	"lata"	"Mamaev, 1965"	29	1048
"55"	"Rostellatyla"	"varians"	"(Parnell, 1971)"	29	1048
"56"	"Stomatocolpodia"	"svecica"	"Jaschhof, 2013"	29	1048
"57"	"Zaitzeviola"	"pilosistylata"	"Jaschhof, 2013"	29	1048
"58"	"Porricondyla"	"lata"	"Mamaev, 1965"	29	1049
"59"	"Zaitzeviola"	"dentatostylata"	"Jaschhof, 2013"	29	1049
"60"	"Zaitzeviola"	"pilosistylata"	"Jaschhof, 2013"	29	1049
"61"	"Bryocrypta"	"dubia"	"Kieffer, 1896"	31	1061
"62"	"Divellepidosis"	"pallescens"	"(Panelius, 1965)"	31	1061
"63"	"Heteropeza"	"pygmaea"	"Winnertz, 1846"	31	1061
"64"	"Leptosyna"	"nervosa"	"(Winnertz, 1852)"	31	1061
"65"	"Porricondyla"	"pilosa"	"(Mamaev & Zaitzev, 1996)"	31	1061
"66"	"Winnertzia"	"padicola"	"Spuņģis, 1992"	31	1061
"67"	"Winnertzia"	"tridens"	"Panelius, 1965"	31	1061
"68"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	44	1185
"69"	"Pseudepidosis"	"trifida"	"Mamaev, 1966"	44	1185
"70"	"Rostratyla"	"simplex"	"Jaschhof, 2013"	44	1185
"71"	"Serratyla"	"pubescens"	"(F.Walker, 1856)"	44	1185
"72"	"Spungisomyia"	"media"	"(Spuņģis, 1981)"	44	1185
"73"	"Camptomyia"	"corticalis"	"(Loew, 1851)"	44	1186
"74"	"Diallactia"	"crocea"	"(Kieffer, 1894)"	44	1186
"75"	"Divellepidosis"	"armilla"	"(Mamaev, 1994)"	44	1186
"76"	"Divellepidosis"	"pallescens"	"(Panelius, 1965)"	44	1186
"77"	"Monepidosis"	"pectinatoides"	"Jaschhof, 2013"	44	1186
"78"	"Parepidosis"	"arcuata"	"Mamaev, 1964"	44	1186
"79"	"Porricondyla"	"neglecta"	"Mamaev, 1965"	44	1186
"80"	"Rostellatyla"	"rostellata"	"(Panelius, 1965)"	44	1186
"81"	"Winnertzia"	"globifera"	"Mamaev, 1963"	44	1186
"82"	"Camptomyia"	"flavocinerea"	"Panelius, 1965"	44	1187
"83"	"Camptomyia"	"gigantea"	"Spuņģis, 1989"	44	1187
"84"	"Diallactia"	"crocea"	"(Kieffer, 1894)"	44	1187
"85"	"Monepidosis"	"furcata"	"Mamaev, 1966"	44	1187
"86"	"Schistoneurus"	"impressus"	"Mamaev, 1964"	44	1187
"87"	"Winnertzia"	"sp."	"Rondani, 1860"	44	1187
"88"	"Zaitzeviola"	"pilosistylata"	"Jaschhof, 2013"	44	1187
"89"	"Camptomyia"	"flavocinerea"	"Panelius, 1965"	44	1188
"90"	"Paneliusia"	"albimanoides"	"Jaschhof, 2013"	44	1188
"91"	"Zaitzeviola"	"angustistylata"	"Jaschhof, 2013"	44	1188
"92"	"Hilversidia"	"autumnalis"	"Mamaev, 1966"	44	1189
"93"	"Tetraneuromyia"	"lamellata"	"Spuņģis, 1987"	44	1189
"94"	"Tetraneuromyia"	"lenticularis"	"(Spuņģis, 1987)"	44	1189
"95"	"Diallactia"	"crocea"	"(Kieffer, 1894)"	51	1233
"96"	"Dicerura"	"triangularis"	"Mamaev, 1966"	51	1233
"97"	"Monepidosis"	"pectinatoides"	"Jaschhof, 2013"	51	1233
"98"	"Parepidosis"	"venustior"	"Gagné, 2004"	51	1233
"99"	"Rhipidoxylomyia"	"excavata"	"Mamaev, 1964"	51	1233
"100"	"Winnertzia"	"curvata"	"Panelius, 1965"	51	1233
"101"	"Winnertzia"	"pustulata"	"Spuņģis, 1992"	51	1233
"102"	"Winnertzia"	"sp."	"Rondani, 1860"	51	1233
"103"	"Paneliusia"	"albimanoides"	"Jaschhof, 2013"	24	1310
"104"	"Parepidosis"	"arcuata"	"Mamaev, 1964"	24	1310
"105"	"Desertepidosis"	"borealis"	"Jaschhof, 2013"	1000	1322
"106"	"Diallactia"	"crocea"	"(Kieffer, 1894)"	1000	1322
"107"	"Divellepidosis"	"lutescens"	"(Spuņģis, 1981)"	1000	1322
"108"	"Divellepidosis"	"pallescens"	"(Panelius, 1965)"	1000	1322
"109"	"Parepidosis"	"arcuata"	"Mamaev, 1964"	1000	1322
"110"	"Porricondyla"	"colpodioides"	"Mamaev, 1963"	1000	1322
"111"	"Schistoneurus"	"irregularis"	"Mamaev, 1964"	1000	1322
"112"	"Winnertzia"	"bulbifera"	"Mamaev, 1963"	1000	1322
"113"	"Winnertzia"	"divergens"	"Mamaev, 2002"	1000	1322
"114"	"Winnertzia"	"globifera"	"Mamaev, 1963"	1000	1322
"115"	"Winnertzia"	"solidaginis"	"Felt, 1907"	1000	1322
"116"	"Winnertzia"	"tridens"	"Panelius, 1965"	1000	1322
"117"	"Camptomyia"	"drymophila"	"Mamaev & A.I.Zaitzev, 1998"	1001	1329
"118"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	1001	1329
"119"	"Neurepidosis"	"grytsjoenensis"	"Jaschhof, 2013"	1001	1329
"120"	"Schistoneurus"	"irregularis"	"Mamaev, 1964"	1001	1329
"121"	"Serratyla"	"spinosa"	"Jaschhof, 2013"	1001	1329
"122"	"Spungisomyia"	"aberrans"	"Jaschhof, 2013"	1001	1329
"123"	"Winnertzia"	"tridens"	"Panelius, 1965"	1001	1329
"124"	"Winnertzia"	"xylostei"	"Mamaev, 1963"	1001	1329
"125"	"Ekmanomyia"	"svecica"	"Jaschhof, 2013"	1001	1332
"126"	"Winnertzia"	"longiptera"	"Mamaev, 2002"	1001	1332
"127"	"Asynapta"	"thuraui"	"Rübsaamen, 1893"	1008	1339
"128"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	1008	1339
"129"	"Winnertzia"	"sp."	"Rondani, 1860"	1008	1339
"130"	"Bryocrypta"	"dubia"	"Kieffer, 1896"	1008	1343
"131"	"Coccopsilis"	"obscura"	"(Mamaev, 1964)"	1008	1343
"132"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	1008	1343
"133"	"Divellepidosis"	"vulgata"	"Jaschhof, 2013"	1008	1343
"134"	"Winnertzia"	"xylostei"	"Mamaev, 1963"	1008	1343
"135"	"Heteropeza"	"pygmaea"	"Winnertz, 1846"	1008	1345
"136"	"Winnertzia"	"solidaginis"	"Felt, 1907"	1008	1345
"137"	"Winnertzia"	"tridens"	"Panelius, 1965"	1008	1345
"138"	"Winnertzia"	"xylostei"	"Mamaev, 1963"	1008	1345
"139"	"Camptomyia"	"flavocinerea"	"Panelius, 1965"	22	1363
"140"	"Leptosyna"	"nervosa"	"(Winnertz, 1852)"	22	1363
"141"	"Parepidosis"	"acridula"	"Jaschhof, 2013"	22	1363
"142"	"Porricondyla"	"colpodioides"	"Mamaev, 1963"	22	1363
"143"	"Zaitzeviola"	"pilosistylata"	"Jaschhof, 2013"	22	1363
"144"	"Coccopsilis"	"paneliusi"	"(Yukawa, 1971)"	1001	1366
"145"	"Hilversidia"	"autumnalis"	"Mamaev, 1966"	1001	1366
"146"	"Coccopsilis"	"paneliusi"	"(Yukawa, 1971)"	1002	1379
"147"	"Parepidosis"	"planistylata"	"Jaschhof, 2013"	1002	1379
"148"	"Zaitzeviola"	"rufocinerea"	"(Panelius, 1965)"	1002	1379
"149"	"Neurepidosis"	"conchata"	"Fedotova & Sidorenko, 2008"	1003	1386
"150"	"Winnertzia"	"bulbifera"	"Mamaev, 1963"	1003	1386
"151"	"Winnertzia"	"curvata"	"Panelius, 1965"	1003	1386
"152"	"Winnertzia"	"tridens"	"Panelius, 1965"	1003	1386
"153"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	29	1394
"154"	"Neocolpodia"	"gukasiani"	"(Mamaev, 1990)"	29	1394
"155"	"Winnertzia"	"solidaginis"	"Felt, 1907"	29	1394
"156"	"Bryocrypta"	"indubitata"	"Mamaev, 1964"	29	1397
"157"	"Cassidoides"	"fulviventris"	"(Mamaev, 1964)"	29	1397
"158"	"Divellepidosis"	"fuscostriata"	"(Panelius, 1965)"	29	1397
"159"	"Monepidosis"	"furcata"	"Mamaev, 1966"	29	1397
"160"	"Porricondyla"	"lata"	"Mamaev, 1965"	29	1397
"161"	"Rostellatyla"	"rostellata"	"(Panelius, 1965)"	29	1397
"162"	"Rostellatyla"	"varians"	"(Parnell, 1971)"	29	1397
