"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Anarete"	"sp."	"Haliday, 1833"	"https://www.dyntaxa.se/taxon/info/1014435"	"Dyntaxa"	"Anarete sp."
"2"	"Anarete"	"candidata"	"Haliday, 1833"	"https://www.dyntaxa.se/taxon/info/253597"	"Dyntaxa"	"Anarete candidata"
"3"	"Anaretella"	"sp."	"Enderlein, 1911"	"https://www.dyntaxa.se/taxon/info/1014436"	"Dyntaxa"	"Anaretella sp."
"4"	"Anaretella"	"defecta"	"(Winnertz, 1870)"	"https://www.dyntaxa.se/taxon/info/253598"	"Dyntaxa"	"Anaretella defecta"
"5"	"Anaretella"	"iola"	"Pritchard, 1951"	"https://www.dyntaxa.se/taxon/info/253599"	"Dyntaxa"	"Anaretella iola"
"6"	"Eomastix"	"sp."	"Jaschhof, 2009"	"https://www.dyntaxa.se/taxon/info/1014441"	"Dyntaxa"	"Eomastix sp."
"7"	"Eomastix"	"incerta"	"(Jaschhof, 2002)"	"https://www.dyntaxa.se/taxon/info/253640"	"Dyntaxa"	"Eomastix incerta"
"8"	"Gongromastix"	"sp."	"Enderlein, 1936"	"https://www.dyntaxa.se/taxon/info/1014442"	"Dyntaxa"	"Gongromastix sp."
"9"	"Gongromastix"	"ignigena"	"Jaschhof, 2002"	"https://www.dyntaxa.se/taxon/info/253641"	"Dyntaxa"	"Gongromastix ignigena"
"10"	"Lestremia"	"sp."	"Macquart, 1826"	"https://www.dyntaxa.se/taxon/info/1014444"	"Dyntaxa"	"Lestremia sp."
"11"	"Lestremia"	"cinerea"	"Macquart, 1826"	"https://www.dyntaxa.se/taxon/info/253644"	"Dyntaxa"	"Lestremia cinerea"
"12"	"Lestremia"	"leucophaea"	"(Meigen, 1818)"	"https://www.dyntaxa.se/taxon/info/253645"	"Dyntaxa"	"Lestremia leucophaea"
"13"	"Lestremia"	"solidaginis"	"(Felt, 1907)"	"https://www.dyntaxa.se/taxon/info/253646"	"Dyntaxa"	"Lestremia solidaginis"
"14"	"Wasmanniella"	"sp."	"Kieffer, 1898"	"https://www.dyntaxa.se/taxon/info/1014449"	"Dyntaxa"	"Wasmanniella sp."
"15"	"Allarete"	"sp."	"A.E.Pritchard, 1951"	"https://www.dyntaxa.se/taxon/info/1016436"	"Dyntaxa"	"Allarete sp."
"16"	"Allarete"	"nigra"	"Mamaev, 1994"	"https://www.dyntaxa.se/taxon/info/264280"	"Dyntaxa"	"Allarete nigra"
"17"	"Dicerura"	"sp."	"Kieffer, 1898"	"https://www.dyntaxa.se/taxon/info/1016792"	"Dyntaxa"	"Dicerura sp."
