"Genus"	"Species"	"Author"	"TrapID"	"EventID"
"1"	"Phanerotoma"	"bilinea"	"Lyle 1924"	20	233
"2"	"Phanerotoma"	"bilinea"	"Lyle 1924"	59	211
"3"	"Phanerotoma"	"bilinea"	"Lyle 1924"	1006	1422
"4"	"Phanerotoma"	"diversa"	"(Walker 1874)"	20	233
"5"	"Phanerotoma"	"obscura"	"Snoflak 1951"	2	81
"6"	"Phanerotoma"	"sp."	"Wesmael, 1838"	2	81
"7"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	20	233
"8"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	2	81
"9"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	3	84
"10"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	4	87
"11"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	20	233
"12"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	24	816
"13"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	28	488
"14"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	29	253
"15"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	34	545
"16"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	36	561
"17"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	37	569
"18"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	38	577
"19"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	1000	1317
"20"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	1001	1326
"21"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	1008	1027
"22"	"Ascogaster"	"annularis"	"(Nees, 1816)"	20	233
"23"	"Ascogaster"	"annularis"	"(Nees, 1816)"	28	488
"24"	"Ascogaster"	"annularis"	"(Nees, 1816)"	1002	1368
"25"	"Ascogaster"	"bidentula"	"Wesmael, 1835"	4	87
"26"	"Ascogaster"	"bidentula"	"Wesmael, 1835"	9	355
"27"	"Ascogaster"	"bidentula"	"Wesmael, 1835"	28	488
"28"	"Ascogaster"	"bidentula"	"Wesmael, 1835"	31	503
"29"	"Ascogaster"	"bidentula"	"Wesmael, 1835"	47	693
"30"	"Ascogaster"	"bidentula"	"Wesmael, 1835"	1008	1027
"31"	"Ascogaster"	"grahami"	"Huddleston, 1984"	28	488
"32"	"Ascogaster"	"grahami"	"Huddleston, 1984"	29	253
"33"	"Ascogaster"	"klugii"	"(Nees, 1816)"	3	84
"34"	"Ascogaster"	"klugii"	"(Nees, 1816)"	4	87
"35"	"Ascogaster"	"klugii"	"(Nees, 1816)"	10	396
"36"	"Ascogaster"	"klugii"	"(Nees, 1816)"	21	238
"37"	"Ascogaster"	"klugii"	"(Nees, 1816)"	23	430
"38"	"Ascogaster"	"klugii"	"(Nees, 1816)"	24	816
"39"	"Ascogaster"	"klugii"	"(Nees, 1816)"	29	253
"40"	"Ascogaster"	"klugii"	"(Nees, 1816)"	42	644
"41"	"Ascogaster"	"klugii"	"(Nees, 1816)"	48	700
"42"	"Ascogaster"	"klugii"	"(Nees, 1816)"	50	714
"43"	"Ascogaster"	"klugii"	"(Nees, 1816)"	1000	1317
"44"	"Ascogaster"	"klugii"	"(Nees, 1816)"	1001	1326
"45"	"Ascogaster"	"klugii"	"(Nees, 1816)"	1005	1417
"46"	"Ascogaster"	"klugii"	"(Nees, 1816)"	1008	1027
"47"	"Ascogaster"	"magnidentis"	"Tobias 1986"	2	81
"48"	"Ascogaster"	"magnidentis"	"Tobias 1986"	3	84
"49"	"Ascogaster"	"magnidentis"	"Tobias 1986"	4	87
"50"	"Ascogaster"	"magnidentis"	"Tobias 1986"	49	2062
"51"	"Ascogaster"	"magnidentis"	"Tobias 1986"	1002	1368
"52"	"Ascogaster"	"quadridentata"	"Wesmael, 1835"	20	233
"53"	"Ascogaster"	"quadridentata"	"Wesmael, 1835"	28	488
"54"	"Ascogaster"	"varipes"	"Wesmael, 1835"	3	84
"55"	"Ascogaster"	"varipes"	"Wesmael, 1835"	4	87
"56"	"Ascogaster"	"varipes"	"Wesmael, 1835"	13	901
"57"	"Ascogaster"	"varipes"	"Wesmael, 1835"	22	244
