"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Cheloninae"	"sp."	"Förster, 1862"	"http://dyntaxa.se/taxon/info/1000065"	"Dyn Taxa"	NA	"Cheloninae sp."
"2"	"Ascogaster"	"sp."	"Wesmael, 1835"	"http://dyntaxa.se/taxon/info/1014330"	"Dyn Taxa"	NA	"Ascogaster sp."
"3"	"Ascogaster"	"abdominator"	"(Dahlbom, 1833)"	"http://dyntaxa.se/taxon/info/253056"	"Dyn Taxa"	NA	"Ascogaster abdominator"
"4"	"Ascogaster"	"albitarsus"	"Reinhard, 1867"	"http://dyntaxa.se/taxon/info/253057"	"Dyn Taxa"	NA	"Ascogaster albitarsus"
"5"	"Ascogaster"	"annularis"	"(Nees, 1816)"	"http://dyntaxa.se/taxon/info/253058"	"Dyn Taxa"	NA	"Ascogaster annularis"
"6"	"Ascogaster"	"bidentula"	"Wesmael, 1835"	"http://dyntaxa.se/taxon/info/253059"	"Dyn Taxa"	NA	"Ascogaster bidentula"
"7"	"Ascogaster"	"canifrons"	"Wesmael, 1835"	"http://dyntaxa.se/taxon/info/253060"	"Dyn Taxa"	NA	"Ascogaster canifrons"
"8"	"Ascogaster"	"consobrina"	"Curtis, 1837"	"http://dyntaxa.se/taxon/info/253061"	"Dyn Taxa"	NA	"Ascogaster consobrina"
"9"	"Ascogaster"	"grahami"	"Huddleston, 1984"	"http://dyntaxa.se/taxon/info/253062"	"Dyn Taxa"	NA	"Ascogaster grahami"
"10"	"Ascogaster"	"klugii"	"(Nees, 1816)"	"http://dyntaxa.se/taxon/info/253063"	"Dyn Taxa"	NA	"Ascogaster klugii"
"11"	"Ascogaster"	"lapponicus"	"Thomson, 1874"	"http://dyntaxa.se/taxon/info/253064"	"Dyn Taxa"	NA	"Ascogaster lapponicus"
"12"	"Ascogaster"	"quadridentata"	"Wesmael, 1835"	"http://dyntaxa.se/taxon/info/253065"	"Dyn Taxa"	NA	"Ascogaster quadridentata"
"13"	"Ascogaster"	"rufidens"	"Wesmael, 1835"	"http://dyntaxa.se/taxon/info/253066"	"Dyn Taxa"	NA	"Ascogaster rufidens"
"14"	"Ascogaster"	"rufipes"	"(Latreille, 1809)"	"http://dyntaxa.se/taxon/info/253067"	"Dyn Taxa"	NA	"Ascogaster rufipes"
"15"	"Ascogaster"	"scabricula"	"(Dahlbom, 1833)"	"http://dyntaxa.se/taxon/info/253068"	"Dyn Taxa"	NA	"Ascogaster scabricula"
