"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Cerobasis"	"guestfalica"	"(Kolbe, 1880)"	"urn:lsid:dyntaxa.se:TaxonName:152197"	"Dyntaxa"	NA	"Cerobasis guestfalica"
"2"	"Dorypteryx"	"domestica"	"(Smithers, 1958)"	"urn:lsid:dyntaxa.se:TaxonName:152206"	"Dyntaxa"	NA	"Dorypteryx domestica"
"3"	"Psyllipsocus"	"ramburii"	"Sélys-Longchamps, 1872"	"urn:lsid:dyntaxa.se:TaxonName:152208"	"Dyntaxa"	NA	"Psyllipsocus ramburii"
"4"	"Liposcelis"	"silvarum"	"(Kolbe, 1888)"	"urn:lsid:dyntaxa.se:TaxonName:152217"	"Dyntaxa"	NA	"Liposcelis silvarum"
"5"	"Badonnelia"	"titei"	"Pearman, 1953"	"urn:lsid:dyntaxa.se:TaxonName:152219"	"Dyntaxa"	"\Badonellia titei\ by BWS"	"Badonnelia titei"
"6"	"Bertkauia"	"lucifuga"	"(Rambur, 1842)"	"urn:lsid:dyntaxa.se:TaxonName:156136"	"Dyntaxa"	"\Epipsocus lucifugus\ by BWS"	"Bertkauia lucifuga"
"7"	"Caecilius"	"fuscopterus"	"(Latreille, 1799)"	"urn:lsid:dyntaxa.se:TaxonName:156138"	"Dyntaxa"	NA	"Caecilius fuscopterus"
"8"	"Valenzuela"	"atricornis"	"(McLachlan, 1869)"	"urn:lsid:dyntaxa.se:TaxonName:156140"	"Dyntaxa"	NA	"Valenzuela atricornis"
"9"	"Valenzuela"	"burmeisteri"	"(Brauer, 1876)"	"urn:lsid:dyntaxa.se:TaxonName:156141"	"Dyntaxa"	NA	"Valenzuela burmeisteri"
"10"	"Valenzuela"	"despaxi"	"(Badonnel, 1936)"	"urn:lsid:dyntaxa.se:TaxonName:156143"	"Dyntaxa"	NA	"Valenzuela despaxi"
"11"	"Valenzuela"	"flavidus"	"(Stephens, 1836)"	"urn:lsid:dyntaxa.se:TaxonName:156144"	"Dyntaxa"	NA	"Valenzuela flavidus"
"12"	"Valenzuela"	"gynapterus"	"(Tetens, 1891)"	"urn:lsid:dyntaxa.se:TaxonName:156145"	"Dyntaxa"	NA	"Valenzuela gynapterus"
"13"	"Valenzuela"	"piceus"	"(Kolbe, 1882)"	"urn:lsid:dyntaxa.se:TaxonName:156146"	"Dyntaxa"	NA	"Valenzuela piceus"
"14"	"Valenzuela"	"corsicus"	"(Kolbe, 1882)"	"urn:lsid:dyntaxa.se:TaxonName:156142"	"Dyntaxa"	NA	"Valenzuela corsicus"
"15"	"Enderleinella"	"obsoleta"	"(Stephens, 1836)"	"urn:lsid:dyntaxa.se:TaxonName:156148"	"Dyntaxa"	NA	"Enderleinella obsoleta"
"16"	"Graphopsocus"	"cruciatus"	"(Linnaeus, 1768)"	"urn:lsid:dyntaxa.se:TaxonName:156150"	"Dyntaxa"	NA	"Graphopsocus cruciatus"
"17"	"Stenopsocus"	"immaculatus"	"(Stephens, 1836)"	"urn:lsid:dyntaxa.se:TaxonName:156152"	"Dyntaxa"	NA	"Stenopsocus immaculatus"
"18"	"Stenopsocus"	"lachlani"	"Kolbe, 1880"	"urn:lsid:dyntaxa.se:TaxonName:156153"	"Dyntaxa"	NA	"Stenopsocus lachlani"
"19"	"Kolbia"	"quisquiliarum"	"Bertkau, 1882"	"urn:lsid:dyntaxa.se:TaxonName:156156"	"Dyntaxa"	NA	"Kolbia quisquiliarum"
"20"	"Lachesilla"	"pedicularia"	"(Linnaeus, 1758)"	"urn:lsid:dyntaxa.se:TaxonName:156159"	"Dyntaxa"	NA	"Lachesilla pedicularia"
"21"	"Lachesilla"	"quercus"	"(Kolbe, 1880)"	"urn:lsid:dyntaxa.se:TaxonName:156160"	"Dyntaxa"	NA	"Lachesilla quercus"
"22"	"Ectopsocus"	"briggsi"	"McLachlan, 1899"	"urn:lsid:dyntaxa.se:TaxonName:156164"	"Dyntaxa"	NA	"Ectopsocus briggsi"
"23"	"Peripsocus"	"alboguttatus"	"(Dalman, 1823)"	"urn:lsid:dyntaxa.se:TaxonName:156166"	"Dyntaxa"	NA	"Peripsocus alboguttatus"
"24"	"Peripsocus"	"didymus"	"Roesler, 1939"	"urn:lsid:dyntaxa.se:TaxonName:156167"	"Dyntaxa"	NA	"Peripsocus didymus"
"25"	"Peripsocus"	"parvulus"	"Kolbe, 1880"	"urn:lsid:dyntaxa.se:TaxonName:156168"	"Dyntaxa"	NA	"Peripsocus parvulus"
"26"	"Peripsocus"	"phaeopterus"	"(Stephens, 1836)"	"urn:lsid:dyntaxa.se:TaxonName:156169"	"Dyntaxa"	NA	"Peripsocus phaeopterus"
"27"	"Peripsocus"	"subfasciatus"	"(Rambur, 1842)"	"urn:lsid:dyntaxa.se:TaxonName:156170"	"Dyntaxa"	NA	"Peripsocus subfasciatus"
"28"	"Trichopsocus"	"clarus"	"(Banks, 1908)"	"urn:lsid:dyntaxa.se:TaxonName:156172"	"Dyntaxa"	NA	"Trichopsocus clarus"
"29"	"Cuneopalpus"	"cyanops"	"(Rostock, 1876)"	"urn:lsid:dyntaxa.se:TaxonName:156177"	"Dyntaxa"	NA	"Cuneopalpus cyanops"
"30"	"Elipsocus"	"abdominalis"	"Reuter, 1904"	"urn:lsid:dyntaxa.se:TaxonName:156178"	"Dyntaxa"	NA	"Elipsocus abdominalis"
"31"	"Elipsocus"	"hyalinus"	"(Stephens, 1836)"	"urn:lsid:dyntaxa.se:TaxonName:156179"	"Dyntaxa"	NA	"Elipsocus hyalinus"
"32"	"Elipsocus"	"moebiusi"	"Tetens, 1891"	"urn:lsid:dyntaxa.se:TaxonName:156180"	"Dyntaxa"	NA	"Elipsocus moebiusi"
"33"	"Elipsocus"	"pumilis"	"(Hagen, 1861)"	"urn:lsid:dyntaxa.se:TaxonName:156181"	"Dyntaxa"	NA	"Elipsocus pumilis"
