"Genus"	"Species"	"Author"	"TrapID"	"EventID"
"1"	"Baeopelma"	"foersteri"	"(Flor, 1861)"	15	1660
"2"	"Baeopelma"	"foersteri"	"(Flor, 1861)"	1001	1332
"3"	"Aphalara"	"avicularis"	"Ossiannilsson, 1981"	20	234
"4"	"Psylla"	"alni"	"(Linnaeus, 1758)"	37	831
"5"	"Aphalara"	"exilis"	"(Weber & Mohr, 1804)"	31	515
"6"	"Aphalara"	"exilis"	"(Weber & Mohr, 1804)"	34	548
"7"	"Aphalara"	"exilis"	"(Weber & Mohr, 1804)"	28	1462
"8"	"Aphalara"	"exilis"	"(Weber & Mohr, 1804)"	1005	1421
"9"	"Aphalara"	"exilis"	"(Weber & Mohr, 1804)"	39	607
"10"	"Aphalara"	"exilis"	"(Weber & Mohr, 1804)"	28	1462
"11"	"Aphalara"	"exilis"	"(Weber & Mohr, 1804)"	28	488
"12"	"Bactericera"	"salicivora"	"(Reuter, 1876)"	49	709
"13"	"Bactericera"	"salicivora"	"(Reuter, 1876)"	49	711
"14"	"Bactericera"	"acutipennis"	"(Zetterstedt, 1828)"	49	711
"15"	"Bactericera"	"acutipennis"	"(Zetterstedt, 1828)"	49	708
"16"	"Bactericera"	"acutipennis"	"(Zetterstedt, 1828)"	49	709
"17"	"Bactericera"	"acutipennis"	"(Zetterstedt, 1828)"	49	713
"18"	"Bactericera"	"striola"	"(Flor, 1861)"	49	709
"19"	"Cacopsylla"	"brunneipennis"	"(Edwards, 1896)"	40	1151
"20"	"Cacopsylla"	"brunneipennis"	"(Edwards, 1896)"	28	488
"21"	"Cacopsylla"	"brunneipennis"	"(Edwards, 1896)"	23	445
"22"	"Cacopsylla"	"crataegi"	"(Schrank, 1801)"	28	1462
"23"	"Cacopsylla"	"crataegi"	"(Schrank, 1801)"	40	1151
"24"	"Cacopsylla"	"ledi"	"(Flor, 1861)"	49	709
"25"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	1005	1419
"26"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	1005	1417
"27"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	1006	1422
"28"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	1006	1422
"29"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	40	1153
"30"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	23	445
"31"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	31	515
