"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Livia"	"sp."	"Latreille, 1804"	"http://dyntaxa.se/taxon/info/1015419"	"Dyntaxa"	"Livia sp."
"2"	"Livia"	"juncorum"	"(Latreille, 1798)"	"http://dyntaxa.se/taxon/info/258557"	"Dyntaxa"	"Livia juncorum"
"3"	"Livia"	"crefeldensis"	"Mink, 1855"	"http://dyntaxa.se/taxon/info/258558"	"Dyntaxa"	"Livia crefeldensis"
"4"	"Aphalara"	"sp."	"Förster, 1848"	"http://dyntaxa.se/taxon/info/1015420"	"Dyntaxa"	"Aphalara sp."
"5"	"Aphalara"	"exilis"	"(Weber & Mohr, 1804)"	"http://dyntaxa.se/taxon/info/258559"	"Dyntaxa"	"Aphalara exilis"
"6"	"Aphalara"	"pauli"	"Loginova, 1979"	"http://dyntaxa.se/taxon/info/258560"	"Dyntaxa"	"Aphalara pauli"
"7"	"Aphalara"	"calthae"	"(Linnaeus, 1761)"	"http://dyntaxa.se/taxon/info/258561"	"Dyntaxa"	"Aphalara calthae"
"8"	"Aphalara"	"polygoni"	"Förster, 1848"	"http://dyntaxa.se/taxon/info/258563"	"Dyntaxa"	"Aphalara polygoni"
"9"	"Aphalara"	"borealis"	"Heslop-Harrison, 1949"	"http://dyntaxa.se/taxon/info/258564"	"Dyntaxa"	"Aphalara borealis"
"10"	"Aphalara"	"avicularis"	"Ossiannilsson, 1981"	"http://dyntaxa.se/taxon/info/258565"	"Dyntaxa"	"Aphalara avicularis"
"11"	"Aphalara"	"rumicicola"	"Klimaszewski, 1966"	"http://dyntaxa.se/taxon/info/258566"	"Dyntaxa"	"Aphalara rumicicola"
"12"	"Aphalara"	"crispicola"	"Ossiannilsson, 1987"	"http://dyntaxa.se/taxon/info/258568"	"Dyntaxa"	"Aphalara crispicola"
"13"	"Aphalara"	"affinis"	"(Zetterstedt, 1828)"	"http://dyntaxa.se/taxon/info/258569"	"Dyntaxa"	"Aphalara affinis"
"14"	"Aphalara"	"maculipennis"	"Löw, 1886"	"http://dyntaxa.se/taxon/info/258574"	"Dyntaxa"	"Aphalara maculipennis"
"15"	"Cacopsylla"	"sp."	"Ossiannilsson, 1970"	"http://dyntaxa.se/taxon/info/1015424"	"Dyntaxa"	"Cacopsylla sp."
"16"	"Cacopsylla"	"visci"	"(Curtis, 1835)"	"http://dyntaxa.se/taxon/info/258577"	"Dyntaxa"	"Cacopsylla visci"
"17"	"Cacopsylla"	"mali"	"(Schmidberger, 1836)"	"http://dyntaxa.se/taxon/info/258600"	"Dyntaxa"	"Cacopsylla mali"
"18"	"Cacopsylla"	"sorbi"	"(Linnaeus, 1767)"	"http://dyntaxa.se/taxon/info/258601"	"Dyntaxa"	"Cacopsylla sorbi"
"19"	"Cacopsylla"	"peregrina"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258602"	"Dyntaxa"	"Cacopsylla peregrina"
"20"	"Cacopsylla"	"ulmi"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258603"	"Dyntaxa"	"Cacopsylla ulmi"
"21"	"Cacopsylla"	"pyrisuga"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258604"	"Dyntaxa"	"Cacopsylla pyrisuga"
"22"	"Cacopsylla"	"rhamnicola"	"(Scott, 1876)"	"http://dyntaxa.se/taxon/info/258605"	"Dyntaxa"	"Cacopsylla rhamnicola"
"23"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258606"	"Dyntaxa"	"Cacopsylla melanoneura"
"24"	"Cacopsylla"	"affinis"	"(Löw, 1880)"	"http://dyntaxa.se/taxon/info/258607"	"Dyntaxa"	"Cacopsylla affinis"
"25"	"Cacopsylla"	"crataegi"	"(Schrank, 1801)"	"http://dyntaxa.se/taxon/info/258608"	"Dyntaxa"	"Cacopsylla crataegi"
"26"	"Cacopsylla"	"costalis"	"(Flor, 1861)"	"http://dyntaxa.se/taxon/info/258609"	"Dyntaxa"	"Cacopsylla costalis"
"27"	"Cacopsylla"	"pruni"	"(Scopoli, 1763)"	"http://dyntaxa.se/taxon/info/258610"	"Dyntaxa"	"Cacopsylla pruni"
"28"	"Cacopsylla"	"pyri"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/258611"	"Dyntaxa"	"Cacopsylla pyri"
"29"	"Cacopsylla"	"pyricola"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258612"	"Dyntaxa"	"Cacopsylla pyricola"
"30"	"Cacopsylla"	"corcontum"	"(Šulc, 1910)"	"http://dyntaxa.se/taxon/info/258613"	"Dyntaxa"	"Cacopsylla corcontum"
"31"	"Cacopsylla"	"hippophaes"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258614"	"Dyntaxa"	"Cacopsylla hippophaes"
"32"	"Cacopsylla"	"zetterstedti"	"(Thomson, 1878)"	"http://dyntaxa.se/taxon/info/258615"	"Dyntaxa"	"Cacopsylla zetterstedti"
"33"	"Cacopsylla"	"ledi"	"(Flor, 1861)"	"http://dyntaxa.se/taxon/info/258616"	"Dyntaxa"	"Cacopsylla ledi"
"34"	"Cacopsylla"	"myrtilli"	"(W. Wagner, 1947)"	"http://dyntaxa.se/taxon/info/258617"	"Dyntaxa"	"Cacopsylla myrtilli"
"35"	"Cacopsylla"	"ambigua"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258618"	"Dyntaxa"	"Cacopsylla ambigua"
"36"	"Cacopsylla"	"nigrita"	"(Zetterstedt, 1828)"	"http://dyntaxa.se/taxon/info/258619"	"Dyntaxa"	"Cacopsylla nigrita"
"37"	"Cacopsylla"	"pulchra"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/258620"	"Dyntaxa"	"Cacopsylla pulchra"
"38"	"Cacopsylla"	"brunneipennis"	"(Edwards, 1896)"	"http://dyntaxa.se/taxon/info/258621"	"Dyntaxa"	"Cacopsylla brunneipennis"
"39"	"Cacopsylla"	"moscovita"	"(Andrianova, 1948)"	"http://dyntaxa.se/taxon/info/258622"	"Dyntaxa"	"Cacopsylla moscovita"
"40"	"Cacopsylla"	"propinqua"	"(Schaefer, 1949)"	"http://dyntaxa.se/taxon/info/258623"	"Dyntaxa"	"Cacopsylla propinqua"
"41"	"Cacopsylla"	"elegantula"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/258624"	"Dyntaxa"	"Cacopsylla elegantula"
"42"	"Cacopsylla"	"parvipennis"	"(Löw, 1877)"	"http://dyntaxa.se/taxon/info/258625"	"Dyntaxa"	"Cacopsylla parvipennis"
"43"	"Cacopsylla"	"zaicevi"	"(Šulc, 1915)"	"http://dyntaxa.se/taxon/info/258626"	"Dyntaxa"	"Cacopsylla zaicevi"
"44"	"Cacopsylla"	"palmeni"	"(Löw, 1878)"	"http://dyntaxa.se/taxon/info/258627"	"Dyntaxa"	"Cacopsylla palmeni"
"45"	"Craspedolepta"	"sp."	"Enderlein, 1921"	"http://dyntaxa.se/taxon/info/1015425"	"Dyntaxa"	"Craspedolepta sp."
"46"	"Craspedolepta"	"malachitica"	"(Dahlbom, 1851)"	"http://dyntaxa.se/taxon/info/258580"	"Dyntaxa"	"Craspedolepta malachitica"
"47"	"Craspedolepta"	"latior"	"W. Wagner, 1944"	"http://dyntaxa.se/taxon/info/258581"	"Dyntaxa"	"Craspedolepta latior"
"48"	"Craspedolepta"	"campestrella"	"Ossiannilsson, 1987"	"http://dyntaxa.se/taxon/info/258582"	"Dyntaxa"	"Craspedolepta campestrella"
"49"	"Craspedolepta"	"nervosa"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258583"	"Dyntaxa"	"Craspedolepta nervosa"
"50"	"Craspedolepta"	"sonchi"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258584"	"Dyntaxa"	"Craspedolepta sonchi"
"51"	"Craspedolepta"	"nebulosa"	"(Zetterstedt, 1828)"	"http://dyntaxa.se/taxon/info/258585"	"Dyntaxa"	"Craspedolepta nebulosa"
