"Genus"	"Species"	"Author"	"TrapID"	"EventID"
"1"	"Baeopelma"	"foersteri"	"(Flor, 1861)"	15	1660
"2"	"Baeopelma"	"foersteri"	"(Flor, 1861)"	1001	1332
"3"	"Baeopelma"	"foersteri"	"(Flor, 1861)"	9	1610
"4"	"Baeopelma"	"foersteri"	"(Flor, 1861)"	9	1611
"5"	"Baeopelma"	"foersteri"	"(Flor, 1861)"	9	1612
"6"	"Baeopelma"	"foersteri"	"(Flor, 1861)"	9	1615
"7"	"Baeopelma"	"foersteri"	"(Flor, 1861)"	9	1614
"8"	"Cacopsylla"	"pulchra"	"(Zetterstedt, 1838)"	9	1609
"9"	"Cacopsylla"	"pulchra"	"(Zetterstedt, 1838)"	9	1606
"10"	"Cacopsylla"	"pulchra"	"(Zetterstedt, 1838)"	9	1607
"11"	"Cacopsylla"	"rhamnicola"	"(Scott, 1876)"	9	1616
"12"	"Cacopsylla"	"rhamnicola"	"(Scott, 1876)"	1000	1431
"13"	"Psyllopsis"	"fraxini"	"(Linnaeus, 1758)"	16	1667
"14"	"Psylla"	"alni"	"(Linnaeus, 1758)"	1001	1435
"15"	"Psylla"	"alni"	"(Linnaeus, 1758)"	1001	1333
"16"	"Psylla"	"alni"	"(Linnaeus, 1758)"	1001	1361
"17"	"Psylla"	"alni"	"(Linnaeus, 1758)"	1001	1332
"18"	"Psylla"	"alni"	"(Linnaeus, 1758)"	9	1606
"19"	"Psylla"	"alni"	"(Linnaeus, 1758)"	9	1609
"20"	"Psylla"	"alni"	"(Linnaeus, 1758)"	9	1610
"21"	"Psylla"	"alni"	"(Linnaeus, 1758)"	9	1611
"22"	"Psylla"	"alni"	"(Linnaeus, 1758)"	9	1612
"23"	"Psylla"	"alni"	"(Linnaeus, 1758)"	9	1614
"24"	"Psylla"	"alni"	"(Linnaeus, 1758)"	9	1615
"25"	"Psylla"	"alni"	"(Linnaeus, 1758)"	9	1613
"26"	"Psylla"	"alni"	"(Linnaeus, 1758)"	9	1616
"27"	"Cacopsylla"	"pulchra"	"(Zetterstedt, 1838)"	1000	1432
"28"	"Cacopsylla"	"pulchra"	"(Zetterstedt, 1838)"	1000	1431
"29"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	1000	1432
"30"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	1000	1431
"31"	"Psyllopsis"	"fraxinicola"	"(Förster, 1848)"	9	1611
"32"	"Strophingia"	"ericae"	"(Curtis, 1835)"	1001	1332
"33"	"Trioza"	"cerastii"	"(Linnaeus, 1758)"	9	1609
"34"	"Trioza"	"chrysanthemi"	"Löw, 1878"	9	1606
"35"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	1000	1432
"36"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	1000	1431
"37"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	1001	1333
"38"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	1001	1332
"39"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	9	1615
"40"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	9	1611
"41"	"Trioza"	"munda"	"Förster, 1848"	9	1608
"42"	"Trioza"	"munda"	"Förster, 1848"	1001	1333
