"Genus"	"Species"	"Author"	"TrapID"	"EventID"
"1"	"Cacopsylla"	"myrtilli"	"(W. Wagner, 1947)"	53	1248
"2"	"Cacopsylla"	"myrtilli"	"(W. Wagner, 1947)"	59	1289
"3"	"Cacopsylla"	"myrtilli"	"(W. Wagner, 1947)"	48	703
"4"	"Cacopsylla"	"pyricola"	"(Förster, 1848)"	22	836
"5"	"Cacopsylla"	"elegantula"	"(Zetterstedt, 1838)"	48	705
"6"	"Cacopsylla"	"elegantula"	"(Zetterstedt, 1838)"	48	1216
"7"	"Psylla"	"betulae"	"(Linnaeus, 1758)"	59	1289
"8"	"Psylla"	"betulae"	"(Linnaeus, 1758)"	59	1292
"9"	"Psylla"	"betulae"	"(Linnaeus, 1758)"	58	1285
"10"	"Psylla"	"betulaenanae"	"Ossiannilsson, 1970"	58	1282
"11"	"Psylla"	"betulaenanae"	"Ossiannilsson, 1970"	59	1289
"12"	"Strophingia"	"ericae"	"(Curtis, 1835)"	61	1302
