"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Livia"	"sp."	"Latreille, 1804"	"http://dyntaxa.se/taxon/info/1015419"	"Dyntaxa"	NA	"Livia sp."
"2"	"Livia"	"juncorum"	"(Latreille, 1798)"	"http://dyntaxa.se/taxon/info/258557"	"Dyntaxa"	NA	"Livia juncorum"
"3"	"Livia"	"crefeldensis"	"Mink, 1855"	"http://dyntaxa.se/taxon/info/258558"	"Dyntaxa"	NA	"Livia crefeldensis"
"4"	"Aphalara"	"sp."	"Förster, 1848"	"http://dyntaxa.se/taxon/info/1015420"	"Dyntaxa"	NA	"Aphalara sp."
"5"	"Aphalara"	"exilis"	"(Weber & Mohr, 1804)"	"http://dyntaxa.se/taxon/info/258559"	"Dyntaxa"	NA	"Aphalara exilis"
"6"	"Aphalara"	"pauli"	"Loginova, 1979"	"http://dyntaxa.se/taxon/info/258560"	"Dyntaxa"	NA	"Aphalara pauli"
"7"	"Aphalara"	"calthae"	"(Linnaeus, 1761)"	"http://dyntaxa.se/taxon/info/258561"	"Dyntaxa"	NA	"Aphalara calthae"
"8"	"Aphalara"	"polygoni"	"Förster, 1848"	"http://dyntaxa.se/taxon/info/258563"	"Dyntaxa"	NA	"Aphalara polygoni"
"9"	"Aphalara"	"borealis"	"Heslop-Harrison, 1949"	"http://dyntaxa.se/taxon/info/258564"	"Dyntaxa"	NA	"Aphalara borealis"
"10"	"Aphalara"	"avicularis"	"Ossiannilsson, 1981"	"http://dyntaxa.se/taxon/info/258565"	"Dyntaxa"	NA	"Aphalara avicularis"
"11"	"Aphalara"	"rumicicola"	"Klimaszewski, 1966"	"http://dyntaxa.se/taxon/info/258566"	"Dyntaxa"	NA	"Aphalara rumicicola"
"12"	"Aphalara"	"crispicola"	"Ossiannilsson, 1987"	"http://dyntaxa.se/taxon/info/258568"	"Dyntaxa"	NA	"Aphalara crispicola"
"13"	"Aphalara"	"affinis"	"(Zetterstedt, 1828)"	"http://dyntaxa.se/taxon/info/258569"	"Dyntaxa"	NA	"Aphalara affinis"
"14"	"Aphalara"	"maculipennis"	"Löw, 1886"	"http://dyntaxa.se/taxon/info/258574"	"Dyntaxa"	NA	"Aphalara maculipennis"
"15"	"Cacopsylla"	"sp."	"Ossiannilsson, 1970"	"http://dyntaxa.se/taxon/info/1015424"	"Dyntaxa"	NA	"Cacopsylla sp."
"16"	"Cacopsylla"	"visci"	"(Curtis, 1835)"	"http://dyntaxa.se/taxon/info/258577"	"Dyntaxa"	NA	"Cacopsylla visci"
"17"	"Cacopsylla"	"mali"	"(Schmidberger, 1836)"	"http://dyntaxa.se/taxon/info/258600"	"Dyntaxa"	NA	"Cacopsylla mali"
"18"	"Cacopsylla"	"sorbi"	"(Linnaeus, 1767)"	"http://dyntaxa.se/taxon/info/258601"	"Dyntaxa"	NA	"Cacopsylla sorbi"
"19"	"Cacopsylla"	"peregrina"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258602"	"Dyntaxa"	NA	"Cacopsylla peregrina"
"20"	"Cacopsylla"	"ulmi"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258603"	"Dyntaxa"	NA	"Cacopsylla ulmi"
"21"	"Cacopsylla"	"pyrisuga"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258604"	"Dyntaxa"	NA	"Cacopsylla pyrisuga"
"22"	"Cacopsylla"	"rhamnicola"	"(Scott, 1876)"	"http://dyntaxa.se/taxon/info/258605"	"Dyntaxa"	NA	"Cacopsylla rhamnicola"
"23"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258606"	"Dyntaxa"	NA	"Cacopsylla melanoneura"
"24"	"Cacopsylla"	"affinis"	"(Löw, 1880)"	"http://dyntaxa.se/taxon/info/258607"	"Dyntaxa"	NA	"Cacopsylla affinis"
"25"	"Cacopsylla"	"crataegi"	"(Schrank, 1801)"	"http://dyntaxa.se/taxon/info/258608"	"Dyntaxa"	NA	"Cacopsylla crataegi"
"26"	"Cacopsylla"	"costalis"	"(Flor, 1861)"	"http://dyntaxa.se/taxon/info/258609"	"Dyntaxa"	NA	"Cacopsylla costalis"
"27"	"Cacopsylla"	"pruni"	"(Scopoli, 1763)"	"http://dyntaxa.se/taxon/info/258610"	"Dyntaxa"	NA	"Cacopsylla pruni"
"28"	"Cacopsylla"	"pyri"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/258611"	"Dyntaxa"	NA	"Cacopsylla pyri"
"29"	"Cacopsylla"	"pyricola"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258612"	"Dyntaxa"	NA	"Cacopsylla pyricola"
"30"	"Cacopsylla"	"corcontum"	"(Šulc, 1910)"	"http://dyntaxa.se/taxon/info/258613"	"Dyntaxa"	NA	"Cacopsylla corcontum"
"31"	"Cacopsylla"	"hippophaes"	"(Förster, 1848)"	"http://dyntaxa.se/taxon/info/258614"	"Dyntaxa"	NA	"Cacopsylla hippophaes"
"32"	"Cacopsylla"	"zetterstedti"	"(Thomson, 1878)"	"http://dyntaxa.se/taxon/info/258615"	"Dyntaxa"	NA	"Cacopsylla zetterstedti"
