"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Aleiodes"	"sp."	"Wesmael, 1838"	"urn:lsid:dyntaxa.se:Taxon:1014410"	NA	"Dyntaxa"	"Aleiodes sp."
"2"	"Aleiodes"	"albitibia"	"(Herrich-Schäffer, 1838)"	"urn:lsid:dyntaxa.se:Taxon:253531"	NA	"Dyntaxa"	"Aleiodes albitibia"
"3"	"Aleiodes"	"arcticus"	"(Thomson, 1892)"	"urn:lsid:dyntaxa.se:Taxon:253532"	NA	"Dyntaxa"	"Aleiodes arcticus"
"4"	"Aleiodes"	"armatus"	"Wesmael, 1838"	"urn:lsid:dyntaxa.se:Taxon:253533"	NA	"Dyntaxa"	"Aleiodes armatus"
"5"	"Aleiodes"	"bicolor"	"(Spinola, 1808)"	"urn:lsid:dyntaxa.se:Taxon:253534"	NA	"Dyntaxa"	"Aleiodes bicolor"
"6"	"Aleiodes"	"borealis"	"(Thomson, 1892)"	"urn:lsid:dyntaxa.se:Taxon:253535"	NA	"Dyntaxa"	"Aleiodes borealis"
"7"	"Aleiodes"	"carbonarius"	"Giraud, 1857"	"urn:lsid:dyntaxa.se:Taxon:253536"	NA	"Dyntaxa"	"Aleiodes carbonarius"
"8"	"Aleiodes"	"circumscriptus"	"(Nees, 1834)"	"urn:lsid:dyntaxa.se:Taxon:253537"	NA	"Dyntaxa"	"Aleiodes circumscriptus"
"9"	"Aleiodes"	"coxalis"	"(Spinola, 1808)"	"urn:lsid:dyntaxa.se:Taxon:253538"	NA	"Dyntaxa"	"Aleiodes coxalis"
"10"	"Aleiodes"	"crassipes"	"(Thomson, 1892)"	"urn:lsid:dyntaxa.se:Taxon:253539"	NA	"Dyntaxa"	"Aleiodes crassipes"
"11"	"Aleiodes"	"cruentus"	"(Nees, 1834)"	"urn:lsid:dyntaxa.se:Taxon:253540"	NA	"Dyntaxa"	"Aleiodes cruentus"
"12"	"Aleiodes"	"dimidiatus"	"(Spinola, 1808)"	"urn:lsid:dyntaxa.se:Taxon:253542"	NA	"Dyntaxa"	"Aleiodes dimidiatus"
"13"	"Aleiodes"	"dissector"	"(Nees, 1834)"	"urn:lsid:dyntaxa.se:Taxon:253543"	NA	"Dyntaxa"	"Aleiodes dissector"
"14"	"Aleiodes"	"ductor"	"(Thunberg, 1822)"	"urn:lsid:dyntaxa.se:Taxon:253544"	NA	"Dyntaxa"	"Aleiodes ductor"
"15"	"Aleiodes"	"gastritor"	"(Thunberg, 1822)"	"urn:lsid:dyntaxa.se:Taxon:253545"	NA	"Dyntaxa"	"Aleiodes gastritor"
"16"	"Aleiodes"	"grassator"	"(Thunberg, 1822)"	"urn:lsid:dyntaxa.se:Taxon:253546"	NA	"Dyntaxa"	"Aleiodes grassator"
"17"	"Aleiodes"	"miniatus"	"(Herrich-Schäffer, 1838)"	"urn:lsid:dyntaxa.se:Taxon:253547"	NA	"Dyntaxa"	"Aleiodes miniatus"
"18"	"Aleiodes"	"modestus"	"(Reinhard, 1863)"	"urn:lsid:dyntaxa.se:Taxon:253548"	NA	"Dyntaxa"	"Aleiodes modestus"
