"Genus"	"Species"	"Author"	"TrapID"	"EventID"	"Order"	"AnalysisTaxon"	"SciName"
"1"	"Asynapta"	"strobi"	"(Kieffer, 1920)"	2	81	"Diptera"	"Porricondylinae (s lat)"	"Asynapta strobi"
"2"	"Porricondyla"	"leacheana"	"(F.Walker, 1856)"	21	240	"Diptera"	"Porricondylinae (s lat)"	"Porricondyla leacheana"
"3"	"Schistoneurus"	"irregularis"	"Mamaev, 1964"	21	240	"Diptera"	"Porricondylinae (s lat)"	"Schistoneurus irregularis"
"4"	"Camptomyia"	"corticalis"	"(Loew, 1851)"	18	341	"Diptera"	"Porricondylinae (s lat)"	"Camptomyia corticalis"
"5"	"Camptomyia"	"regia"	"Spuņģis, 1989"	18	341	"Diptera"	"Porricondylinae (s lat)"	"Camptomyia regia"
"6"	"Winnertzia"	"longiptera"	"Mamaev, 2002"	18	341	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia longiptera"
"7"	"Coccopsilis"	"paneliusi"	"(Yukawa, 1971)"	25	453	"Diptera"	"Porricondylinae (s lat)"	"Coccopsilis paneliusi"
"8"	"Tetraneuromyia"	"lenticularis"	"(Spuņģis, 1987)"	25	453	"Diptera"	"Porricondylinae (s lat)"	"Tetraneuromyia lenticularis"
"9"	"Asynapta"	"rufomaculata"	"Panelius, 1965"	27	487	"Diptera"	"Porricondylinae (s lat)"	"Asynapta rufomaculata"
"10"	"Dicerura"	"dentata"	"Spuņģis, 1979"	27	487	"Diptera"	"Porricondylinae (s lat)"	"Dicerura dentata"
"11"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	27	487	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis hypoxantha"
"12"	"Neurepidosis"	"grytsjoenensis"	"Jaschhof, 2013"	27	487	"Diptera"	"Porricondylinae (s lat)"	"Neurepidosis grytsjoenensis"
"13"	"Porricondyla"	"macrodon"	"Jaschhof, 2013"	27	487	"Diptera"	"Porricondylinae (s lat)"	"Porricondyla macrodon"
"14"	"Winnertzia"	"tumida"	"Panelius, 1965"	27	487	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia tumida"
"15"	"Heteropeza"	"pygmaea"	"Winnertz, 1846"	28	488	"Diptera"	"Porricondylinae (s lat)"	"Heteropeza pygmaea"
"16"	"Parepidosis"	"argentifera"	"(de Meijere, 1906)"	28	488	"Diptera"	"Porricondylinae (s lat)"	"Parepidosis argentifera"
"17"	"Porricondyla"	"colpodioides"	"Mamaev, 1963"	28	488	"Diptera"	"Porricondylinae (s lat)"	"Porricondyla colpodioides"
"18"	"Porricondyla"	"errabunda"	"Mamaev, 2001"	28	488	"Diptera"	"Porricondylinae (s lat)"	"Porricondyla errabunda"
"19"	"Porricondyla"	"photophila"	"Spuņģis, 1981"	28	488	"Diptera"	"Porricondylinae (s lat)"	"Porricondyla photophila"
"20"	"Stackelbergiella"	"hordei"	"(Barnes, 1927)"	28	488	"Diptera"	"Porricondylinae (s lat)"	"Stackelbergiella hordei"
"21"	"Asynapta"	"breviata"	"Spuņģis, 1988"	31	515	"Diptera"	"Porricondylinae (s lat)"	"Asynapta breviata"
"22"	"Asynapta"	"inflata"	"Spuņģis, 1988"	31	515	"Diptera"	"Porricondylinae (s lat)"	"Asynapta inflata"
"23"	"Asynapta"	"magdalini"	"Panelius, 1965"	31	515	"Diptera"	"Porricondylinae (s lat)"	"Asynapta magdalini"
"24"	"Asynapta"	"saliciperda"	"Felt, 1908"	31	515	"Diptera"	"Porricondylinae (s lat)"	"Asynapta saliciperda"
"25"	"Porricondyla"	"nigripennis"	"(Meigen, 1830)"	31	515	"Diptera"	"Porricondylinae (s lat)"	"Porricondyla nigripennis"
"26"	"Serratyla"	"pubescens"	"(F.Walker, 1856)"	31	515	"Diptera"	"Porricondylinae (s lat)"	"Serratyla pubescens"
"27"	"Winnertzia"	"solidaginis"	"Felt, 1907"	31	515	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia solidaginis"
"28"	"Winnertzia"	"tridens"	"Panelius, 1965"	31	515	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia tridens"
