"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	5	353	"2004.v.18"
"2"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	1	5	764	"2004.vi.16"
"3"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	5	764	"2004.vi.16"
"4"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	1	5	765	"2004.vi.30"
"5"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	9	5	768	"2004.viii.16"
"6"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	9	1612	"2005.viii.06"
"7"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	11	415	"2003.ix.15"
"8"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	14	1656	"2005.viii.23"
"9"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	16	1666	"2005.v.28"
"10"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	17	1517	"2005.vii.17"
"11"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	1	24	1673	"2005.v.31"
"12"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	24	1673	"2005.v.31"
"13"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	9	25	450	"2003.vi.29"
"14"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	25	450	"2003.vi.29"
"15"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	2	25	451	"2003.vii.22"
"16"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	25	451	"2003.vii.22"
"17"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	25	452	"2003.viii.12"
"18"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	5	25	453	"2003.ix.06"
"19"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	27	1038	"2004.ix.06"
"20"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	28	1462	"2005.iv.01"
"21"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	28	1464	"2005.iv.10"
"22"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	30	1056	"2004.viii.19"
"23"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	31	1063	"2004.viii.22"
"24"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	32	1536	"2005.x.03"
"25"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	33	1082	"2004.viii.09"
"26"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	34	548	"2003.ix.13"
"27"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	37	571	"2003.viii.15"
"28"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	38	580	"2003.viii.07"
"29"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	38	1113	"2004.vi.15"
"30"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	38	1115	"2004.vi.29"
"31"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	38	1128	"2004.x.11"
"32"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	9	38	1443	"2005.v.24"
"33"	"Acartophthalmus"	"pusio"	"Frey, 1947"	4	38	1443	"2005.v.24"
"34"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	41	1155	"2004.vi.18"
"35"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	14	42	644	"2003.vii.16"
"36"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	22	42	645	"2003.vii.25"
"37"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	43	1175	"2004.ix.22"
"38"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	44	671	"2003.vii.29"
"39"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	44	673	"2003.viii.29"
"40"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	44	1188	"2004.viii.09"
"41"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	45	291	"2003.viii.05"
"42"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	45	292	"2003.viii.23"
"43"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	45	1192	"2004.vii.06"
"44"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	26	45	1194	"2004.viii.03"
"45"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	46	1200	"2004.vii.15"
"46"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	48	1208	"2004.vii.08"
"47"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	5	48	1210	"2004.viii.13"
"48"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	49	708	"2003.viii.05"
"49"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	51	287	"2003.ix.04"
"50"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	52	183	"2003.viii.01"
"51"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	53	1248	"2004.viii.20"
"52"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	57	1276	"2004.viii.20"
"53"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	58	1285	"2004.ix.24"
"54"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	5	1001	1361	"2005.viii.24"
"55"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	1002	1371	"2005.v.14"
"56"	"Acartophthalmus"	"pusio"	"Frey, 1947"	1	1002	1371	"2005.v.14"
"57"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1003	1384	"2005.v.22"
"58"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	1	1003	1388	"2005.vii.10"
"59"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	25	1003	1388	"2005.vii.10"
"60"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	1003	1389	"2005.vii.24"
"61"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	1003	1896	"2005.ix.12"
"62"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	1004	1898	"2005.viii.09"
"63"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1004	1899	"2005.ix.20"
"64"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	7	1005	1419	"2005.v.22"
"65"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	10	1005	1901	"2005.ix.26"
"66"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	1006	1424	"2005.v.22"
"67"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	1006	1426	"2005.vii.30"
"68"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	1007	1981	"2006.vi.26"
"69"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1339	"2005.vi.05"
"70"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1340	"2005.vi.10"
"71"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	1008	1345	"2005.vii.05"
"72"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	1	1008	1351	"2005.viii.05"
"73"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1483	"2005.viii.15"
"74"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1484	"2005.viii.20"
"75"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1486	"2005.viii.30"
"76"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	4	1008	1739	"2006.vi.22"
"77"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	1008	1741	"2006.vii.04"
"78"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	1747	"2006.viii.19"
"79"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	1008	2000	"2006.ix.05"
"80"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	51	2003	2031	"2006.iii.01"
"81"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	9	2003	2034	"2006.vi.29 "
"82"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	3	2003	2034	"2006.vi.29 "
"83"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	17	2003	2036	"2006.vii.24"
"84"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	2003	2036	"2006.vii.24"
"85"	"Acartophthalmus"	"bicolor"	"Oldenberg, 1910"	2	2003	2037	"2006.viii.14"
"86"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	5	2003	2037	"2006.viii.14"
"87"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	5	2003	2038	"2006.ix.08"
"88"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	1	2046	2058	"2008.ix.01"
"89"	"Acartophthalmus"	"nigrinus"	"(Zetterstedt, 1848)"	2	2046	2059	"2008.x.03"
