"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"2004.vii.14"
"2"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"0"
"3"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"0"
"4"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"0"
"5"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"0"
"6"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"0"
"7"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1170	"0"
"8"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1169	"0"
"9"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1908	"0"
"10"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1908	"0"
"11"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	43	1908	"0"
"12"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2046	2052	"0"
"13"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2046	2055	"0"
"14"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2046	2056	"0"
"15"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2046	2054	"0"
"16"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2046	2053	"0"
"17"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1363	"0"
"18"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1363	"0"
"19"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1364	"0"
"20"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1364	"2005.viii.19"
"21"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1364	"2005.viii.19"
"22"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1364	"2005.viii.19"
"23"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1315	"2005.vi.29"
"24"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1315	"2005.vi.29"
"25"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1315	"2005.vi.29"
"26"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1315	"2005.vi.29"
"27"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1314	"2005.vi.15"
"28"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1313	"2005.vi.01"
"29"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1731	"2006.vii.20"
"30"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1731	"2006.vii.20"
"31"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1731	"2006.vii.20"
"32"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1731	"2006.vii.20"
"33"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1731	"2006.vii.20"
"34"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	17	1517	"2005.vii.17"
"35"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	17	1517	"2005.vii.17"
"36"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	17	1517	"2005.vii.17"
"37"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	17	1517	"2005.vii.17"
"38"	"Adelius"	"clandestinus"	"(Förster, 1851)"	1	17	1517	"2005.vii.17"
"39"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	38	1454	"2005.viii.05"
"40"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	38	580	"2003.viii.07"
"41"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	38	1448	"2005.vi.28"
