"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Adelognathus"	"sp."	"Holmgren, 1857"	"http://dyntaxa.se/taxon/info/1014527"	"Dyntaxa"	"Adelognathus sp."
"2"	"Adelognathus"	"aciculatus"	"Thomson, 1883"	"http://dyntaxa.se/taxon/info/253882"	"Dyntaxa"	"Adelognathus aciculatus"
"3"	"Adelognathus"	"brevicornis"	"Holmgren, 1857"	"http://dyntaxa.se/taxon/info/253883"	"Dyntaxa"	"Adelognathus brevicornis"
"4"	"Adelognathus"	"chrysopygus"	"(Gravenhorst, 1829)"	"http://dyntaxa.se/taxon/info/253884"	"Dyntaxa"	"Adelognathus chrysopygus"
"5"	"Adelognathus"	"cubiceps"	"Roman, 1925"	"http://dyntaxa.se/taxon/info/253885"	"Dyntaxa"	"Adelognathus cubiceps"
"6"	"Adelognathus"	"difformis"	"Holmgren, 1857"	"http://dyntaxa.se/taxon/info/253886"	"Dyntaxa"	"Adelognathus difformis"
"7"	"Adelognathus"	"dorsalis"	"(Gravenhorst, 1829)"	"http://dyntaxa.se/taxon/info/253887"	"Dyntaxa"	"Adelognathus dorsalis"
"8"	"Adelognathus"	"facialis"	"Thomson, 1883"	"http://dyntaxa.se/taxon/info/253888"	"Dyntaxa"	"Adelognathus facialis"
"9"	"Adelognathus"	"frigidus"	"Holmgren, 1883"	"http://dyntaxa.se/taxon/info/253889"	"Dyntaxa"	"Adelognathus frigidus"
"10"	"Adelognathus"	"laevicollis"	"Thomson, 1883"	"http://dyntaxa.se/taxon/info/253890"	"Dyntaxa"	"Adelognathus laevicollis"
"11"	"Adelognathus"	"longithorax"	"Kasparyan, 1986"	"http://dyntaxa.se/taxon/info/253891"	"Dyntaxa"	"Adelognathus longithorax"
"12"	"Adelognathus"	"marginellus"	"Holmgren, 1857"	"http://dyntaxa.se/taxon/info/253892"	"Dyntaxa"	"Adelognathus marginellus"
"13"	"Adelognathus"	"nigriceps"	"Thomson, 1888"	"http://dyntaxa.se/taxon/info/253893"	"Dyntaxa"	"Adelognathus nigriceps"
"14"	"Adelognathus"	"nigrifrons"	"Holmgren, 1857"	"http://dyntaxa.se/taxon/info/253894"	"Dyntaxa"	"Adelognathus nigrifrons"
"15"	"Adelognathus"	"obscurus"	"Kasparyan, 1986"	"http://dyntaxa.se/taxon/info/253895"	"Dyntaxa"	"Adelognathus obscurus"
"16"	"Adelognathus"	"pallipes"	"(Gravenhorst, 1829)"	"http://dyntaxa.se/taxon/info/253896"	"Dyntaxa"	"Adelognathus pallipes"
"17"	"Adelognathus"	"pilosus"	"Thomson, 1888"	"http://dyntaxa.se/taxon/info/253897"	"Dyntaxa"	"Adelognathus pilosus"
"18"	"Adelognathus"	"pumilio"	"Holmgren, 1857"	"http://dyntaxa.se/taxon/info/253898"	"Dyntaxa"	"Adelognathus pumilio"
"19"	"Adelognathus"	"puncticollis"	"Thomson, 1883"	"http://dyntaxa.se/taxon/info/253899"	"Dyntaxa"	"Adelognathus puncticollis"
"20"	"Adelognathus"	"punctulatus"	"Thomson, 1883"	"http://dyntaxa.se/taxon/info/253900"	"Dyntaxa"	"Adelognathus punctulatus"
"21"	"Adelognathus"	"pusillus"	"Holmgren, 1857"	"http://dyntaxa.se/taxon/info/253901"	"Dyntaxa"	"Adelognathus pusillus"
"22"	"Adelognathus"	"tenthredinarum"	"(Giraud, 1872)"	"http://dyntaxa.se/taxon/info/253902"	"Dyntaxa"	"Adelognathus tenthredinarum"
"23"	"Adelognathus"	"tetratinctorius"	"(Thunberg, 1822)"	"http://dyntaxa.se/taxon/info/253903"	"Dyntaxa"	"Adelognathus tetratinctorius"
"24"	"Adelognathus"	"thomsoni"	"Schmiedeknecht, 1911"	"http://dyntaxa.se/taxon/info/253904"	"Dyntaxa"	"Adelognathus thomsoni"
"25"	"Adelognathus"	"acantholydae"	"Kasparyan, 1986"	"http://faunaeur.org/full_results.php?id=336324"	"Fauna Europaea"	"Adelognathus acantholydae"
"26"	"Adelognathus"	"brevis"	"Kasparyan, 1986"	"http://faunaeur.org/full_results.php?id=336327"	"Fauna Europaea"	"Adelognathus brevis"
"27"	"Adelognathus"	"britannicus"	"Perkins, 1943"	"http://faunaeur.org/full_results.php?id=336328"	"Fauna Europaea"	"Adelognathus britannicus"
"28"	"Adelognathus"	"ctenonyx"	"Kasparyan, 1986"	"http://faunaeur.org/full_results.php?id=336331"	"Fauna Europaea"	"Adelognathus ctenonyx"
"29"	"Adelognathus"	"rufithorax"	"Kasparyan, 1990"	"http://faunaeur.org/full_results.php?id=336355"	"Fauna Europaea"	"Adelognathus rufithorax"
"30"	"Adelognathus"	"stelfoxi"	"Fitton, Gauld & Shaw, 1982"	"http://faunaeur.org/full_results.php?id=336356"	"Fauna Europaea"	"Adelognathus stelfoxi"
