"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Therion"	"circumflexum"	"(Linnaeus, 1758)"	1	2	82	"2003.vii.02"
"2"	"Aphanistes"	"bellicosus"	"(Wesmael, 1849)"	1	2	82	"2003.vii.02"
"3"	"Barylypa"	"propugnator"	"(Forster 1855)"	2	2	82	"2003.vii.02"
"4"	"Barylypa"	"propugnator"	"(Forster 1855)"	2	2	788	"2004.vii.20"
"5"	"Agrypon"	"flaveolatum"	"(Gravenhorst, 1807)"	1	43	1907	"2005.vi.15"
"6"	"Barylypa"	"delictor"	"(Thunberg, 1824)"	1	41	1159	"2004.viii.03"
"7"	"Agrypon"	"flexorium"	"(Thunberg, 1824)"	3	43	1171	"2004.vii.28"
"8"	"Agrypon"	"opaculum"	"Heinrich 1952"	1	43	1171	"2004.vii.28"
"9"	"Therion"	"circumflexum"	"(Linnaeus, 1758)"	2	43	1171	"2004.vii.28"
"10"	"Agrypon"	"varitarsum"	"(Wesmael, 1849)"	1	43	1168	"2004.vi.16"
"11"	"Therion"	"circumflexum"	"(Linnaeus, 1758)"	1	43	1911	"2005.viii.10"
"12"	"Agrypon"	"flaveolatum"	"(Gravenhorst, 1807)"	1	1008	1737	"2006.vi.10"
"13"	"Agrypon"	"flexorium"	"(Thunberg, 1824)"	5	43	1170	"2004.vii.14"
"14"	"Barylypa"	"propugnator"	"(Forster 1855)"	2	2	789	"2004.viii.11"
"15"	"Heteropelma"	"megarthrum"	"(Ratzeburg, 1848)"	1	2	787	"2004.vi.21"
"16"	"Barylypa"	"propugnator"	"(Forster 1855)"	3	2	83	"2003.vii.21"
"17"	"Barylypa"	"delictor"	"(Thunberg, 1824)"	1	41	1160	"2004.viii.06"
"18"	"Agrypon"	"opaculum"	"Heinrich 1952"	1	1008	1745	"2006.vii.28"
"19"	"Therion"	"circumflexum"	"(Linnaeus, 1758)"	1	1008	1745	"2006.vii.28"
"20"	"Erigorgus"	"procerus"	"(Gravenhorst, 1829)"	1	2	785	"2004.i.28"
