"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Agrypon"	"flaveolatum"	"(Gravenhorst, 1807)"	"urn:lsid:dyntaxa.se:TaxonName:55007"	"Dyntaxa"	"Agrypon flaveolatum"
"2"	"Agrypon"	"flexorium"	"(Thunberg, 1824)"	"urn:lsid:dyntaxa.se:TaxonName:55008"	"Dyntaxa"	"Agrypon flexorium"
"3"	"Agrypon"	"opaculum"	"Heinrich 1952"	"urn:lsid:faunaeur.org:taxname:336307"	"FaunaEuropea"	"Agrypon opaculum"
"4"	"Agrypon"	"varitarsum"	"(Wesmael, 1849)"	"urn:lsid:dyntaxa.se:TaxonName:55010"	"Dyntaxa"	"Agrypon varitarsum"
"5"	"Aphanistes"	"bellicosus"	"(Wesmael, 1849)"	"urn:lsid:dyntaxa.se:TaxonName:55013"	"Dyntaxa"	"Aphanistes bellicosus"
"6"	"Barylypa"	"delictor"	"(Thunberg, 1824)"	"urn:lsid:dyntaxa.se:TaxonName:55016"	"Dyntaxa"	"Barylypa delictor"
"7"	"Barylypa"	"propugnator"	"(Forster 1855)"	"urn:lsid:faunaeur.org:taxname:336275"	"FaunaEuropea"	"Barylypa propugnator"
"8"	"Erigorgus"	"procerus"	"(Gravenhorst, 1829)"	"urn:lsid:dyntaxa.se:TaxonName:55027"	"Dyntaxa"	"Erigorgus procerus"
"9"	"Heteropelma"	"megarthrum"	"(Ratzeburg, 1848)"	"urn:lsid:dyntaxa.se:TaxonName:55038"	"Dyntaxa"	"Heteropelma megarthrum"
"10"	"Therion"	"circumflexum"	"(Linnaeus, 1758)"	"urn:lsid:dyntaxa.se:TaxonName:55041"	"Dyntaxa"	"Therion circumflexum"
