"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Anagnota"	"bicolor"	"(Meigen, 1838)"	1	9	355	"2003.vi.18"
"2"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	11	411	"2003.vii.23"
"3"	"Anthomyza"	"pallida"	"(Zetterstedt, 1838)"	2	11	411	"2003.vii.23"
"4"	"Anthomyza"	"elbergi"	"Andersson, 1976"	1	11	412	"2003.viii.04"
"5"	"Arganthomyza"	"socculata"	"(Zetterstedt, 1847)"	1	11	412	"2003.viii.04"
"6"	"Anthomyza"	"elbergi"	"Andersson, 1976"	2	12	892	"2004.vii.17"
"7"	"Anthomyza"	"elbergi"	"Andersson, 1976"	1	12	892	"2004.vii.17"
"8"	"Anthomyza"	"gracilis"	"Fallén, 1823"	7	12	892	"2004.vii.17"
"9"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	12	892	"2004.vii.17"
"10"	"Anthomyza"	"paraneglecta"	"Elberg, 1968"	3	12	892	"2004.vii.17"
"11"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	27	12	892	"2004.vii.17"
"12"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	11	12	892	"2004.vii.17"
"13"	"Paranthomyza"	"nitida"	"(Meigen, 1838)"	2	17	1517	"2005.vii.17"
"14"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	20	236	"2003.ix.01"
"15"	"Anthomyza"	"gracilis"	"Fallén, 1823"	2	22	1363	"2005.viii.01"
"16"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	22	1363	"2005.viii.01"
"17"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	22	1364	"2005.viii.19"
"18"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	22	1725	"2006.v.20"
"19"	"Paranthomyza"	"nitida"	"(Meigen, 1838)"	1	25	450	"2003.vi.29"
"20"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	2	25	450	"2003.vi.29"
"21"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	1	25	451	"2003.vii.22"
"22"	"Paranthomyza"	"nitida"	"(Meigen, 1838)"	1	25	452	"2003.viii.12"
"23"	"Anthomyza"	"pallida"	"(Zetterstedt, 1838)"	1	26	1692	"2005.vii.19"
"24"	"Anthomyza"	"gracilis"	"Fallén, 1823"	15	28	1467	"2005.vii.17"
"25"	"Anthomyza"	"gracilis"	"Fallén, 1823"	11	28	1467	"2005.vii.17"
"26"	"Fungomyza"	"albimana"	"(Meigen, 1830)"	8	30	1055	"2004.vii.03"
"27"	"Fungomyza"	"albimana"	"(Meigen, 1830)"	3	30	1055	"2004.vii.03"
"28"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	1	30	1055	"2004.vii.03"
"29"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	32	1533	"2005.viii.18"
"30"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	1	43	1171	"2004.vii.28"
"31"	"Arganthomyza"	"socculata"	"(Zetterstedt, 1847)"	2	54	1254	"2004.viii.05"
"32"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	8	54	1254	"2004.viii.05"
"33"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	2	54	1254	"2004.viii.05"
"34"	"Anthomyza"	"elbergi"	"Andersson, 1976"	1	1002	1376	"2005.vii.15"
"35"	"Anthomyza"	"pallida"	"(Zetterstedt, 1838)"	1	1002	1376	"2005.vii.15"
"36"	"Anthomyza"	"pallida"	"(Zetterstedt, 1838)"	1	1002	1376	"2005.vii.15"
"37"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	3	1002	1376	"2005.vii.15"
"38"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	1	1002	1376	"2005.vii.15"
"39"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	1	1003	1388	"2005.vii.10"
"40"	"Fungomyza"	"albimana"	"(Meigen, 1830)"	2	1003	1389	"2005.vii.24"
