"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Anagnota"	"sp."	"Becker, 1902"	"http://www.faunaeur.org/full_results.php?id=59574"	NA	"Fauna Europaea"	"Anagnota sp."
"2"	"Anagnota"	"bicolor"	"(Meigen, 1838)"	"urn:lsid:dyntaxa.se:Taxon:241696"	NA	"Dyntaxa"	"Anagnota bicolor"
"3"	"Anthomyza"	"sp."	"Fallén, 1810"	"http://www.faunaeur.org/full_results.php?id=59544"	NA	"Fauna Europaea"	"Anthomyza sp."
"4"	"Anthomyza"	"anderssoni"	"Rohácek, 1984"	"urn:lsid:dyntaxa.se:Taxon:241697"	NA	"Dyntaxa"	"Anthomyza anderssoni"
"5"	"Anthomyza"	"collini"	"Andersson, 1976"	"urn:lsid:dyntaxa.se:Taxon:241698"	NA	"Dyntaxa"	"Anthomyza collini"
"6"	"Anthomyza"	"dissors"	"Collin, 1944"	"urn:lsid:dyntaxa.se:Taxon:241699"	NA	"Dyntaxa"	"Anthomyza dissors"
"7"	"Anthomyza"	"dorsata"	"Collin, 1944"	"urn:lsid:dyntaxa.se:Taxon:241700"	NA	"Dyntaxa"	"Anthomyza dorsata"
"8"	"Anthomyza"	"elbergi"	"Andersson, 1976"	"urn:lsid:dyntaxa.se:Taxon:241701"	NA	"Dyntaxa"	"Anthomyza elbergi"
"9"	"Anthomyza"	"gracilis"	"Fallén, 1823"	"urn:lsid:dyntaxa.se:Taxon:241702"	NA	"Dyntaxa"	"Anthomyza gracilis"
"10"	"Anthomyza"	"macra"	"Czerny, 1928"	"urn:lsid:dyntaxa.se:Taxon:241703"	NA	"Dyntaxa"	"Anthomyza macra"
"11"	"Anthomyza"	"neglecta"	"Collin, 1944"	"urn:lsid:dyntaxa.se:Taxon:241704"	NA	"Dyntaxa"	"Anthomyza neglecta"
"12"	"Anthomyza"	"pallida"	"(Zetterstedt, 1838)"	"urn:lsid:dyntaxa.se:Taxon:241705"	NA	"Dyntaxa"	"Anthomyza pallida"
"13"	"Anthomyza"	"paraneglecta"	"Elberg, 1968"	"urn:lsid:dyntaxa.se:Taxon:241706"	NA	"Dyntaxa"	"Anthomyza paraneglecta"
"14"	"Anthomyza"	"pleuralis"	"Czerny, 1928"	"urn:lsid:dyntaxa.se:Taxon:241707"	NA	"Dyntaxa"	"Anthomyza pleuralis"
"15"	"Anthomyza"	"socculata"	"(Zetterstedt, 1847)"	"urn:lsid:dyntaxa.se:Taxon:241708"	"Dyntaxa classification obsolete according to taxonomist"	"Dyntaxa"	"Anthomyza socculata"
"16"	"Anthomyza"	"cingulata"	"(Haliday, 1855)"	"http://gni.globalnames.org/data_sources/30?page=428&search_term=ns%3AANT*"	NA	"Global Names Index"	"Anthomyza cingulata"
"17"	"Fungomyza"	"sp."	"Rohacek, 1999"	"http://www.faunaeur.org/full_results.php?id=59566"	NA	"Fauna Europaea"	"Fungomyza sp."
"18"	"Fungomyza"	"albimana"	"(Meigen, 1830)"	"urn:lsid:dyntaxa.se:Taxon:241709"	NA	"Dyntaxa"	"Fungomyza albimana"
"19"	"Paranthomyza"	"sp."	"Czerny, 1902"	"http://www.faunaeur.org/full_results.php?id=59562"	NA	"Fauna Europaea"	"Paranthomyza sp."
"20"	"Paranthomyza"	"nitida"	"(Meigen, 1838)"	"urn:lsid:dyntaxa.se:Taxon:241711"	NA	"Dyntaxa"	"Paranthomyza nitida"
"21"	"Stiphrosoma"	"sp."	"Czerny, 1928"	"http://www.faunaeur.org/full_results.php?id=59547"	NA	"Fauna Europaea"	"Stiphrosoma sp."
"22"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	"urn:lsid:dyntaxa.se:Taxon:241712"	NA	"Dyntaxa"	"Stiphrosoma laetum"
"23"	"Stiphrosoma"	"sabulosum"	"(Haliday, 1837)"	"urn:lsid:dyntaxa.se:Taxon:241713"	NA	"Dyntaxa"	"Stiphrosoma sabulosum"
"24"	"Typhamyza"	"sp."	"Rohacek, 1992"	"http://www.faunaeur.org/full_results.php?id=59543"	NA	"Fauna Europaea"	"Typhamyza sp."
"25"	"Typhamyza"	"bifasciata"	"(Wood, 1911)"	"urn:lsid:dyntaxa.se:Taxon:241714"	NA	"Dyntaxa"	"Typhamyza bifasciata"
"26"	"Carexomyza"	"sp."	"Roháček, 2009"	"urn:lsid:dyntaxa.se:Taxon:6002502"	NA	"Dyntaxa"	"Carexomyza sp."
"27"	"Carexomyza"	"caricis"	"(Rohacek, 1999)"	"urn:lsid:dyntaxa.se:Taxon:241710"	NA	"Dyntaxa"	"Carexomyza caricis"
"28"	"Arganthomyza"	"sp."	"Rohacek, 2009"	"http://www.ncbi.nlm.nih.gov/pubmed/24614192"	"taxonomist prefers this classification to the one in Dyntaxa"	"original paper by taxonomist"	"Arganthomyza sp."
"29"	"Arganthomyza"	"socculata"	"(Zetterstedt, 1847)"	"http://www.ncbi.nlm.nih.gov/pubmed/24614192"	"taxonomist prefers this classification to the one in Dyntaxa"	"original paper by taxonomist"	"Arganthomyza socculata"
