"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Anagnota"	"bicolor"	"(Meigen, 1838)"	1	12	69	"2003.vi.24"
"2"	"Anagnota"	"bicolor"	"(Meigen, 1838)"	1	1001	1355	"0"
"3"	"Anthomyza"	"collini"	"Andersson, 1976"	1	12	69	"0"
"4"	"Anthomyza"	"collini"	"Andersson, 1976"	1	35	1722	"0"
"5"	"Anthomyza"	"collini"	"Andersson, 1976"	1	1006	1424	"0"
"6"	"Anthomyza"	"dissors"	"Collin, 1944"	1	12	891	"0"
"7"	"Anthomyza"	"elbergi"	"Andersson, 1976"	1	6	368	"0"
"8"	"Anthomyza"	"elbergi"	"Andersson, 1976"	4	6	371	"0"
"9"	"Anthomyza"	"elbergi"	"Andersson, 1976"	9	12	175	"0"
"10"	"Anthomyza"	"elbergi"	"Andersson, 1976"	6	12	176	"0"
"11"	"Anthomyza"	"elbergi"	"Andersson, 1976"	4	12	891	"0"
"12"	"Anthomyza"	"elbergi"	"Andersson, 1976"	8	35	558	"0"
"13"	"Anthomyza"	"elbergi"	"Andersson, 1976"	2	35	1103	"0"
"14"	"Anthomyza"	"elbergi"	"Andersson, 1976"	3	56	1267	"0"
"15"	"Anthomyza"	"elbergi"	"Andersson, 1976"	3	2046	2055	"0"
"16"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	6	368	"0"
"17"	"Anthomyza"	"gracilis"	"Fallén, 1823"	2	6	370	"0"
"18"	"Anthomyza"	"gracilis"	"Fallén, 1823"	2	6	371	"0"
"19"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	11	413	"2003.viii.18"
"20"	"Anthomyza"	"gracilis"	"Fallén, 1823"	2	11	1635	"2005.vi.23"
"21"	"Anthomyza"	"gracilis"	"Fallén, 1823"	6	12	69	"2003.vi.24"
"22"	"Anthomyza"	"gracilis"	"Fallén, 1823"	12	12	175	"2003.vii.20"
"23"	"Anthomyza"	"gracilis"	"Fallén, 1823"	6	12	176	"2003.viii.02"
"24"	"Anthomyza"	"gracilis"	"Fallén, 1823"	6	12	178	"2003.viii.25"
"25"	"Anthomyza"	"gracilis"	"Fallén, 1823"	3	12	179	"2003.ix.19"
"26"	"Anthomyza"	"gracilis"	"Fallén, 1823"	10	12	891	"2004.vi.27"
"27"	"Anthomyza"	"gracilis"	"Fallén, 1823"	19	13	1646	"2005.vii.26"
"28"	"Anthomyza"	"gracilis"	"Fallén, 1823"	22	13	1648	"2005.viii.23"
"29"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	22	1314	"2005.vi.15"
"30"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	22	1725	"2006.v.20"
"31"	"Anthomyza"	"gracilis"	"Fallén, 1823"	2	28	1458	"2004.vii.16"
"32"	"Anthomyza"	"gracilis"	"Fallén, 1823"	10	28	1468	"2005.viii.09"
"33"	"Anthomyza"	"gracilis"	"Fallén, 1823"	2	34	551	"2004.v.15"
"34"	"Anthomyza"	"gracilis"	"Fallén, 1823"	7	35	554	"2003.ix.15"
"35"	"Anthomyza"	"gracilis"	"Fallén, 1823"	6	35	558	"2004.iv.01"
"36"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	35	1103	"2004.viii.07"
"37"	"Anthomyza"	"gracilis"	"Fallén, 1823"	9	35	1722	"2005.ix.12"
"38"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	43	1908	"2005.vi.29"
"39"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	49	708	"2003.viii.05"
"40"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	1004	1898	"2005.viii.09"
"41"	"Anthomyza"	"gracilis"	"Fallén, 1823"	1	2046	2052	"2008.vi.01"
"42"	"Anthomyza"	"gracilis"	"Fallén, 1823"	9	2046	2055	"2008.vii.16"
