"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	2	1000	1323	"2005.vii.02"
"2"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	2	15	1660	"2005.vii.05"
"3"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	2	1008	1741	"2006.vii.04"
"4"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	24	818	"2003.viii.01"
"5"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	16	1667	"2005.vii.05"
"6"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	13	1648	"2005.viii.23"
"7"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	3	85	"2003.vii.02"
"8"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	37	832	"2004.vi.11"
"9"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	1001	1333	"2005.vii.12"
"10"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	2	83	"2003.vii.21"
"11"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	3	799	"2004.vii.20"
"12"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	1001	1331	"2005.vi.27"
"13"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	31	1061	"2004.vii.30"
"14"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	22	246	"2003.vii.17"
"15"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	1	1008	1743	"2006.vii.16"
"16"	"Cyrtopogon"	"lateralis"	"(Fallén, 1814)"	2	2	787	"2004.vi.21"
"17"	"Cyrtopogon"	"lateralis"	"(Fallén, 1814)"	1	3	798	"2004.vi.21"
"18"	"Cyrtopogon"	"lateralis"	"(Fallén, 1814)"	1	3	85	"2003.vii.02"
"19"	"Dioctria"	"hyalipennis"	"(Fabricius, 1794)"	2	39	1803	"2005.vi.26"
"20"	"Dioctria"	"hyalipennis"	"(Fabricius, 1794)"	4	24	818	"2003.viii.01"
"21"	"Dioctria"	"hyalipennis"	"(Fabricius, 1794)"	4	24	817	"2003.vii.15"
"22"	"Dioctria"	"hyalipennis"	"(Fabricius, 1794)"	1	1008	1743	"2006.vii.16"
"23"	"Dioctria"	"atricapilla"	"Meigen, 1804"	3	22	1725	"2006.v.20"
"24"	"Dioctria"	"atricapilla"	"Meigen, 1804"	1	22	777	"2004.vi.23"
"25"	"Dioctria"	"rufipes"	"(De Geer, 1776)"	3	22	776	"2004.vi.01"
"26"	"Dioctria"	"rufipes"	"(De Geer, 1776)"	3	9	1610	"2005.vi.24"
"27"	"Dioctria"	"rufipes"	"(De Geer, 1776)"	3	22	244	"2003.vi.25"
"28"	"Dysmachus"	"picipes"	"(Meigen, 1820)"	1	22	776	"2004.vi.01"
"29"	"Dysmachus"	"picipes"	"(Meigen, 1820)"	1	24	817	"2003.vii.15"
"30"	"Epitriptus"	"cingulatus"	"(Fabricius, 1781)"	23	20	234	"2003.vii.20"
"31"	"Eutolmus"	"rufibarbis"	"(Meigen, 1820)"	6	1006	1424	"2005.v.22"
"32"	"Eutolmus"	"rufibarbis"	"(Meigen, 1820)"	2	1005	1419	"2005.v.22"
"33"	"Eutolmus"	"rufibarbis"	"(Meigen, 1820)"	3	1006	1426	"2005.vii.30"
"34"	"Eutolmus"	"rufibarbis"	"(Meigen, 1820)"	5	38	1450	"2005.vii.09"
"35"	"Laphria"	"flava"	"(Linnaeus, 1761)"	1	2	787	"2004.vi.21"
"36"	"Laphria"	"flava"	"(Linnaeus, 1761)"	1	27	487	"2004.vi.02"
"37"	"Laphria"	"gibbosa"	"(Linnaeus, 1758)"	1	2	788	"2004.vii.20"
"38"	"Lasiopogon"	"cinctus"	"(Fabricius, 1781)"	24	38	1443	"2005.v.24"
"39"	"Lasiopogon"	"cinctus"	"(Fabricius, 1781)"	1	3	84	"2003.vi.08 "
"40"	"Lasiopogon"	"cinctus"	"(Fabricius, 1781)"	1	1001	1331	"2005.vi.27"
"41"	"Leptarthrus"	"brevirostris"	"(Meigen, 1804)"	1	22	244	"2003.vi.25"
"42"	"Leptogaster"	"cylindrica"	"(De Geer, 1776)"	6	22	777	"2004.vi.23"
"43"	"Leptogaster"	"cylindrica"	"(De Geer, 1776)"	2	22	779	"2004.viii.01"
"44"	"Leptogaster"	"cylindrica"	"(De Geer, 1776)"	1	22	247	"2003.viii.07"
"45"	"Leptogaster"	"cylindrica"	"(De Geer, 1776)"	5	22	778	"2004.vii.18"
"46"	"Leptogaster"	"cylindrica"	"(De Geer, 1776)"	6	22	245	"2003.vii.13"
"47"	"Leptogaster"	"cylindrica"	"(De Geer, 1776)"	1	22	776	"2004.vi.01"
"48"	"Leptogaster"	"guttiventris"	"Zetterstedt, 1842"	2	20	234	"2003.vii.20"
"49"	"Leptogaster"	"guttiventris"	"Zetterstedt, 1842"	9	21	240	"2003.viii.01"
"50"	"Leptogaster"	"guttiventris"	"Zetterstedt, 1842"	2	21	238	"2003.vi.25"
"51"	"Leptogaster"	"guttiventris"	"Zetterstedt, 1842"	1	22	245	"2003.vii.13"
"52"	"Leptogaster"	"guttiventris"	"Zetterstedt, 1842"	1	24	817	"2003.vii.15"
"53"	"Machimus"	"setibarbus"	"(Loew, 1849)"	21	20	234	"2003.vii.20"
"54"	"Neoitamus"	"socius"	"(Loew, 1871)"	14	1008	1741	"2006.vii.04"
"55"	"Neoitamus"	"socius"	"(Loew, 1871)"	7	1008	1743	"2006.vii.16"
"56"	"Neoitamus"	"socius"	"(Loew, 1871)"	4	1008	1739	"2006.vi.22"
"57"	"Neoitamus"	"socius"	"(Loew, 1871)"	1	3	799	"2004.vii.20"
"58"	"Neoitamus"	"socius"	"(Loew, 1871)"	4	4	89	"2003.vii.21"
"59"	"Neoitamus"	"socius"	"(Loew, 1871)"	1	3	109	"2003.viii.04"
"60"	"Neoitamus"	"socius"	"(Loew, 1871)"	2	4	114	"2003.viii.04"
"61"	"Neoitamus"	"socius"	"(Loew, 1871)"	2	10	398	"2003.vii.21"
"62"	"Neoitamus"	"socius"	"(Loew, 1871)"	1	1001	1333	"2005.vii.12"
"63"	"Neoitamus"	"socius"	"(Loew, 1871)"	1	44	671	"2003.vii.29"
"64"	"Neoitamus"	"socius"	"(Loew, 1871)"	1	16	1669	"2005.viii.02"
"65"	"Neoitamus"	"socius"	"(Loew, 1871)"	1	1006	1424	"2005.v.22"
"66"	"Neoitamus"	"socius"	"(Loew, 1871)"	3	61	219	"2003.viii.01"
"67"	"Neoitamus"	"socius"	"(Loew, 1871)"	2	24	817	"2003.vii.15"
"68"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	2	57	203	"2003.viii.01"
"69"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	1	2	788	"2004.vii.20"
"70"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	1	38	1450	"2005.vii.09"
"71"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	1	20	234	"2003.vii.20"
"72"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	1	3	799	"2004.vii.20"
"73"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	6	29	1047	"2004.vii.11"
"74"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	1	4	114	"2003.viii.04"
"75"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	3	29	1048	"2004.vii.30"
"76"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	1	2	789	"2004.viii.11"
"77"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	1	4	89	"2003.vii.21"
"78"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	2	1006	1424	"2005.v.22"
"79"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	1	3	799	"2004.vii.20"
"80"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	3	24	818	"2003.viii.01"
"81"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	2	31	1061	"2004.vii.30"
"82"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	5	13	1648	"2005.viii.23"
"83"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	5	22	779	"2004.viii.01"
"84"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	1	2	789	"2004.viii.11"
"85"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	4	1001	1355	"2005.viii.13"
"86"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	4	38	1128	"2004.x.11"
"87"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	1	23	1413	"2005.viii.25"
"88"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	3	1005	1421	"2005.vii.30"
"89"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	1	13	1644	"2005.vii.12"
"90"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	1	22	781	"2004.ix.18"
