"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Antipalus"	"sp."	"Loew, 1849"	"http://www.faunaeur.org/full_results.php?id=59913"	NA	"Fauna Europaea"	"Antipalus sp."
"2"	"Antipalus"	"varipes"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/100321"	NA	"Dyntaxa"	"Antipalus varipes"
"3"	"Asilus"	"sp."	"Linnaeus, 1758"	"http://www.faunaeur.org/full_results.php?id=59605"	NA	"Fauna Europaea"	"Asilus sp."
"4"	"Asilus"	"crabroniformis"	"Linnaeus, 1758"	"http://dyntaxa.se/taxon/info/100405"	NA	"Dyntaxa"	"Asilus crabroniformis"
"5"	"Stilpnogaster"	"sp."	"Loew, 1849"	"http://www.faunaeur.org/full_results.php?id=59682"	NA	"Fauna Europaea"	"Stilpnogaster sp."
"6"	"Stilpnogaster"	"aemula"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/101858"	NA	"Dyntaxa"	"Stilpnogaster aemula"
"7"	"Neoitamus"	"sp."	"Osten Sacken, 1878"	"http://www.faunaeur.org/full_results.php?id=59735"	NA	"Fauna Europaea"	"Neoitamus sp."
"8"	"Neoitamus"	"cothurnatus"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/102094"	NA	"Dyntaxa"	"Neoitamus cothurnatus"
"9"	"Neoitamus"	"socius"	"(Loew, 1871)"	"http://dyntaxa.se/taxon/info/236186"	NA	"Dyntaxa"	"Neoitamus socius"
"10"	"Neoitamus"	"cyanurus"	"(Loew, 1849)"	"http://dyntaxa.se/taxon/info/236187"	NA	"Dyntaxa"	"Neoitamus cyanurus"
"11"	"Tolmerus"	"sp."	"Loew, 1849"	"http://www.faunaeur.org/full_results.php?id=59647"	NA	"Fauna Europaea"	"Tolmerus sp."
"12"	"Tolmerus"	"cingulatus"	"(Fabricius, 1781)"	"http://dyntaxa.se/taxon/info/236180"	NA	"Dyntaxa"	"Tolmerus cingulatus"
"13"	"Tolmerus"	"atricapillus"	"(Fallén, 1814)"	"http://dyntaxa.se/taxon/info/236181"	NA	"Dyntaxa"	"Tolmerus atricapillus"
"14"	"Rhadiurgus"	"sp."	"Loew, 1849"	"http://www.faunaeur.org/full_results.php?id=59690"	NA	"Fauna Europaea"	"Rhadiurgus sp."
"15"	"Rhadiurgus"	"variabilis"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/236182"	NA	"Dyntaxa"	"Rhadiurgus variabilis"
"16"	"Philonicus"	"sp."	"Loew, 1849"	"http://www.faunaeur.org/full_results.php?id=59704"	NA	"Fauna Europaea"	"Philonicus sp."
"17"	"Philonicus"	"albiceps"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/236183"	NA	"Dyntaxa"	"Philonicus albiceps"
"18"	"Pamponerus"	"sp."	"Loew, 1849"	"http://www.faunaeur.org/full_results.php?id=59712"	NA	"Fauna Europaea"	"Pamponerus sp."
"19"	"Pamponerus"	"germanicus"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/236184"	NA	"Dyntaxa"	"Pamponerus germanicus"
"20"	"Machimus"	"sp."	"Loew, 1849"	"http://www.faunaeur.org/full_results.php?id=59654"	NA	"Fauna Europaea"	"Machimus sp."
"21"	"Machimus"	"arthriticus"	"(Zeller, 1840)"	"http://dyntaxa.se/taxon/info/102093"	NA	"Dyntaxa"	"Machimus arthriticus"
"22"	"Machimus"	"setibarbus"	"(Loew, 1849)"	"http://dyntaxa.se/taxon/info/236188"	NA	"Dyntaxa"	"Machimus setibarbus"
"23"	"Eutolmus"	"sp."	"Loew, 1848"	"http://www.faunaeur.org/full_results.php?id=59800"	NA	"Fauna Europaea"	"Eutolmus sp."
"24"	"Eutolmus"	"rufibarbis"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/236192"	NA	"Dyntaxa"	"Eutolmus rufibarbis"
"25"	"Dysmachus"	"sp."	"Loew, 1860"	"http://www.faunaeur.org/full_results.php?id=59822"	NA	"Fauna Europaea"	"Dysmachus sp."
"26"	"Dysmachus"	"trigonus"	"(Meigen, 1804)"	"http://dyntaxa.se/taxon/info/236194"	NA	"Dyntaxa"	"Dysmachus trigonus"
"27"	"Didysmachus"	"sp."	"Lehr, 1996"	"http://www.faunaeur.org/full_results.php?id=59888"	NA	"Fauna Europaea"	"Didysmachus sp."
"28"	"Didysmachus"	"picipes"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/236195"	NA	"Dyntaxa"	"Didysmachus picipes"
"29"	"Leptarthrus"	"sp."	"Stephens, 1829"	"http://www.faunaeur.org/full_results.php?id=60203"	NA	"Fauna Europaea"	"Leptarthrus sp."
"30"	"Leptarthrus"	"vitripennis"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/101192"	NA	"Dyntaxa"	"Leptarthrus vitripennis"
"31"	"Leptarthrus"	"brevirostris"	"(Meigen, 1804)"	"http://dyntaxa.se/taxon/info/236200"	NA	"Dyntaxa"	"Leptarthrus brevirostris"
"32"	"Andrenosoma"	"sp."	"Rondani, 1856"	"http://www.faunaeur.org/full_results.php?id=60217"	NA	"Fauna Europaea"	"Andrenosoma sp."
"33"	"Andrenosoma"	"atrum"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/100289"	NA	"Dyntaxa"	"Andrenosoma atrum"
"34"	"Choerades"	"sp."	"Walker, 1851"	"http://www.faunaeur.org/full_results.php?id=60256"	NA	"Fauna Europaea"	"Choerades sp."
"35"	"Choerades"	"igneus"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/100624"	NA	"Dyntaxa"	"Choerades igneus"
"36"	"Choerades"	"lapponicus"	"(Zetterstedt, 1842)"	"http://dyntaxa.se/taxon/info/100625"	NA	"Dyntaxa"	"Choerades lapponicus"
"37"	"Choerades"	"rufipes"	"(Fallén, 1814)"	"http://dyntaxa.se/taxon/info/100626"	NA	"Dyntaxa"	"Choerades rufipes"
"38"	"Choerades"	"marginatus"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/236203"	NA	"Dyntaxa"	"Choerades marginatus"
"39"	"Choerades"	"gilvus"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/236204"	NA	"Dyntaxa"	"Choerades gilvus"
"40"	"Choerades"	"femoratus"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/236206"	NA	"Dyntaxa"	"Choerades femoratus"
"41"	"Laphria"	"sp."	"Meigen, 1803"	"http://www.faunaeur.org/full_results.php?id=59702"	NA	"Fauna Europaea"	"Laphria sp."
"42"	"Laphria"	"ephippium"	"(Fabricius, 1781)"	"http://dyntaxa.se/taxon/info/102092"	NA	"Dyntaxa"	"Laphria ephippium"
"43"	"Laphria"	"gibbosa"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/232164"	NA	"Dyntaxa"	"Laphria gibbosa"
"44"	"Laphria"	"flava"	"(Linnaeus, 1761)"	"http://dyntaxa.se/taxon/info/236201"	NA	"Dyntaxa"	"Laphria flava"
"45"	"Leptogaster"	"sp."	"Meigen, 1803"	"http://www.faunaeur.org/full_results.php?id=60274"	NA	"Fauna Europaea"	"Leptogaster sp."
"46"	"Leptogaster"	"guttiventris"	"Zetterstedt, 1842"	"http://dyntaxa.se/taxon/info/236208"	NA	"Dyntaxa"	"Leptogaster guttiventris"
"47"	"Leptogaster"	"cylindrica"	"(De Geer, 1776)"	"http://dyntaxa.se/taxon/info/236209"	NA	"Dyntaxa"	"Leptogaster cylindrica"
"48"	"Cyrtopogon"	"sp."	"Loew, 1847"	"http://www.faunaeur.org/full_results.php?id=60009"	NA	"Fauna Europaea"	"Cyrtopogon sp."
