"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Asteia"	"amoena"	"Meigen, 1830"	1	4	1849	"2005.vii.22"
"2"	"Asteia"	"amoena"	"Meigen, 1830"	1	8	393	"2003.viii.19"
"3"	"Asteia"	"amoena"	"Meigen, 1830"	1	8	395	"2004.vi.01"
"4"	"Asteia"	"amoena"	"Meigen, 1830"	10	8	1563	"2004.ix.10"
"5"	"Asteia"	"amoena"	"Meigen, 1830"	1	9	1612	"2005.viii.06"
"6"	"Leiomyza"	"dudai"	"Sabrosky, 1956"	5	9	1610	"2005.vi.24"
"7"	"Leiomyza"	"dudai"	"Sabrosky, 1956"	1	9	1611	"2005.vii.16"
"8"	"Leiomyza"	"dudai"	"Sabrosky, 1956"	1	9	1612	"2005.viii.06"
"9"	"Leiomyza"	"dudai"	"Sabrosky, 1956"	5	10	397	"2003.vii.08"
"10"	"Leiomyza"	"dudai"	"Sabrosky, 1956"	1	10	1625	"2005.viii.01"
"11"	"Leiomyza"	"scatophagina"	"(Fallén, 1823)"	1	10	399	"2003.viii.04"
"12"	"Leiomyza"	"scatophagina"	"(Fallén, 1823)"	9	10	1625	"2005.viii.01"
"13"	"Asteia"	"concinna"	"Meigen, 1830"	8	11	411	"2003.vii.23"
"14"	"Asteia"	"concinna"	"Meigen, 1830"	3	11	412	"2003.viii.04"
"15"	"Leiomyza"	"dudai"	"Sabrosky, 1956"	1	11	412	"2003.viii.04"
"16"	"Asteia"	"amoena"	"Meigen, 1830"	12	12	892	"2004.vii.17"
"17"	"Asteia"	"concinna"	"Meigen, 1830"	1	12	892	"2004.vii.17"
"18"	"Leiomyza"	"dudai"	"Sabrosky, 1956"	2	12	897	"2004.ix.11"
"19"	"Asteia"	"concinna"	"Meigen, 1830"	1	13	1646	"2005.vii.26"
"20"	"Asteia"	"amoena"	"Meigen, 1830"	1	14	1657	"2005.ix.16"
"21"	"Leiomyza"	"dudai"	"Sabrosky, 1956"	3	14	1652	"2005.vi.15"
"22"	"Leiomyza"	"dudai"	"Sabrosky, 1956"	1	14	1654	"2005.vii.19"
"23"	"Leiomyza"	"scatophagina"	"(Fallén, 1823)"	1	16	1666	"2005.v.28"
"24"	"Asteia"	"amoena"	"Meigen, 1830"	1	17	1517	"2005.vii.17"
"25"	"Leiomyza"	"scatophagina"	"(Fallén, 1823)"	1	17	1517	"2005.vii.17"
"26"	"Asteia"	"amoena"	"Meigen, 1830"	1	22	1363	"2005.viii.01"
"27"	"Asteia"	"amoena"	"Meigen, 1830"	2	22	1364	"2005.viii.19"
