"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Astiosoma"	"sp."	"Duda 1927"	"urn:lsid:faunaeur.org:taxname:60295"	"Fauna Europaea"	"Astiosoma sp."
"2"	"Astiosoma"	"rufifrons"	"Duda, 1927"	"http://dyntaxa.se/taxon/info/100408"	"Dyntaxa"	"Astiosoma rufifrons"
"3"	"Asteia"	"sp."	"Meigen 1830"	"urn:lsid:faunaeur.org:taxname:60312"	"Fauna Europaea"	"Asteia sp."
"4"	"Asteia"	"amoena"	"Meigen, 1830"	"http://dyntaxa.se/taxon/info/240430"	"Dyntaxa"	"Asteia amoena"
"5"	"Asteia"	"concinna"	"Meigen, 1830"	"http://dyntaxa.se/taxon/info/240431"	"Dyntaxa"	"Asteia concinna"
"6"	"Asteia"	"elegantula"	"Zetterstedt, 1847"	"http://dyntaxa.se/taxon/info/240432"	"Dyntaxa"	"Asteia elegantula"
"7"	"Leiomyza"	"sp."	"Macquart 1835"	"urn:lsid:faunaeur.org:taxname:60302"	"Fauna Europaea"	"Leiomyza sp."
"8"	"Leiomyza"	"curvinervis"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/240433"	"Dyntaxa"	"Leiomyza curvinervis"
"9"	"Leiomyza"	"dudai"	"Sabrosky, 1956"	"http://dyntaxa.se/taxon/info/240434"	"Dyntaxa"	"Leiomyza dudai"
"10"	"Leiomyza"	"laevigata"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240435"	"Dyntaxa"	"Leiomyza laevigata"
"11"	"Leiomyza"	"scatophagina"	"(Fallén, 1823)"	"http://dyntaxa.se/taxon/info/240436"	"Dyntaxa"	"Leiomyza scatophagina"
