"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Aphrophora"	"alni"	"(Fallén, 1805)"	1	21	243	"2003.x.01"
"2"	"Aphrophora"	"alni"	"(Fallén, 1805)"	1	22	248	"2003.viii.18"
"3"	"Aphrophora"	"alni"	"(Fallén, 1805)"	3	22	780	"2004..viii.23"
"4"	"Aphrophora"	"alni"	"(Fallén, 1805)"	3	21	241	"2003.viii.25"
"5"	"Aphrophora"	"alni"	"(Fallén, 1805)"	3	2	787	"2004.vi.21"
"6"	"Aphrophora"	"alni"	"(Fallén, 1805)"	1	3	800	"2004.viii.11"
"7"	"Aphrophora"	"alni"	"(Fallén, 1805)"	2	22	249	"2003.viii.31"
"8"	"Aphrophora"	"alni"	"(Fallén, 1805)"	12	22	246	"2003.vii.17"
"9"	"Aphrophora"	"alni"	"(Fallén, 1805)"	3	22	250	"2003.ix.12"
"10"	"Aphrophora"	"alni"	"(Fallén, 1805)"	3	21	240	"2003.viii.01"
"11"	"Aphrophora"	"alni"	"(Fallén, 1805)"	1	22	778	"2004.vii.18"
"12"	"Aphrophora"	"alni"	"(Fallén, 1805)"	1	3	799	"2004.vii.20"
"13"	"Aphrophora"	"alni"	"(Fallén, 1805)"	5	2	104	"2003.viii.04"
"14"	"Aphrophora"	"alni"	"(Fallén, 1805)"	5	22	247	"2003.viii.07"
"15"	"Aphrophora"	"alni"	"(Fallén, 1805)"	2	22	777	"2004.vi.23"
"16"	"Aphrophora"	"alni"	"(Fallén, 1805)"	3	2	790	"2004.ix.07"
"17"	"Aphrophora"	"alni"	"(Fallén, 1805)"	13	21	238	"2003.vi.25"
"18"	"Neophilaenus"	"lineatus"	"(Linnaeus, 1758)"	1	59	756	"2003.x.14"
"19"	"Neophilaenus"	"lineatus"	"(Linnaeus, 1758)"	1	21	243	"2003.x.01"
"20"	"Neophilaenus"	"lineatus"	"(Linnaeus, 1758)"	17	2	791	"2004.ix.22"
"21"	"Neophilaenus"	"lineatus"	"(Linnaeus, 1758)"	10	2	787	"2004.vi.21"
"22"	"Neophilaenus"	"lineatus"	"(Linnaeus, 1758)"	8	2	790	"2004.ix.07"
"23"	"Neophilaenus"	"lineatus"	"(Linnaeus, 1758)"	4	2	107	"2003.ix.25"
"24"	"Neophilaenus"	"lineatus"	"(Linnaeus, 1758)"	3	2	104	"2003.viii.04"
"25"	"Neophilaenus"	"lineatus"	"(Linnaeus, 1758)"	4	4	814	"2004.x.21"
"26"	"Philaenus"	"spumarius"	"(Linnaeus, 1758)"	1	22	779	"2004.viii.01"
"27"	"Philaenus"	"spumarius"	"(Linnaeus, 1758)"	1	22	247	"2003.viii.07"
"28"	"Philaenus"	"spumarius"	"(Linnaeus, 1758)"	2	10	400	"2003.viii.26"
"29"	"Philaenus"	"spumarius"	"(Linnaeus, 1758)"	1	10	399	"2003.viii.04"
"30"	"Philaenus"	"spumarius"	"(Linnaeus, 1758)"	1	21	238	"2003.vi.25"
"31"	"Philaenus"	"spumarius"	"(Linnaeus, 1758)"	1	22	252	"2003.xi.04"
"32"	"Agallia"	"brachyptera"	"(Boheman, 1847)"	1	10	398	"2003.vii.21"
"33"	"Agallia"	"brachyptera"	"(Boheman, 1847)"	1	10	399	"2003.viii.04"
"34"	"Aguriahana"	"pictilis"	"(Stål, 1853)"	9	4	810	"2004.vii.20"
"35"	"Alebra"	"albostriella"	"(Fallén, 1826)"	1	22	244	"2003.vi.25"
"36"	"Allygidius"	"commutatus"	"(Fieber, 1872)"	1	22	246	"2003.vii.17"
"37"	"Allygidius"	"commutatus"	"(Fieber, 1872)"	1	10	397	"2003.vii.08"
"38"	"Allygidius"	"commutatus"	"(Fieber, 1872)"	1	22	244	"2003.vi.25"
"39"	"Allygidius"	"commutatus"	"(Fieber, 1872)"	2	22	779	"2004.viii.01"
"40"	"Allygidius"	"commutatus"	"(Fieber, 1872)"	9	22	777	"2004.vi.23"
"41"	"Allygus"	"mixtus"	"(Fabricius, 1794)"	1	22	778	"2004.vii.18"
"42"	"Allygus"	"mixtus"	"(Fabricius, 1794)"	2	22	249	"2003.viii.31"
"43"	"Allygus"	"mixtus"	"(Fabricius, 1794)"	2	21	240	"2003.viii.01"
"44"	"Allygus"	"mixtus"	"(Fabricius, 1794)"	10	22	250	"2003.ix.12"
"45"	"Allygus"	"mixtus"	"(Fabricius, 1794)"	1	21	243	"2003.x.01"
"46"	"Allygus"	"mixtus"	"(Fabricius, 1794)"	2	22	781	"2004.ix.18"
"47"	"Allygus"	"mixtus"	"(Fabricius, 1794)"	1	3	111	"2003.ix.09"
"48"	"Allygus"	"mixtus"	"(Fabricius, 1794)"	4	21	241	"2003.viii.25"
"49"	"Alnetoidea"	"alneti"	"(Dahlbom, 1850)"	70	10	397	"2003.vii.08"
"50"	"Alnetoidea"	"alneti"	"(Dahlbom, 1850)"	1	4	814	"2004.x.21"
"51"	"Alnetoidea"	"alneti"	"(Dahlbom, 1850)"	70	21	238	"2003.vi.25"
"52"	"Alnetoidea"	"alneti"	"(Dahlbom, 1850)"	1	20	237	"2003.x.05"
"53"	"Alnetoidea"	"alneti"	"(Dahlbom, 1850)"	4	21	240	"2003.viii.01"
"54"	"Alnetoidea"	"alneti"	"(Dahlbom, 1850)"	14	10	398	"2003.vii.21"
"55"	"Alnetoidea"	"alneti"	"(Dahlbom, 1850)"	1	61	762	"2003.xii.02"
"56"	"Alnetoidea"	"alneti"	"(Dahlbom, 1850)"	20	10	396	"2003.vi.23"
"57"	"Anoscopus"	"serratulae"	"(Fabricius, 1775)"	1	22	246	"2003.vii.17"
"58"	"Arboridia"	"parvula"	"(Boheman, 1945)"	2	22	776	"2004.vi.01"
"59"	"Arboridia"	"parvula"	"(Boheman, 1945)"	3	22	779	"2004.viii.01"
"60"	"Arboridia"	"parvula"	"(Boheman, 1945)"	6	22	780	"2004..viii.23"
"61"	"Arboridia"	"parvula"	"(Boheman, 1945)"	2	22	781	"2004.ix.18"
"62"	"Arboridia"	"parvula"	"(Boheman, 1945)"	4	22	247	"2003.viii.07"
"63"	"Arboridia"	"parvula"	"(Boheman, 1945)"	9	22	246	"2003.vii.17"
"64"	"Arboridia"	"parvula"	"(Boheman, 1945)"	3	22	778	"2004.vii.18"
"65"	"Arboridia"	"parvula"	"(Boheman, 1945)"	1	22	775	"2004.v.01"
"66"	"Arboridia"	"parvula"	"(Boheman, 1945)"	3	59	758	"2004.v.28"
"67"	"Arboridia"	"parvula"	"(Boheman, 1945)"	1	22	244	"2003.vi.25"
"68"	"Arboridia"	"parvula"	"(Boheman, 1945)"	2	22	777	"2004.vi.23"
"69"	"Arthaldeus"	"pascuellus"	"(Fallén, 1826)"	1	22	246	"2003.vii.17"
"70"	"Arthaldeus"	"pascuellus"	"(Fallén, 1826)"	1	22	244	"2003.vi.25"
