"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Cixius"	"sp."	"Latreille, 1804"	"https://www.dyntaxa.se/taxon/info/1009685"	NA	"Dyntaxa"	"Cixius sp."
"2"	"Cixius"	"cunicularius"	"(Linnaeus, 1767)"	"https://www.dyntaxa.se/taxon/info/234523"	NA	"Dyntaxa"	"Cixius cunicularius"
"3"	"Cixius"	"nervosus"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/234524"	NA	"Dyntaxa"	"Cixius nervosus"
"4"	"Cixius"	"distinguendus"	"Kirschbaum, 1868"	"https://www.dyntaxa.se/taxon/info/234525"	NA	"Dyntaxa"	"Cixius distinguendus"
"5"	"Cixius"	"similis"	"Kirschbaum, 1868"	"https://www.dyntaxa.se/taxon/info/234526"	NA	"Dyntaxa"	"Cixius similis"
"6"	"Cixius"	"stigmaticus"	"(Germar, 1818)"	"https://www.dyntaxa.se/taxon/info/234527"	NA	"Dyntaxa"	"Cixius stigmaticus"
"7"	"Tachycixius"	"sp."	"Wagner, 1939"	"https://www.dyntaxa.se/taxon/info/1009686"	NA	"Dyntaxa"	"Tachycixius sp."
"8"	"Tachycixius"	"pilosus"	"(Olivier, 1791)"	"https://www.dyntaxa.se/taxon/info/234529"	NA	"Dyntaxa"	"Tachycixius pilosus"
"9"	"Pentastiridius"	"sp."	"Kirschbaum, 1868"	"https://www.dyntaxa.se/taxon/info/1009687"	NA	"Dyntaxa"	"Pentastiridius sp."
"10"	"Pentastiridius"	"leporinus"	"(Linnaeus, 1761)"	"https://www.dyntaxa.se/taxon/info/234530"	NA	"Dyntaxa"	"Pentastiridius leporinus"
"11"	"Trigonocranus"	"sp."	"Fieber, 1875"	"https://www.dyntaxa.se/taxon/info/1016509"	NA	"Dyntaxa"	"Trigonocranus sp."
"12"	"Trigonocranus"	"emmeae"	"Fieber, 1876"	"https://www.dyntaxa.se/taxon/info/264552"	NA	"Dyntaxa"	"Trigonocranus emmeae"
"13"	"Cixidia"	"sp."	"Fieber, 1866"	"http://www.faunaeur.org/full_results.php?id=152060"	NA	"Fauna Europaea"	"Cixidia sp."
"14"	"Cixidia"	"confinis"	"(Zetterstedt, 1838)"	"https://www.dyntaxa.se/taxon/info/100658"	NA	"Dyntaxa"	"Cixidia confinis"
"15"	"Cixidia"	"lapponica"	"(Zetterstedt, 1838)"	"https://www.dyntaxa.se/taxon/info/100659"	NA	"Dyntaxa"	"Cixidia lapponica"
"16"	"Kelisia"	"sp."	"Fieber, 1866"	"https://www.dyntaxa.se/taxon/info/1009702"	NA	"Dyntaxa"	"Kelisia sp."
"17"	"Kelisia"	"pallidula"	"(Boheman, 1847)"	"https://www.dyntaxa.se/taxon/info/234562"	NA	"Dyntaxa"	"Kelisia pallidula"
"18"	"Kelisia"	"sabulicola"	"Wagner, 1952"	"https://www.dyntaxa.se/taxon/info/234563"	NA	"Dyntaxa"	"Kelisia sabulicola"
"19"	"Kelisia"	"ribauti"	"Wagner, 1938"	"https://www.dyntaxa.se/taxon/info/234564"	NA	"Dyntaxa"	"Kelisia ribauti"
"20"	"Kelisia"	"monoceros"	"Ribaut, 1934"	"https://www.dyntaxa.se/taxon/info/234565"	NA	"Dyntaxa"	"Kelisia monoceros"
"21"	"Kelisia"	"guttula"	"(Germar, 1818)"	"https://www.dyntaxa.se/taxon/info/234566"	NA	"Dyntaxa"	"Kelisia guttula"
"22"	"Kelisia"	"vittipennis"	"(Sahlberg, 1868)"	"https://www.dyntaxa.se/taxon/info/234567"	NA	"Dyntaxa"	"Kelisia vittipennis"
"23"	"Kelisia"	"confusa"	"Linnavuori, 1957"	"https://www.dyntaxa.se/taxon/info/250314"	NA	"Dyntaxa"	"Kelisia confusa"
"24"	"Kelisia"	"sima"	"Ribaut, 1934"	"https://www.dyntaxa.se/taxon/info/250315"	NA	"Dyntaxa"	"Kelisia sima"
"25"	"Anakelisia"	"sp."	"Wagner, 1963"	"https://www.dyntaxa.se/taxon/info/1009703"	NA	"Dyntaxa"	"Anakelisia sp."
"26"	"Anakelisia"	"fasciata"	"(Kirschbaum, 1868)"	"https://www.dyntaxa.se/taxon/info/234568"	NA	"Dyntaxa"	"Anakelisia fasciata"
"27"	"Anakelisia"	"perspicillata"	"(Boheman, 1845)"	"https://www.dyntaxa.se/taxon/info/234569"	NA	"Dyntaxa"	"Anakelisia perspicillata"
"28"	"Stenocranus"	"sp."	"Fieber, 1866"	"https://www.dyntaxa.se/taxon/info/1009705"	NA	"Dyntaxa"	"Stenocranus sp."
"29"	"Stenocranus"	"minutus"	"(Fabricius, 1787)"	"https://www.dyntaxa.se/taxon/info/234570"	NA	"Dyntaxa"	"Stenocranus minutus"
"30"	"Stenocranus"	"major"	"(Kirschbaum, 1868)"	"https://www.dyntaxa.se/taxon/info/234571"	NA	"Dyntaxa"	"Stenocranus major"
"31"	"Delphacinus"	"sp."	"Fieber, 1866"	"https://www.dyntaxa.se/taxon/info/1009708"	NA	"Dyntaxa"	"Delphacinus sp."
"32"	"Delphacinus"	"mesomelas"	"(Boheman, 1850)"	"https://www.dyntaxa.se/taxon/info/234572"	NA	"Dyntaxa"	"Delphacinus mesomelas"
"33"	"Ditropis"	"sp."	"Kirschbaum, 1868"	"https://www.dyntaxa.se/taxon/info/1009709"	NA	"Dyntaxa"	"Ditropis sp."
"34"	"Ditropis"	"pteridis"	"(Spinola, 1839)"	"https://www.dyntaxa.se/taxon/info/234573"	NA	"Dyntaxa"	"Ditropis pteridis"
"35"	"Eurysa"	"sp."	"Fieber, 1866"	"https://www.dyntaxa.se/taxon/info/1009710"	NA	"Dyntaxa"	"Eurysa sp."
"36"	"Eurysa"	"lineata"	"(Perris, 1857)"	"https://www.dyntaxa.se/taxon/info/234574"	NA	"Dyntaxa"	"Eurysa lineata"
"37"	"Eurysula"	"sp."	"Vilbaste, 1968"	"https://www.dyntaxa.se/taxon/info/1009711"	NA	"Dyntaxa"	"Eurysula sp."
"38"	"Eurysula"	"lurida"	"(Fieber, 1866)"	"https://www.dyntaxa.se/taxon/info/234575"	NA	"Dyntaxa"	"Eurysula lurida"
"39"	"Stiroma"	"sp."	"Fieber, 1866"	"https://www.dyntaxa.se/taxon/info/1009712"	NA	"Dyntaxa"	"Stiroma sp."
"40"	"Stiroma"	"bicarinata"	"(Herrich-Schäffer, 1835)"	"https://www.dyntaxa.se/taxon/info/234576"	NA	"Dyntaxa"	"Stiroma bicarinata"
"41"	"Stiroma"	"affinis"	"Fieber, 1866"	"https://www.dyntaxa.se/taxon/info/234577"	NA	"Dyntaxa"	"Stiroma affinis"
"42"	"Achorotile"	"sp."	"Fieber, 1866"	"https://www.dyntaxa.se/taxon/info/1009714"	NA	"Dyntaxa"	"Achorotile sp."
"43"	"Achorotile"	"albosignata"	"(Dahlbom, 1850)"	"https://www.dyntaxa.se/taxon/info/234579"	NA	"Dyntaxa"	"Achorotile albosignata"
"44"	"Achorotile"	"longicornis"	"(Sahlberg, 1871)"	"https://www.dyntaxa.se/taxon/info/234580"	NA	"Dyntaxa"	"Achorotile longicornis"
"45"	"Euconomelus"	"sp."	"Haupt, 1929"	"https://www.dyntaxa.se/taxon/info/1009715"	NA	"Dyntaxa"	"Euconomelus sp."
