"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	1	9	355	"2003.vi.18"
"2"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	1	33	541	"2004.iii.31"
"3"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	22	6	1578	"2004.xii.06"
"4"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	21	14	1649	"2005.iii.03"
"5"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	5	1003	1382	"2005.iv.03"
"6"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	1	26	1688	"2005.iv.12"
"7"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	2	1003	1383	"2005.iv.26"
"8"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	2	15	1658	"2005.iii.03"
"9"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	1	1002	1371	"2005.v.14"
"10"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	1	8	1605	"2005.xi.15"
"11"	"Aulacigaster"	"leucopeza"	"(Meigen, 1830)"	1	1003	1897	"2006.ii.19"
"12"	"Aulacigaster"	"pappi"	"Kassebeer, 2001"	1	51	727	"2004.v.17"
"13"	"Aulacigaster"	"pappi"	"Kassebeer, 2001"	2	8	395	"2004.vi.01"
"14"	"Aulacigaster"	"pappi"	"Kassebeer, 2001"	4	6	1578	"2004.xii.06"
"15"	"Aulacigaster"	"pappi"	"Kassebeer, 2001"	1	1003	1383	"2005.iv.26"
"16"	"Aulacigaster"	"pappi"	"Kassebeer, 2001"	3	15	1658	"2005.iii.03"
"17"	"Aulacigaster"	"pappi"	"Kassebeer, 2001"	3	1003	1384	"2005.v.22"
"18"	"Aulacigaster"	"pappi"	"Kassebeer, 2001"	1	2003	2031	"2006.iii.01"
