"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Banchus"	"dilatatorius"	"(Thunberg, 1824)"	3	28	1463	"2004.ix.21"
"2"	"Banchus"	"falcatorius"	"(Fabricius, 1775)"	1	28	1465	"2005.vi.06"
"3"	"Banchus"	"hastator"	"(Fabricius, 1793)"	1	28	1458	"2004.vii.16"
"4"	"Banchus"	"hastator"	"(Fabricius, 1793)"	1	41	1777	"2005.vi.05"
"5"	"Banchus"	"volutatorius"	"(Linnaeus, 1758)"	1	41	1778	"2005.vi.20"
"6"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	1	12	176	"2003.viii.02"
"7"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	2	12	177	"2003.viii.09"
"8"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	1	12	896	"2004.viii.28"
"9"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	1	22	1316	"2005.vii.18"
"10"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	1	22	1829	"2006.viii.15"
"11"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	13	28	1458	"2004.vii.16"
"12"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	1	28	1461	"2004.ix.06"
"13"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	34	28	1468	"2005.viii.09"
"14"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	2	28	1469	"2005.ix.02"
"15"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	1	29	1397	"2005.viii.15"
"16"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	3	32	1531	"2005.vii.16"
"17"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	3	32	1533	"2005.viii.18"
"18"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	1	2046	2055	"2008.vii.16"
"19"	"Exetastes"	"adpressorius"	"(Thunberg, 1824)"	1	2046	2056	"2008.viii.01"
