"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Alloplasta"	"sp."	"Förster, 1869"	"https://www.dyntaxa.se/taxon/info/1014542"	"Dyntaxa"	"Alloplasta sp."
"2"	"Alloplasta"	"piceator"	"(Thunberg, 1824)"	"https://www.dyntaxa.se/taxon/info/253947"	"Dyntaxa"	"Alloplasta piceator"
"3"	"Alloplasta"	"plantaria"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/253948"	"Dyntaxa"	"Alloplasta plantaria"
"4"	"Arenetra"	"sp."	"Holmgren, 1859"	"https://www.dyntaxa.se/taxon/info/1014543"	"Dyntaxa"	"Arenetra sp."
"5"	"Arenetra"	"pilosella"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/253949"	"Dyntaxa"	"Arenetra pilosella"
"6"	"Cryptopimpla"	"sp."	"Taschenberg, 1863"	"https://www.dyntaxa.se/taxon/info/1014544"	"Dyntaxa"	"Cryptopimpla sp."
"7"	"Cryptopimpla"	"calceolata"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/253950"	"Dyntaxa"	"Cryptopimpla calceolata"
"8"	"Cryptopimpla"	"caligata"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/253951"	"Dyntaxa"	"Cryptopimpla caligata"
"9"	"Cryptopimpla"	"errabunda"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/253952"	"Dyntaxa"	"Cryptopimpla errabunda"
"10"	"Cryptopimpla"	"genalis"	"(Thomson, 1877)"	"https://www.dyntaxa.se/taxon/info/253953"	"Dyntaxa"	"Cryptopimpla genalis"
"11"	"Cryptopimpla"	"quadrilineata"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/253954"	"Dyntaxa"	"Cryptopimpla quadrilineata"
"12"	"Cryptopimpla"	"subfamata"	"(Thomson, 1877)"	"https://www.dyntaxa.se/taxon/info/253955"	"Dyntaxa"	"Cryptopimpla subfamata"
"13"	"Helotorus"	"sp."	"Townes, 1978"	"https://www.dyntaxa.se/taxon/info/1014545"	"Dyntaxa"	"Helotorus sp."
"14"	"Helotorus"	"capitator"	"Townes, 1978"	"https://www.dyntaxa.se/taxon/info/253956"	"Dyntaxa"	"Helotorus capitator"
"15"	"Helotorus"	"europeator"	"Aubert, 1978"	"https://www.dyntaxa.se/taxon/info/253957"	"Dyntaxa"	"Helotorus europeator"
"16"	"Lissonota"	"sp."	"Gravenhorst, 1829"	"https://www.dyntaxa.se/taxon/info/1014546"	"Dyntaxa"	"Lissonota sp."
"17"	"Lissonota"	"accusator"	"(Fabricius, 1793)"	"https://www.dyntaxa.se/taxon/info/253960"	"Dyntaxa"	"Lissonota accusator"
"18"	"Lissonota"	"anomala"	"Holmgren, 1860"	"https://www.dyntaxa.se/taxon/info/253961"	"Dyntaxa"	"Lissonota anomala"
"19"	"Lissonota"	"antennalis"	"Thomson, 1877"	"https://www.dyntaxa.se/taxon/info/253962"	"Dyntaxa"	"Lissonota antennalis"
"20"	"Lissonota"	"argiola"	"Gravenhorst, 1829"	"https://www.dyntaxa.se/taxon/info/253963"	"Dyntaxa"	"Lissonota argiola"
"21"	"Lissonota"	"biguttata"	"Holmgren, 1860"	"https://www.dyntaxa.se/taxon/info/253964"	"Dyntaxa"	"Lissonota biguttata"
"22"	"Lissonota"	"bistrigata"	"Holmgren, 1860"	"https://www.dyntaxa.se/taxon/info/253965"	"Dyntaxa"	"Lissonota bistrigata"
"23"	"Lissonota"	"buccator"	"(Thunberg, 1824)"	"https://www.dyntaxa.se/taxon/info/253966"	"Dyntaxa"	"Lissonota buccator"
"24"	"Lissonota"	"carbonaria"	"Holmgren, 1860"	"https://www.dyntaxa.se/taxon/info/253967"	"Dyntaxa"	"Lissonota carbonaria"
"25"	"Lissonota"	"clypealis"	"Thomson, 1877"	"https://www.dyntaxa.se/taxon/info/253968"	"Dyntaxa"	"Lissonota clypealis"
"26"	"Lissonota"	"clypeator"	"(Gravenhorst, 1820)"	"https://www.dyntaxa.se/taxon/info/253969"	"Dyntaxa"	"Lissonota clypeator"
"27"	"Lissonota"	"coracina"	"(Gmelin, 1790)"	"https://www.dyntaxa.se/taxon/info/253970"	"Dyntaxa"	"Lissonota coracina"
"28"	"Lissonota"	"culiciformis"	"Gravenhorst, 1829"	"https://www.dyntaxa.se/taxon/info/253971"	"Dyntaxa"	"Lissonota culiciformis"
"29"	"Lissonota"	"digestor"	"(Thunberg, 1824)"	"https://www.dyntaxa.se/taxon/info/253972"	"Dyntaxa"	"Lissonota digestor"
"30"	"Lissonota"	"dubia"	"Holmgren, 1856"	"https://www.dyntaxa.se/taxon/info/253973"	"Dyntaxa"	"Lissonota dubia"
"31"	"Lissonota"	"elector"	"Gravenhorst, 1829"	"https://www.dyntaxa.se/taxon/info/253974"	"Dyntaxa"	"Lissonota elector"
