"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Helorus"	"sp."	"Latreille, 1802"	"urn:lsid:dyntaxa.se:Taxon:1014101"	"Dyntaxa"	"Helorus sp."
"2"	"Helorus"	"anomalipes"	"(Panzer, 1798)"	"urn:lsid:dyntaxa.se:Taxon:251819"	"Dyntaxa"	"Helorus anomalipes"
"3"	"Helorus"	"nigripes"	"Förster, 1856"	"urn:lsid:dyntaxa.se:Taxon:251820"	"Dyntaxa"	"Helorus nigripes"
"4"	"Helorus"	"ruficornis"	"Förster, 1856"	"urn:lsid:dyntaxa.se:Taxon:251821"	"Dyntaxa"	"Helorus ruficornis"
"5"	"Helorus"	"striolatus"	"Cameron, 1906"	"urn:lsid:dyntaxa.se:Taxon:251822"	"Dyntaxa"	"Helorus striolatus"
"6"	"Bethylus"	"sp."	"Latreille, 1802"	"urn:lsid:dyntaxa.se:Taxon:1013627"	"Dyntaxa"	"Bethylus sp."
"7"	"Bethylus"	"boops"	"(Thomson, 1861)"	"urn:lsid:dyntaxa.se:Taxon:249431"	"Dyntaxa"	"Bethylus boops"
"8"	"Bethylus"	"cephalotes"	"(Förster, 1860)"	"urn:lsid:dyntaxa.se:Taxon:249432"	"Dyntaxa"	"Bethylus cephalotes"
"9"	"Bethylus"	"fuscicornis"	"(Jurine, 1807)"	"urn:lsid:dyntaxa.se:Taxon:249433"	"Dyntaxa"	"Bethylus fuscicornis"
"10"	"Bethylus"	"nitidus"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:249434"	"Dyntaxa"	"Bethylus nitidus"
"11"	"Goniozus"	"sp."	"Förster, 1856"	"urn:lsid:dyntaxa.se:Taxon:1013630"	"Dyntaxa"	"Goniozus sp."
"12"	"Goniozus"	"claripennis"	"(Förster, 1851)"	"urn:lsid:dyntaxa.se:Taxon:249435"	"Dyntaxa"	"Goniozus claripennis"
"13"	"Goniozus"	"distigmus"	"Thomson, 1862"	"urn:lsid:dyntaxa.se:Taxon:249452"	"Dyntaxa"	"Goniozus distigmus"
"14"	"Cephalonomia"	"sp."	"Westwood, 1833"	"urn:lsid:dyntaxa.se:Taxon:1013628"	"Dyntaxa"	"Cephalonomia sp."
"15"	"Cephalonomia"	"formiciformis"	"Westwood, 1833"	"urn:lsid:dyntaxa.se:Taxon:249436"	"Dyntaxa"	"Cephalonomia formiciformis"
"16"	"Cephalonomia"	"hammi"	"Richards, 1939"	"urn:lsid:dyntaxa.se:Taxon:249437"	"Dyntaxa"	"Cephalonomia hammi"
"17"	"Epyris"	"sp."	"Westwood, 1832"	"urn:lsid:dyntaxa.se:Taxon:1013629"	"Dyntaxa"	"Epyris sp."
"18"	"Epyris"	"bilineatus"	"Thomson, 1862"	"urn:lsid:dyntaxa.se:Taxon:249438"	"Dyntaxa"	"Epyris bilineatus"
"19"	"Laelius"	"sp."	"Ashmead, 1893"	"urn:lsid:dyntaxa.se:Taxon:1013632"	"Dyntaxa"	"Laelius sp."
"20"	"Laelius"	"borealis"	"Vikberg, 2005"	"urn:lsid:dyntaxa.se:Taxon:249439"	"Dyntaxa"	"Laelius borealis"
"21"	"Laelius"	"femoralis"	"Förster, 1860"	"urn:lsid:dyntaxa.se:Taxon:249440"	"Dyntaxa"	"Laelius femoralis"
"22"	"Laelius"	"fumimarginalis"	"Vikberg, 2005"	"urn:lsid:dyntaxa.se:Taxon:249441"	"Dyntaxa"	"Laelius fumimarginalis"
"23"	"Laelius"	"utilis"	"Cockerell, 1920"	"urn:lsid:dyntaxa.se:Taxon:249442"	"Dyntaxa"	"Laelius utilis"
"24"	"Plastanoxus"	"sp."	"Kieffer, 1905"	"urn:lsid:dyntaxa.se:Taxon:1013633"	"Dyntaxa"	"Plastanoxus sp."
"25"	"Plastanoxus"	"ahusiensis"	"(Hedqvist, 1975)"	"urn:lsid:dyntaxa.se:Taxon:249443"	"Dyntaxa"	"Plastanoxus ahusiensis"
"26"	"Plastanoxus"	"chittendenii"	"(Ashmead, 1893)"	"urn:lsid:dyntaxa.se:Taxon:249444"	"Dyntaxa"	"Plastanoxus chittendenii"
"27"	"Plastanoxus"	"westwoodi"	"(Kieffer, 1914)"	"urn:lsid:dyntaxa.se:Taxon:249445"	"Dyntaxa"	"Plastanoxus westwoodi"
"28"	"Rhabdepyris"	"sp."	"Kieffer, 1904"	"urn:lsid:dyntaxa.se:Taxon:1013667"	"Dyntaxa"	"Rhabdepyris sp."
"29"	"Rhabdepyris"	"myrmecophilus"	"Kieffer, 1904"	"urn:lsid:dyntaxa.se:Taxon:249446"	"Dyntaxa"	"Rhabdepyris myrmecophilus"
"30"	"Heterocoelia"	"sp."	"Dahlbom, 1854"	"urn:lsid:dyntaxa.se:Taxon:1013631"	"Dyntaxa"	"Heterocoelia sp."
"31"	"Heterocoelia"	"nigriventris"	"(Dahlbom, 1845)"	"urn:lsid:dyntaxa.se:Taxon:249447"	"Dyntaxa"	"Heterocoelia nigriventris"
"32"	"Pseudisobrachium"	"sp."	"Kieffer, 1904"	"urn:lsid:dyntaxa.se:Taxon:1013634"	"Dyntaxa"	"Pseudisobrachium sp."
"33"	"Pseudisobrachium"	"subcyaneum"	"(Haliday, 1838)"	"urn:lsid:dyntaxa.se:Taxon:249449"	"Dyntaxa"	"Pseudisobrachium subcyaneum"
"34"	"Pristocera"	"sp."	"Klug, 1808"	"urn:lsid:dyntaxa.se:Taxon:1013668"	"Dyntaxa"	"Pristocera sp."
"35"	"Pristocera"	"depressa"	"(Fabricius, 1804)"	"urn:lsid:dyntaxa.se:Taxon:249448"	"Dyntaxa"	"Pristocera depressa"
"36"	"Pleroneura"	"sp."	"Konow, 1897"	"urn:lsid:dyntaxa.se:Taxon:1009410"	"Dyntaxa"	"Pleroneura sp."
"37"	"Pleroneura"	"coniferarum"	"(Hartig, 1837)"	"urn:lsid:dyntaxa.se:Taxon:233652"	"Dyntaxa"	"Pleroneura coniferarum"
"38"	"Pleroneura"	"dahlii"	"(Hartig, 1837)"	"urn:lsid:dyntaxa.se:Taxon:233653"	"Dyntaxa"	"Pleroneura dahlii"
"39"	"Xyela"	"sp."	"Dalman, 1819"	"urn:lsid:dyntaxa.se:Taxon:1009411"	"Dyntaxa"	"Xyela sp."
"40"	"Xyela"	"julii"	"(Brébisson, 1818)"	"urn:lsid:dyntaxa.se:Taxon:233632"	"Dyntaxa"	"Xyela julii"
"41"	"Xyela"	"longula"	"Dalman, 1819"	"urn:lsid:dyntaxa.se:Taxon:233651"	"Dyntaxa"	"0"
