"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Elachiptera"	"cornuta"	"(Fallén, 1820)"	2	18	1025	"2005.ii.12"
"2"	"Tricimba"	"cincta"	"(Meigen, 1830)"	1	31	1547	"2005.vii.15"
"3"	"Conioscinella"	"frontella"	"(Fallén, 1820)"	2	31	1547	"2005.vii.15"
"4"	"Oscinimorpha"	"minutissima"	"(Strobl, 1900)"	1	1001	1333	"2005.vii.12"
"5"	"Elachiptera"	"tuberculifera"	"(Corti, 1909)"	1	21	1508	"2005.viii.01"
"6"	"Tricimba"	"cincta"	"(Meigen, 1830)"	2	2006	2020	"2007.viii.31"
"7"	"Tricimba"	"cincta"	"(Meigen, 1830)"	2	48	1208	"2004.vii.08"
"8"	"Lasiambia"	"palposa"	"(Fallén, 1820)"	1	6	853	"2004.viii.18"
"9"	"Elachiptera"	"cornuta"	"(Fallén, 1820)"	2	42	649	"2004.iv.10"
"10"	"Calamoncosis"	"minima"	"(Strobl, 1893)"	1	1001	1354	"2005.viii.02"
"11"	"Oscinella"	"frit"	"(Linnaeus, 1758)"	2	1001	1354	"2005.viii.02"
"12"	"Tricimba"	"cincta"	"(Meigen, 1830)"	2	1001	1354	"2005.viii.02"
"13"	"Gaurax"	"dubius"	"(Macquart, 1835)"	1	1001	1354	"2005.viii.02"
"14"	"Thaumatomyia"	"glabra"	"(Meigen, 1830)"	4	5	353	"2004.v.18"
"15"	"Gampsocera"	"numerata"	"(Heeger, 1858)"	1	5	353	"2004.v.18"
"16"	"Oscinella"	"pusilla"	"(Meigen, 1830)"	4	5	353	"2004.v.18"
"17"	"Oscinella"	"frit"	"(Linnaeus, 1758)"	1	5	353	"2004.v.18"
"18"	"Elachiptera"	"tuberculifera"	"(Corti, 1909)"	4	5	353	"2004.v.18"
"19"	"Elachiptera"	"cornuta"	"(Fallén, 1820)"	1	5	353	"2004.v.18"
"20"	"Lasiambia"	"palposa"	"(Fallén, 1820)"	4	5	353	"2004.v.18"
"21"	"Tricimba"	"cincta"	"(Meigen, 1830)"	1	5	353	"2004.v.18"
"22"	"Gaurax"	"dubius"	"(Macquart, 1835)"	1	5	353	"2004.v.18"
"23"	"Aphanotrigonum"	"nigripes"	"(Zetterstedt, 1848)"	1	5	353	"2004.v.18"
"24"	"Hapleginella"	"laevifrons"	"(Loew, 1858)"	1	5	353	"2004.v.18"
"25"	"Thaumatomyia"	"trifasciata"	"(Zetterstedt, 1848)"	1	56	1268	"2004.viii.05"
"26"	"Lasiambia"	"palposa"	"(Fallén, 1820)"	6	56	1268	"2004.viii.05"
"27"	"Tricimba"	"cincta"	"(Meigen, 1830)"	11	56	1268	"2004.viii.05"
"28"	"Aphanotrigonum"	"trilineatum"	"(Meigen, 1830)"	1	56	1268	"2004.viii.05"
"29"	"Rhodesiella"	"plumiger"	"(Meigen, 1830)"	1	56	1268	"2004.viii.05"
"30"	"Lasiosina"	"herpini"	"(Guérin-Menéville, 1843)"	7	28	1467	"2005.vii.17"
"31"	"Oscinella"	"maura"	"(Fallén, 1820)"	9	28	1467	"2005.vii.17"
"32"	"Meromyza"	"nigriventris"	"Macquart, 1835"	9	28	1467	"2005.vii.17"
"33"	"Cetema"	"cereris"	"(Fallén, 1820)"	9	28	1467	"2005.vii.17"
"34"	"Thaumatomyia"	"notata"	"(Meigen, 1830)"	2	28	1467	"2005.vii.17"
"35"	"Thaumatomyia"	"glabra"	"(Meigen, 1830)"	3	28	1467	"2005.vii.17"
"36"	"Thaumatomyia"	"hallandica"	"Andersson, 1966"	4	28	1467	"2005.vii.17"
"37"	"Chlorops"	"pumilionis"	"(Bjerkander, 1778)"	1	28	1467	"2005.vii.17"
"38"	"Chlorops"	"scalaris"	"Meigen, 1830"	2	28	1467	"2005.vii.17"
"39"	"Trachysiphonella"	"scutellata"	"(von Roser, 1840)"	20	28	1467	"2005.vii.17"
"40"	"Tricimba"	"cincta"	"(Meigen, 1830)"	1	28	1467	"2005.vii.17"
"41"	"Elachiptera"	"tuberculifera"	"(Corti, 1909)"	5	28	1467	"2005.vii.17"
"42"	"Lasiambia"	"palposa"	"(Fallén, 1820)"	1	28	1467	"2005.vii.17"
"43"	"Incertella"	"albipalpis"	"(Meigen, 1830)"	5	28	1467	"2005.vii.17"
"44"	"Aphanotrigonum"	"trilineatum"	"(Meigen, 1830)"	38	28	1467	"2005.vii.17"
"45"	"Oscinimorpha"	"minutissima"	"(Strobl, 1900)"	14	28	1467	"2005.vii.17"
"46"	"Oscinimorpha"	"sordidissima"	"(Strobl, 1893)"	1	28	1467	"2005.vii.17"
"47"	"Oscinella"	"frit"	"(Linnaeus, 1758)"	67	28	1467	"2005.vii.17"
"48"	"Hapleginella"	"laevifrons"	"(Loew, 1858)"	1	28	1467	"2005.vii.17"
"49"	"Lasiambia"	"brevibucca"	"(Duda, 1933)"	1	28	1467	"2005.vii.17"
"50"	"Conioscinella"	"frontella"	"(Fallén, 1820)"	3	28	1467	"2005.vii.17"
"51"	"Conioscinella"	"sordidella"	"(Zetterstedt, 1848)"	21	28	1467	"2005.vii.17"
"52"	"Tricimba"	"lineella"	"(Fallén, 1820)"	1	28	1467	"2005.vii.17"
