"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Aphanotrigonum"	"sp."	"Duda 1932"	"urn:lsid:faunaeur.org:taxname:60598"	"Fauna Europaea"	"Aphanotrigonum sp."
"2"	"Aphanotrigonum"	"brachypterum"	"Zetterstedt, 1848"	"http://dyntaxa.se/taxon/info/242248"	"Dyntaxa"	"Aphanotrigonum brachypterum"
"3"	"Aphanotrigonum"	"brunneum"	"Collin, 1946"	"http://dyntaxa.se/taxon/info/242249"	"Dyntaxa"	"Aphanotrigonum brunneum"
"4"	"Aphanotrigonum"	"cinctellum"	"(Zetterstedt, 1848)"	"http://dyntaxa.se/taxon/info/242250"	"Dyntaxa"	"Aphanotrigonum cinctellum"
"5"	"Aphanotrigonum"	"fasciellum"	"(Zetterstedt, 1855)"	"http://dyntaxa.se/taxon/info/242251"	"Dyntaxa"	"Aphanotrigonum fasciellum"
"6"	"Aphanotrigonum"	"femorellum"	"Collin, 1946"	"http://dyntaxa.se/taxon/info/242252"	"Dyntaxa"	"Aphanotrigonum femorellum"
"7"	"Aphanotrigonum"	"hungaricum"	"Dely-Draskovits, 1981"	"http://dyntaxa.se/taxon/info/242253"	"Dyntaxa"	"Aphanotrigonum hungaricum"
"8"	"Aphanotrigonum"	"inerme"	"Collin, 1946"	"http://dyntaxa.se/taxon/info/242254"	"Dyntaxa"	"Aphanotrigonum inerme"
"9"	"Aphanotrigonum"	"meijerei"	"(Duda, 1933)"	"http://dyntaxa.se/taxon/info/242255"	"Dyntaxa"	"Aphanotrigonum meijerei"
"10"	"Aphanotrigonum"	"nigripes"	"(Zetterstedt, 1848)"	"http://dyntaxa.se/taxon/info/242256"	"Dyntaxa"	"Aphanotrigonum nigripes"
"11"	"Aphanotrigonum"	"trilineatum"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/242257"	"Dyntaxa"	"Aphanotrigonum trilineatum"
"12"	"Calamoncosis"	"sp."	"Enderlein 1911"	"urn:lsid:faunaeur.org:taxname:60635"	"Fauna Europaea"	"Calamoncosis sp."
"13"	"Calamoncosis"	"aprica"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/242258"	"Dyntaxa"	"Calamoncosis aprica"
"14"	"Calamoncosis"	"aspistylina"	"Duda, 1935"	"http://dyntaxa.se/taxon/info/242259"	"Dyntaxa"	"Calamoncosis aspistylina"
"15"	"Calamoncosis"	"duinensis"	"(Strobl, 1909)"	"http://dyntaxa.se/taxon/info/242260"	"Dyntaxa"	"Calamoncosis duinensis"
"16"	"Calamoncosis"	"glyceriae"	"Nartshuk, 1958"	"http://dyntaxa.se/taxon/info/242261"	"Dyntaxa"	"Calamoncosis glyceriae"
"17"	"Calamoncosis"	"minima"	"(Strobl, 1893)"	"http://dyntaxa.se/taxon/info/242262"	"Dyntaxa"	"Calamoncosis minima"
