"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Chrysis"	"impressa"	"Schenck, 1856"	1	28	1458	"2004.vii.16"
"2"	"Chrysis"	"impressa"	"Schenck, 1856"	1	41	626	"2003.vii.12"
"3"	"Chrysis"	"fulgida"	"Linnaeus, 1761"	1	1008	1740	"2006.vi.28"
"4"	"Chrysis"	"ruddii"	"Shuckard, 1838"	6	20	1496	"2005.vi.03"
"5"	"Chrysis"	"impressa"	"Schenck, 1856"	2	6	372	"2003.viii.26"
"6"	"Chrysis"	"impressa"	"Schenck, 1856"	3	13	1642	"2005.vi.15"
"7"	"Hedychrum"	"niemelaei"	"Linsenmeier, 1959"	6	1002	1375	"2005.vii.07"
"8"	"Chrysis"	"impressa"	"Schenck, 1856"	2	22	1730	"2006.vii.03"
"9"	"Chrysis"	"longula"	"Abeille, 1879"	1	13	1642	"2005.vi.15"
"10"	"Chrysis"	"impressa"	"Schenck, 1856"	1	1003	1387	"2005.vi.27"
"11"	"Trichrysis"	"cyanea"	"(Linnaeus, 1758)"	4	28	1458	"2004.vii.16"
"12"	"Chrysis"	"impressa"	"Schenck, 1856"	2	6	371	"2003.viii.12"
"13"	"Chrysis"	"angustula"	"Schenck, 1856"	3	1003	1387	"2005.vi.27"
"14"	"Cleptes"	"pallipes"	"Lepeletier, 1806"	2	38	577	"2003.vii.11"
"15"	"Trichrysis"	"cyanea"	"(Linnaeus, 1758)"	1	22	1730	"2006.vii.03"
"16"	"Trichrysis"	"cyanea"	"(Linnaeus, 1758)"	1	6	376	"2003.xii.09"
"17"	"Cleptes"	"pallipes"	"Lepeletier, 1806"	1	2006	2016	"2007.vii.13"
"18"	"Hedychridium"	"coriaceum"	"(Dahlbom, 1854)"	1	1002	1375	"2005.vii.07"
"19"	"Chrysis"	"angustula"	"Schenck, 1856"	1	1002	1375	"2005.vii.07"
"20"	"Chrysis"	"impressa"	"Schenck, 1856"	1	22	1731	"2006.vii.20"
