"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Cleptes"	"sp."	"Latreille 1802"	"urn:lsid:faunaeur.org:taxname:67291"	"Dyntaxa"	"Cleptes sp."
"2"	"Cleptes"	"nitidulus"	"(Fabricius, 1793)"	"http://dyntaxa.se/taxon/info/249113"	"Dyntaxa"	"Cleptes nitidulus"
"3"	"Cleptes"	"pallipes"	"Lepeletier, 1806"	"http://dyntaxa.se/taxon/info/249114"	"Dyntaxa"	"Cleptes pallipes"
"4"	"Cleptes"	"semicyaneus"	"Tournier, 1879"	"http://dyntaxa.se/taxon/info/249903"	"Dyntaxa"	"Cleptes semicyaneus"
"5"	"Chrysis"	"sp."	"Linnaeus 1761"	"urn:lsid:faunaeur.org:taxname:68249"	"Dyntaxa"	"Chrysis sp."
"6"	"Chrysis"	"brevitarsis"	"Thomson, 1870"	"http://dyntaxa.se/taxon/info/102630"	"Dyntaxa"	"Chrysis brevitarsis"
"7"	"Chrysis"	"scutellaris"	"Fabricius, 1794"	"http://dyntaxa.se/taxon/info/102631"	"Dyntaxa"	"Chrysis scutellaris"
"8"	"Chrysis"	"bicolor"	"Lepeletier, 1806"	"http://dyntaxa.se/taxon/info/249118"	"Dyntaxa"	"Chrysis bicolor"
"9"	"Chrysis"	"illigeri"	"Wesmael, 1839"	"http://dyntaxa.se/taxon/info/249119"	"Dyntaxa"	"Chrysis illigeri"
"10"	"Chrysis"	"succincta"	"Linnaeus 1767"	"urn:lsid:faunaeur.org:taxname:79199"	"Dyntaxa"	"Chrysis succincta"
"11"	"Chrysis"	"insperata"	"Chevrier, 1870"	"http://dyntaxa.se/taxon/info/249121"	"Dyntaxa"	"Chrysis insperata"
"12"	"Chrysis"	"rutilans"	"Olivier, 1790"	"http://dyntaxa.se/taxon/info/249122"	"Dyntaxa"	"Chrysis rutilans"
"13"	"Chrysis"	"viridula"	"Linnaeus, 1761"	"http://dyntaxa.se/taxon/info/249123"	"Dyntaxa"	"Chrysis viridula"
"14"	"Chrysis"	"ruddii"	"Shuckard, 1838"	"http://dyntaxa.se/taxon/info/249124"	"Dyntaxa"	"Chrysis ruddii"
