"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Clusiodes"	"sp 1"	"sp. indet."	1	48	1209	"2004.vii.29"
"2"	"Clusiodes"	"ruficollis"	"(Meigen, 1830)"	13	6	368	"2003.vi.17"
"3"	"Clusiodes"	"ruficollis"	"(Meigen, 1830)"	2	1004	1898	"2005.viii.09"
"4"	"Clusia"	"flava"	"(Meigen, 1830)"	3	9	1610	"2005.vi.24"
"5"	"Clusiodes"	"ruficollis"	"(Meigen, 1830)"	5	9	1610	"2005.vi.24"
"6"	"Clusiodes"	"geomyzinus"	"(Fallén, 1823)"	1	1001	1331	"2005.vi.27"
"7"	"Clusiodes"	"albimanus"	"(Meigen, 1830)"	2	9	1610	"2005.vi.24"
"8"	"Clusiodes"	"sp 2"	"sp. indet."	1	42	644	"2003.vii.16"
"9"	"Hendelia"	"beckeri"	"Czerny, 1903"	1	9	1610	"2005.vi.24"
"10"	"Hendelia"	"beckeri"	"Czerny, 1903"	6	51	1233	"2004.vii.21"
"11"	"Clusiodes"	"ruficollis"	"(Meigen, 1830)"	1	48	1209	"2004.vii.29"
"12"	"Clusiodes"	"ruficollis"	"(Meigen, 1830)"	1	51	1233	"2004.vii.21"
"13"	"Clusiodes"	"ruficollis"	"(Meigen, 1830)"	1	37	833	"2004.vii.03"
"14"	"Clusiodes"	"apicalis"	"(Zetterstedt, 1848)"	1	9	1610	"2005.vi.24"
"15"	"Clusiodes"	"albimanus"	"(Meigen, 1830)"	1	42	644	"2003.vii.16"
"16"	"Clusiodes"	"albimanus"	"(Meigen, 1830)"	3	1001	1331	"2005.vi.27"
"17"	"Clusia"	"flava"	"(Meigen, 1830)"	1	1008	1743	"2006.vii.16"
"18"	"Clusiodes"	"albimanus"	"(Meigen, 1830)"	2	1001	1332	"2005.vii.02"
"19"	"Clusiodes"	"geomyzinus"	"(Fallén, 1823)"	1	47	699	"2004.vi.01"
"20"	"Clusiodes"	"geomyzinus"	"(Fallén, 1823)"	1	37	833	"2004.vii.03"
"21"	"Clusiodes"	"sp 2"	"sp. indet."	1	1000	1432	"2006.iv.27"
"22"	"Clusiodes"	"sp 2"	"sp. indet."	1	1008	1032	"2005.v.15"
"23"	"Clusiodes"	"sp 2"	"sp. indet."	1	1008	1741	"2006.vii.04"
"24"	"Clusiodes"	"ruficollis"	"(Meigen, 1830)"	1	1001	1333	"2005.vii.12"
"25"	"Clusia"	"flava"	"(Meigen, 1830)"	1	51	1233	"2004.vii.21"
"26"	"Clusiodes"	"geomyzinus"	"(Fallén, 1823)"	1	42	644	"2003.vii.16"
