"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Acidota"	"crenata"	"(Fabricius, 1792)"	1	54	191	"2003.viii.01"
"2"	"Acmaeops"	"marginatus"	"(Fabricius, 1781)"	1	3	799	"2004.vii.20"
"3"	"Acrotona"	"fungi"	"(Gravenhorst, 1806)"	1	2	787	"2004.vi.21"
"4"	"Acrotona"	"fungi"	"(Gravenhorst, 1806)"	3	54	191	"2003.viii.01"
"5"	"Agathidium"	"rotundatum"	"(Gyllenhal, 1827)"	1	4	807	"2004.iv.28"
"6"	"Agathidium"	"rotundatum"	"(Gyllenhal, 1827)"	2	55	195	"2003.viii.01"
"7"	"Agathidium"	"rotundatum"	"(Gyllenhal, 1827)"	1	58	207	"2003.viii.01"
"8"	"Agonum"	"munsteri"	"(Hellén, 1935)"	2	59	757	"2003.xii.02"
"9"	"Agrilus"	"viridis"	"(Linnaeus, 1758)"	1	2	788	"2004.vii.20"
"10"	"Agrilus"	"viridis"	"(Linnaeus, 1758)"	1	54	191	"2003.viii.01"
"11"	"Agriotes"	"lineatus"	"(Linnaeus, 1767)"	1	1	316	" 2004.v.28"
"12"	"Aleochara"	"sparsa"	"Heer, 1839"	2	1	309	"2003.viii.04"
"13"	"Aleochara"	"sparsa"	"Heer, 1839"	1	1	311	"2003.x.01"
"14"	"Aleochara"	"sparsa"	"Heer, 1839"	1	1	313	"2004.i.15"
"15"	"Aloconota"	"gregaria"	"(Erichson, 1839)"	1	1	310	"2003.viii.29"
"16"	"Aloconota"	"gregaria"	"(Erichson, 1839)"	4	1	313	"2004.i.15"
"17"	"Aloconota"	"gregaria"	"(Erichson, 1839)"	1	1	314	"2004.iii.28"
"18"	"Alosterna"	"tabacicolor"	"(De Geer, 1775)"	1	1	80	"2003.vii..02"
"19"	"Alosterna"	"tabacicolor"	"(De Geer, 1775)"	3	3	798	"2004.vi.21"
"20"	"Alosterna"	"tabacicolor"	"(De Geer, 1775)"	27	4	88	"2003.vii.02"
"21"	"Alosterna"	"tabacicolor"	"(De Geer, 1775)"	18	4	89	"2003.vii.21"
"22"	"Altica"	"sp."	"Müller, 1764"	1	59	758	"2004.v.28"
"23"	"Altica"	"sp."	"Müller, 1764"	1	60	760	"2003.xii.02"
"24"	"Amischa"	"sp."	"Thomson, 1858"	1	1	316	" 2004.v.28"
"25"	"Amischa"	"sp."	"Thomson, 1858"	1	2	785	"2004.i.28"
"26"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	2	2	83	"2003.vii.21"
"27"	"Ampedus"	"nigrinus"	"(Herbst, 1784)"	1	2	784	"2003.xi.04"
"28"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	1	2	786	"2004.vi.18"
"29"	"Ampedus"	"nigrinus"	"(Herbst, 1784)"	1	2	786	"2004.vi.18"
"30"	"Ampedus"	"nigrinus"	"(Herbst, 1784)"	1	2	787	"2004.vi.21"
"31"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	1	2	787	"2004.vi.21"
"32"	"Ampedus"	"tristis"	"(Linnaeus, 1758)"	1	2	787	"2004.vi.21"
"33"	"Ampedus"	"tristis"	"(Linnaeus, 1758)"	1	3	84	"2003.vi.08 "
"34"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	1	3	84	"2003.vi.08 "
"35"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	8	3	85	"2003.vii.02"
"36"	"Ampedus"	"nigrinus"	"(Herbst, 1784)"	2	3	85	"2003.vii.02"
"37"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	1	3	109	"2003.viii.04"
"38"	"Ampedus"	"nigrinus"	"(Herbst, 1784)"	1	3	795	"2004.i.28"
"39"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	3	3	795	"2004.i.28"
"40"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	2	3	796	"2004.iv.28"
"41"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	4	3	798	"2004.vi.21"
"42"	"Ampedus"	"nigrinus"	"(Herbst, 1784)"	1	3	798	"2004.vi.21"
"43"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	5	3	799	"2004.vii.20"
"44"	"Ampedus"	"balteatus"	"(Linnaeus, 1758)"	2	3	800	"2004.viii.11"
"45"	"Ampedus"	"nigrinus"	"(Herbst, 1784)"	1	4	88	"2003.vii.02"
"46"	"Ampedus"	"nigroflavus"	"(Goeze, 1777)"	1	4	89	"2003.vii.21"
"47"	"Ampedus"	"nigrinus"	"(Herbst, 1784)"	3	4	89	"2003.vii.21"
"48"	"Ampedus"	"nigrinus"	"(Herbst, 1784)"	1	59	758	"2004.v.28"
"49"	"Ampedus"	"nigrinus"	"(Herbst, 1784)"	1	60	760	"2003.xii.02"
"50"	"Anaspis"	"frontalis"	"(Linnaeus, 1758)"	1	1	79	"2003.vi.17"
"51"	"Anaspis"	"thoracica"	"(Linnaeus, 1758)"	1	1	79	"2003.vi.17"
"52"	"Anaspis"	"marginicollis"	"Lindberg, 1925"	1	1	79	"2003.vi.17"
"53"	"Anaspis"	"rufilabris"	"(Gyllenhal, 1827)"	1	1	79	"2003.vi.17"
"54"	"Anaspis"	"thoracica"	"(Linnaeus, 1758)"	1	1	80	"2003.vii..02"
"55"	"Anaspis"	"frontalis"	"(Linnaeus, 1758)"	1	1	80	"2003.vii..02"
"56"	"Anaspis"	"rufilabris"	"(Gyllenhal, 1827)"	1	1	80	"2003.vii..02"
"57"	"Anaspis"	"bohemica"	"Schilsky, 1898"	1	1	80	"2003.vii..02"
"58"	"Anaspis"	"thoracica"	"(Linnaeus, 1758)"	1	1	308	"2003.vii.11"
"59"	"Anaspis"	"frontalis"	"(Linnaeus, 1758)"	1	1	308	"2003.vii.11"
"60"	"Anaspis"	"rufilabris"	"(Gyllenhal, 1827)"	1	1	308	"2003.vii.11"
"61"	"Anaspis"	"bohemica"	"Schilsky, 1898"	1	1	308	"2003.vii.11"
"62"	"Anaspis"	"frontalis"	"(Linnaeus, 1758)"	10	1	314	"2004.iii.28"
"63"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	1	315	"2004.v.12"
"64"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	1	316	" 2004.v.28"
"65"	"Anaspis"	"thoracica"	"(Linnaeus, 1758)"	1	1	316	" 2004.v.28"
"66"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	1	316	" 2004.v.28"
"67"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	2	784	"2003.xi.04"
"68"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	2	785	"2004.i.28"
"69"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	2	787	"2004.vi.21"
"70"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	2	788	"2004.vii.20"
"71"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	3	84	"2003.vi.08 "
"72"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	3	85	"2003.vii.02"
"73"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	3	109	"2003.viii.04"
"74"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	3	795	"2004.i.28"
"75"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	3	796	"2004.iv.28"
"76"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	3	798	"2004.vi.21"
"77"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	3	799	"2004.vii.20"
"78"	"Anaspis"	"sp."	"Geoffroy, 1762"	5	4	88	"2003.vii.02"
"79"	"Anaspis"	"sp."	"Geoffroy, 1762"	5	4	89	"2003.vii.21"
"80"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	4	114	"2003.viii.04"
"81"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	4	806	"2004.i.28"
"82"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	4	807	"2004.iv.28"
"83"	"Anaspis"	"sp."	"Geoffroy, 1762"	1	4	811	"2004.viii.11"
"84"	"Anaspis"	"frontalis"	"(Linnaeus, 1758)"	1	22	775	"2004.v.01"
"85"	"Anaspis"	"frontalis"	"(Linnaeus, 1758)"	1	22	776	"2004.vi.01"
"86"	"Anaspis"	"rufilabris"	"(Gyllenhal, 1827)"	1	52	183	"2003.viii.01"
"87"	"Anaspis"	"rufilabris"	"(Gyllenhal, 1827)"	1	55	195	"2003.viii.01"
"88"	"Anaspis"	"rufilabris"	"(Gyllenhal, 1827)"	1	56	200	"2003.viii.18"
"89"	"Anastrangalia"	"sanguinolenta"	"(Linnaeus, 1761)"	2	3	85	"2003.vii.02"
"90"	"Anastrangalia"	"sanguinolenta"	"(Linnaeus, 1761)"	1	3	798	"2004.vi.21"
"91"	"Anatis"	"ocellata"	"(Linnaeus, 1758)"	1	3	798	"2004.vi.21"
"92"	"Anisandrus"	"dispar"	"(Fabricius, 1792)"	1	3	795	"2004.i.28"
"93"	"Anisandrus"	"dispar"	"(Fabricius, 1792)"	1	4	806	"2004.i.28"
"94"	"Anisandrus"	"dispar"	"(Fabricius, 1792)"	1	4	807	"2004.iv.28"
"95"	"Anisandrus"	"dispar"	"(Fabricius, 1792)"	115	22	775	"2004.v.01"
"96"	"Anisandrus"	"dispar"	"(Fabricius, 1792)"	7	22	776	"2004.vi.01"
"97"	"Anisotoma"	"humeralis"	"(Fabricius, 1792)"	1	1	315	"2004.v.12"
"98"	"Anisotoma"	"orbicularis"	"(Herbst, 1792)"	1	1	316	" 2004.v.28"
"99"	"Anisotoma"	"castanea"	"(Herbst, 1792)"	1	3	84	"2003.vi.08 "
"100"	"Anisotoma"	"castanea"	"(Herbst, 1792)"	2	3	85	"2003.vii.02"
"101"	"Anisotoma"	"castanea"	"(Herbst, 1792)"	1	4	88	"2003.vii.02"
"102"	"Anisotoma"	"humeralis"	"(Fabricius, 1792)"	1	4	89	"2003.vii.21"
"103"	"Anisotoma"	"castanea"	"(Herbst, 1792)"	4	4	89	"2003.vii.21"
"104"	"Anisotoma"	"castanea"	"(Herbst, 1792)"	1	4	114	"2003.viii.04"
"105"	"Anisotoma"	"humeralis"	"(Fabricius, 1792)"	2	4	806	"2004.i.28"
"106"	"Anisotoma"	"humeralis"	"(Fabricius, 1792)"	1	4	807	"2004.iv.28"
"107"	"Anisotoma"	"castanea"	"(Herbst, 1792)"	1	55	197	"2003.ix.01"
"108"	"Anisotoma"	"castanea"	"(Herbst, 1792)"	1	56	200	"2003.viii.18"
"109"	"Anisotoma"	"glabra"	"(Kugelann, 1794)"	1	58	207	"2003.viii.01"
"110"	"Anoplotrupes"	"stercorosus"	"(Scriba, 1791)"	1	4	88	"2003.vii.02"
"111"	"Anoplotrupes"	"stercorosus"	"(Scriba, 1791)"	1	4	807	"2004.iv.28"
"112"	"Anoplotrupes"	"stercorosus"	"(Scriba, 1791)"	1	4	811	"2004.viii.11"
"113"	"Anoplus"	"plantaris"	"(Naezen, 1794)"	1	2	787	"2004.vi.21"
"114"	"Anostirus"	"castaneus"	"(Linnaeus, 1758)"	1	3	795	"2004.i.28"
"115"	"Anostirus"	"castaneus"	"(Linnaeus, 1758)"	2	4	807	"2004.iv.28"
"116"	"Anotylus"	"rugosus"	"(Fabricius, 1775)"	2	1	314	"2004.iii.28"
"117"	"Anotylus"	"rugosus"	"(Fabricius, 1775)"	1	2	786	"2004.vi.18"
"118"	"Anotylus"	"rugosus"	"(Fabricius, 1775)"	1	59	757	"2003.xii.02"
"119"	"Antherophagus"	"pallens"	"(Linnaeus, 1758)"	1	4	88	"2003.vii.02"
"120"	"Antherophagus"	"pallens"	"(Linnaeus, 1758)"	1	60	215	"2003.viii.01"
"121"	"Anthobium"	"melanocephalum"	"(Illiger, 1794)"	1	3	803	"2004.x.21"
"122"	"Anthonomus"	"phyllocola"	"(Herbst, 1795)"	1	3	85	"2003.vii.02"
"123"	"Anthonomus"	"phyllocola"	"(Herbst, 1795)"	1	3	795	"2004.i.28"
