"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Omophron"	"sp."	"Latreille, 1802"	"https://www.dyntaxa.se/taxon/info/1002338"	NA	"Dyntaxa"	"Omophron sp."
"2"	"Omophron"	"limbatum"	"(Fabricius, 1777)"	"https://www.dyntaxa.se/taxon/info/103316"	NA	"Dyntaxa"	"Omophron limbatum"
"3"	"Calosoma"	"sp."	"Weber, 1801"	"https://www.dyntaxa.se/taxon/info/1002334"	NA	"Dyntaxa"	"Calosoma sp."
"4"	"Calosoma"	"inquisitor"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/100532"	NA	"Dyntaxa"	"Calosoma inquisitor"
"5"	"Calosoma"	"auropunctatum"	"(Herbst, 1784)"	"https://www.dyntaxa.se/taxon/info/100533"	NA	"Dyntaxa"	"Calosoma auropunctatum"
"6"	"Calosoma"	"reticulatum"	"(Fabricius, 1787)"	"https://www.dyntaxa.se/taxon/info/100534"	NA	"Dyntaxa"	"Calosoma reticulatum"
"7"	"Calosoma"	"sycophanta"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/102205"	NA	"Dyntaxa"	"Calosoma sycophanta"
"8"	"Calosoma"	"investigator"	"(Illiger, 1798)"	"https://www.dyntaxa.se/taxon/info/103299"	NA	"Dyntaxa"	"Calosoma investigator"
"9"	"Calosoma"	"denticolle"	"Gebler, 1833"	"https://www.dyntaxa.se/taxon/info/208369"	NA	"Dyntaxa"	"Calosoma denticolle"
"10"	"Carabus"	"sp."	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/1002335"	NA	"Dyntaxa"	"Carabus sp."
"11"	"Carabus"	"convexus"	"Fabricius, 1775"	"https://www.dyntaxa.se/taxon/info/100541"	NA	"Dyntaxa"	"Carabus convexus"
"12"	"Carabus"	"intricatus"	"Linnaeus, 1760"	"https://www.dyntaxa.se/taxon/info/100542"	NA	"Dyntaxa"	"Carabus intricatus"
"13"	"Carabus"	"arcensis"	"Herbst, 1784"	"https://www.dyntaxa.se/taxon/info/103300"	NA	"Dyntaxa"	"Carabus arcensis"
"14"	"Carabus"	"granulatus"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103301"	NA	"Dyntaxa"	"Carabus granulatus"
"15"	"Carabus"	"clathratus"	"Linnaeus, 1760"	"https://www.dyntaxa.se/taxon/info/103302"	NA	"Dyntaxa"	"Carabus clathratus"
"16"	"Carabus"	"cancellatus"	"Illiger, 1798"	"https://www.dyntaxa.se/taxon/info/103303"	NA	"Dyntaxa"	"Carabus cancellatus"
"17"	"Carabus"	"auratus"	"Linnaeus, 1760"	"https://www.dyntaxa.se/taxon/info/103304"	NA	"Dyntaxa"	"Carabus auratus"
"18"	"Carabus"	"nemoralis"	"Müller, 1764"	"https://www.dyntaxa.se/taxon/info/103305"	NA	"Dyntaxa"	"Carabus nemoralis"
"19"	"Carabus"	"hortensis"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103306"	NA	"Dyntaxa"	"Carabus hortensis"
"20"	"Carabus"	"glabratus"	"Paykull, 1790"	"https://www.dyntaxa.se/taxon/info/103307"	NA	"Dyntaxa"	"Carabus glabratus"
"21"	"Carabus"	"problematicus"	"Herbst, 1786"	"https://www.dyntaxa.se/taxon/info/103308"	NA	"Dyntaxa"	"Carabus problematicus"
"22"	"Carabus"	"nitens"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103309"	NA	"Dyntaxa"	"Carabus nitens"
"23"	"Carabus"	"violaceus"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103310"	NA	"Dyntaxa"	"Carabus violaceus"
"24"	"Carabus"	"coriaceus"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103311"	NA	"Dyntaxa"	"Carabus coriaceus"
"25"	"Carabus"	"monilis"	"Fabricius, 1792"	"https://www.dyntaxa.se/taxon/info/208372"	NA	"Dyntaxa"	"Carabus monilis"
"26"	"Carabus"	"menetriesi"	"Hummel, 1827"	"https://www.dyntaxa.se/taxon/info/208375"	NA	"Dyntaxa"	"Carabus menetriesi"
"27"	"Carabus"	"auronitens"	"Fabricius, 1792"	"https://www.dyntaxa.se/taxon/info/261055"	NA	"Dyntaxa"	"Carabus auronitens"
"28"	"Cychrus"	"sp."	"Fabricius, 1794"	"https://www.dyntaxa.se/taxon/info/1002336"	NA	"Dyntaxa"	"Cychrus sp."
"29"	"Cychrus"	"caraboides"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/103312"	NA	"Dyntaxa"	"Cychrus caraboides"
"30"	"Cicindela"	"sp."	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/1002337"	NA	"Dyntaxa"	"Cicindela sp."
"31"	"Cicindela"	"maritima"	"Latreille & Dejean, 1822"	"https://www.dyntaxa.se/taxon/info/100649"	NA	"Dyntaxa"	"Cicindela maritima"
"32"	"Cicindela"	"sylvatica"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103313"	NA	"Dyntaxa"	"Cicindela sylvatica"
"33"	"Cicindela"	"hybrida"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103314"	NA	"Dyntaxa"	"Cicindela hybrida"
"34"	"Cicindela"	"campestris"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103315"	NA	"Dyntaxa"	"Cicindela campestris"
"35"	"Cylindera"	"sp."	"Westwood, 1831"	"https://www.dyntaxa.se/taxon/info/1008303"	NA	"Dyntaxa"	"Cylindera sp."
"36"	"Cylindera"	"germanica"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/208393"	NA	"Dyntaxa"	"Cylindera germanica"
"37"	"Cylindera"	"arenaria"	"(Fuessly, 1775)"	"https://www.dyntaxa.se/taxon/info/232292"	NA	"Dyntaxa"	"Cylindera arenaria"
"38"	"Loricera"	"sp."	"Latreille, 1802"	"https://www.dyntaxa.se/taxon/info/1002333"	NA	"Dyntaxa"	"Loricera sp."
"39"	"Loricera"	"pilicornis"	"(Fabricius, 1775)"	"https://www.dyntaxa.se/taxon/info/103298"	NA	"Dyntaxa"	"Loricera pilicornis"
"40"	"Blethisa"	"sp."	"Bonelli, 1810"	"https://www.dyntaxa.se/taxon/info/1002339"	NA	"Dyntaxa"	"Blethisa sp."
"41"	"Blethisa"	"multipunctata"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/103317"	NA	"Dyntaxa"	"Blethisa multipunctata"
"42"	"Diacheila"	"sp."	"Motschulsky, 1845"	"https://www.dyntaxa.se/taxon/info/1002340"	NA	"Dyntaxa"	"Diacheila sp."
"43"	"Diacheila"	"arctica"	"(Gyllenhal, 1810)"	"https://www.dyntaxa.se/taxon/info/103318"	NA	"Dyntaxa"	"Diacheila arctica"
"44"	"Diacheila"	"polita"	"(Faldermann, 1835)"	"https://www.dyntaxa.se/taxon/info/208397"	NA	"Dyntaxa"	"Diacheila polita"
"45"	"Elaphrus"	"sp."	"Fabricius, 1775"	"https://www.dyntaxa.se/taxon/info/1002341"	NA	"Dyntaxa"	"Elaphrus sp."
"46"	"Elaphrus"	"uliginosus"	"Fabricius, 1792"	"https://www.dyntaxa.se/taxon/info/102234"	NA	"Dyntaxa"	"Elaphrus uliginosus"
"47"	"Elaphrus"	"lapponicus"	"Gyllenhal, 1810"	"https://www.dyntaxa.se/taxon/info/103319"	NA	"Dyntaxa"	"Elaphrus lapponicus"
"48"	"Elaphrus"	"cupreus"	"Duftschmid, 1812"	"https://www.dyntaxa.se/taxon/info/103320"	NA	"Dyntaxa"	"Elaphrus cupreus"
"49"	"Elaphrus"	"riparius"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/103321"	NA	"Dyntaxa"	"Elaphrus riparius"
"50"	"Elaphrus"	"aureus"	"Müller, 1821"	"https://www.dyntaxa.se/taxon/info/208402"	NA	"Dyntaxa"	"Elaphrus aureus"
"51"	"Elaphrus"	"angusticollis"	"F. Sahlberg, 1844"	"https://www.dyntaxa.se/taxon/info/208403"	NA	"Dyntaxa"	"Elaphrus angusticollis"
"52"	"Clivina"	"sp."	"Latreille, 1802"	"https://www.dyntaxa.se/taxon/info/1002342"	NA	"Dyntaxa"	"Clivina sp."
"53"	"Clivina"	"collaris"	"(Herbst, 1784)"	"https://www.dyntaxa.se/taxon/info/100666"	NA	"Dyntaxa"	"Clivina collaris"
"54"	"Clivina"	"fossor"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/103322"	NA	"Dyntaxa"	"Clivina fossor"
"55"	"Dyschirius"	"sp."	"Bonelli, 1810"	"https://www.dyntaxa.se/taxon/info/1002343"	NA	"Dyntaxa"	"Dyschirius sp."
"56"	"Dyschirius"	"angustatus"	"(Ahrens, 1830)"	"https://www.dyntaxa.se/taxon/info/100871"	NA	"Dyntaxa"	"Dyschirius angustatus"
"57"	"Dyschirius"	"chalceus"	"Erichson, 1837"	"https://www.dyntaxa.se/taxon/info/100872"	NA	"Dyntaxa"	"Dyschirius chalceus"
"58"	"Dyschirius"	"impunctipennis"	"Dawson, 1854"	"https://www.dyntaxa.se/taxon/info/100873"	NA	"Dyntaxa"	"Dyschirius impunctipennis"
"59"	"Dyschirius"	"intermedius"	"Putzeys, 1846"	"https://www.dyntaxa.se/taxon/info/100874"	NA	"Dyntaxa"	"Dyschirius intermedius"
"60"	"Dyschirius"	"laeviusculus"	"Putzeys, 1846"	"https://www.dyntaxa.se/taxon/info/100875"	NA	"Dyntaxa"	"Dyschirius laeviusculus"
"61"	"Dyschirius"	"thoracicus"	"(Rossi, 1790)"	"https://www.dyntaxa.se/taxon/info/103323"	NA	"Dyntaxa"	"Dyschirius thoracicus"
"62"	"Dyschirius"	"obscurus"	"(Gyllenhal, 1827)"	"https://www.dyntaxa.se/taxon/info/103324"	NA	"Dyntaxa"	"Dyschirius obscurus"
"63"	"Dyschirius"	"neresheimeri"	"Wagner, 1915"	"https://www.dyntaxa.se/taxon/info/103325"	NA	"Dyntaxa"	"Dyschirius neresheimeri"
"64"	"Dyschirius"	"politus"	"(Dejean, 1825)"	"https://www.dyntaxa.se/taxon/info/103326"	NA	"Dyntaxa"	"Dyschirius politus"
"65"	"Dyschirius"	"salinus"	"Schaum, 1843"	"https://www.dyntaxa.se/taxon/info/103327"	NA	"Dyntaxa"	"Dyschirius salinus"
"66"	"Dyschirius"	"aeneus"	"(Dejean, 1825)"	"https://www.dyntaxa.se/taxon/info/103328"	NA	"Dyntaxa"	"Dyschirius aeneus"
"67"	"Dyschirius"	"tristis"	"Stephens, 1827"	"https://www.dyntaxa.se/taxon/info/103329"	NA	"Dyntaxa"	"Dyschirius tristis"
"68"	"Dyschirius"	"nigricornis"	"Motschulsky, 1844"	"https://www.dyntaxa.se/taxon/info/103330"	NA	"Dyntaxa"	"Dyschirius nigricornis"
"69"	"Dyschirius"	"melancholicus"	"Putzeys, 1866"	"https://www.dyntaxa.se/taxon/info/103331"	NA	"Dyntaxa"	"Dyschirius melancholicus"
"70"	"Dyschirius"	"globosus"	"(Herbst, 1784)"	"https://www.dyntaxa.se/taxon/info/103332"	NA	"Dyntaxa"	"Dyschirius globosus"
"71"	"Dyschirius"	"digitatus"	"(Dejean, 1825)"	"https://www.dyntaxa.se/taxon/info/208406"	NA	"Dyntaxa"	"Dyschirius digitatus"
"72"	"Dyschirius"	"nitidus"	"(Dejean, 1825)"	"https://www.dyntaxa.se/taxon/info/208410"	NA	"Dyntaxa"	"Dyschirius nitidus"
"73"	"Patrobus"	"sp."	"Dejean, 1821"	"https://www.dyntaxa.se/taxon/info/1002347"	NA	"Dyntaxa"	"Patrobus sp."
"74"	"Patrobus"	"australis"	"J. Sahlberg, 1875"	"https://www.dyntaxa.se/taxon/info/101515"	NA	"Dyntaxa"	"Patrobus australis"
