"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Aleochara"	"sparsa"	"Heer, 1839"	2	1	309	"2003.viii.04"
"2"	"Aleochara"	"sparsa"	"Heer, 1839"	1	1	311	"2003.x.01"
"3"	"Aleochara"	"sparsa"	"Heer, 1839"	1	1	313	"2004.i.15"
"4"	"Aloconota"	"gregaria"	"(Erichson, 1839)"	1	1	310	"2003.viii.29"
"5"	"Aloconota"	"gregaria"	"(Erichson, 1839)"	4	1	313	"2004.i.15"
"6"	"Aloconota"	"gregaria"	"(Erichson, 1839)"	1	1	314	"2004.iii.28"
"7"	"Alosterna"	"tabacicolor"	"(De Geer, 1775)"	1	1	80	"2003.vii..02"
"8"	"Amischa"	"sp."	"Thomson, 1858"	1	1	316	" 2004.v.28"
"9"	"Anisotoma"	"humeralis"	"(Fabricius, 1792)"	1	1	315	"2004.v.12"
"10"	"Anotylus"	"rugosus"	"(Fabricius, 1775)"	2	1	314	"2004.iii.28"
"11"	"Aphthona"	"atrocaerulea"	"(Stephens, 1831)"	1	1	79	"2003.vi.17"
"12"	"Aphthona"	"atrocaerulea"	"(Stephens, 1831)"	4	1	315	"2004.v.12"
"13"	"Archarius"	"pyrrhoceras"	"(Marsham, 1802)"	1	1	308	"2003.vii.11"
"14"	"Archarius"	"pyrrhoceras"	"(Marsham, 1802)"	1	1	315	"2004.v.12"
"15"	"Aspidiphorus"	"orbiculatus"	"(Gyllenhal, 1808)"	1	1	80	"2003.vii..02"
"16"	"Aspidiphorus"	"orbiculatus"	"(Gyllenhal, 1808)"	1	1	309	"2003.viii.04"
"17"	"Aspidiphorus"	"orbiculatus"	"(Gyllenhal, 1808)"	1	1	310	"2003.viii.29"
"18"	"Atheta"	"vaga"	"Heer, 1839"	1	1	308	"2003.vii.11"
"19"	"Atheta"	"vaga"	"Heer, 1839"	1	1	309	"2003.viii.04"
"20"	"Atheta"	"vaga"	"Heer, 1839"	1	1	310	"2003.viii.29"
"21"	"Atheta"	"vaga"	"Heer, 1839"	2	1	313	"2004.i.15"
"22"	"Atheta"	"vaga"	"Heer, 1839"	10	1	314	"2004.iii.28"
"23"	"Atheta"	"vaga"	"Heer, 1839"	1	1	315	"2004.v.12"
"24"	"Athous"	"subfuscus"	"(Müller, 1764)"	2	1	79	"2003.vi.17"
"25"	"Athous"	"haemorrhoidalis"	"(Fabricius, 1801)"	1	1	79	"2003.vi.17"
"26"	"Athous"	"haemorrhoidalis"	"(Fabricius, 1801)"	1	1	80	"2003.vii..02"
"27"	"Athous"	"vittatus"	"(Fabricius, 1792)"	2	1	80	"2003.vii..02"
"28"	"Athous"	"haemorrhoidalis"	"(Fabricius, 1801)"	1	1	315	"2004.v.12"
"29"	"Bolitobius"	"cingulatus"	"Mannerheim, 1830"	1	1	308	"2003.vii.11"
"30"	"Carpophilus"	"marginellus"	"Motschulsky, 1858"	1	1	310	"2003.viii.29"
"31"	"Chilocorus"	"bipustulatus"	"(Linnaeus, 1758)"	1	1	314	"2004.iii.28"
"32"	"Chilocorus"	"bipustulatus"	"(Linnaeus, 1758)"	1	1	315	"2004.v.12"
"33"	"Coccidula"	"scutellata"	"(Herbst, 1783)"	7	1	310	"2003.viii.29"
"34"	"Coccidula"	"scutellata"	"(Herbst, 1783)"	5	1	314	"2004.iii.28"
"35"	"Coccidula"	"scutellata"	"(Herbst, 1783)"	4	1	315	"2004.v.12"
"36"	"Coeliodes"	"rana"	"(Fabricius, 1787)"	3	1	314	"2004.iii.28"
"37"	"Corticarina"	"minuta"	"(Fabricius, 1792)"	1	1	79	"2003.vi.17"
"38"	"Corticarina"	"similata"	"(Gyllenhal, 1827)"	1	1	309	"2003.viii.04"
"39"	"Corticarina"	"similata"	"(Gyllenhal, 1827)"	2	1	310	"2003.viii.29"
"40"	"Corticarina"	"similata"	"(Gyllenhal, 1827)"	1	1	314	"2004.iii.28"
"41"	"Cortinicara"	"gibbosa"	"(Herbst, 1793)"	8	1	79	"2003.vi.17"
