"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Carabidae"	"sp."	"Latreille, 1802"	"https://www.dyntaxa.se/taxon/info/2001007"	"Dyntaxa"	"Carabidae sp."
"2"	"Omophron"	"sp."	"Latreille, 1802"	"https://www.dyntaxa.se/taxon/info/1002338"	"Dyntaxa"	"Omophron sp."
"3"	"Omophron"	"limbatum"	"(Fabricius, 1777)"	"https://www.dyntaxa.se/taxon/info/103316"	"Dyntaxa"	"Omophron limbatum"
"4"	"Calosoma"	"sp."	"Weber, 1801"	"https://www.dyntaxa.se/taxon/info/1002334"	"Dyntaxa"	"Calosoma sp."
"5"	"Calosoma"	"inquisitor"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/100532"	"Dyntaxa"	"Calosoma inquisitor"
"6"	"Calosoma"	"auropunctatum"	"(Herbst, 1784)"	"https://www.dyntaxa.se/taxon/info/100533"	"Dyntaxa"	"Calosoma auropunctatum"
"7"	"Calosoma"	"reticulatum"	"(Fabricius, 1787)"	"https://www.dyntaxa.se/taxon/info/100534"	"Dyntaxa"	"Calosoma reticulatum"
"8"	"Calosoma"	"sycophanta"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/102205"	"Dyntaxa"	"Calosoma sycophanta"
"9"	"Calosoma"	"investigator"	"(Illiger, 1798)"	"https://www.dyntaxa.se/taxon/info/103299"	"Dyntaxa"	"Calosoma investigator"
"10"	"Calosoma"	"denticolle"	"Gebler, 1833"	"https://www.dyntaxa.se/taxon/info/208369"	"Dyntaxa"	"Calosoma denticolle"
"11"	"Carabus"	"sp."	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/1002335"	"Dyntaxa"	"Carabus sp."
"12"	"Carabus"	"convexus"	"Fabricius, 1775"	"https://www.dyntaxa.se/taxon/info/100541"	"Dyntaxa"	"Carabus convexus"
"13"	"Carabus"	"intricatus"	"Linnaeus, 1761"	"https://www.dyntaxa.se/taxon/info/100542"	"Dyntaxa"	"Carabus intricatus"
"14"	"Carabus"	"arcensis"	"Herbst, 1784"	"https://www.dyntaxa.se/taxon/info/103300"	"Dyntaxa"	"Carabus arcensis"
"15"	"Carabus"	"granulatus"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103301"	"Dyntaxa"	"Carabus granulatus"
"16"	"Carabus"	"clathratus"	"Linnaeus, 1761"	"https://www.dyntaxa.se/taxon/info/103302"	"Dyntaxa"	"Carabus clathratus"
"17"	"Carabus"	"cancellatus"	"Illiger, 1798"	"https://www.dyntaxa.se/taxon/info/103303"	"Dyntaxa"	"Carabus cancellatus"
"18"	"Carabus"	"auratus"	"Linnaeus, 1761"	"https://www.dyntaxa.se/taxon/info/103304"	"Dyntaxa"	"Carabus auratus"
"19"	"Carabus"	"nemoralis"	"Müller, 1764"	"https://www.dyntaxa.se/taxon/info/103305"	"Dyntaxa"	"Carabus nemoralis"
"20"	"Carabus"	"hortensis"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103306"	"Dyntaxa"	"Carabus hortensis"
"21"	"Carabus"	"glabratus"	"Paykull, 1790"	"https://www.dyntaxa.se/taxon/info/103307"	"Dyntaxa"	"Carabus glabratus"
"22"	"Carabus"	"problematicus"	"Herbst, 1786"	"https://www.dyntaxa.se/taxon/info/103308"	"Dyntaxa"	"Carabus problematicus"
"23"	"Carabus"	"nitens"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103309"	"Dyntaxa"	"Carabus nitens"
"24"	"Carabus"	"violaceus"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103310"	"Dyntaxa"	"Carabus violaceus"
"25"	"Carabus"	"coriaceus"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103311"	"Dyntaxa"	"Carabus coriaceus"
"26"	"Carabus"	"monilis"	"Fabricius, 1792"	"https://www.dyntaxa.se/taxon/info/208372"	"Dyntaxa"	"Carabus monilis"
"27"	"Carabus"	"menetriesi"	"Hummel, 1827"	"https://www.dyntaxa.se/taxon/info/208375"	"Dyntaxa"	"Carabus menetriesi"
"28"	"Carabus"	"auronitens"	"Fabricius, 1792"	"https://www.dyntaxa.se/taxon/info/261055"	"Dyntaxa"	"Carabus auronitens"
"29"	"Cychrus"	"sp."	"Fabricius, 1794"	"https://www.dyntaxa.se/taxon/info/1002336"	"Dyntaxa"	"Cychrus sp."
"30"	"Cychrus"	"caraboides"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/103312"	"Dyntaxa"	"Cychrus caraboides"
"31"	"Cicindela"	"sp."	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/1002337"	"Dyntaxa"	"Cicindela sp."
"32"	"Cicindela"	"maritima"	"Latreille & Dejean, 1822"	"https://www.dyntaxa.se/taxon/info/100649"	"Dyntaxa"	"Cicindela maritima"
"33"	"Cicindela"	"sylvatica"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103313"	"Dyntaxa"	"Cicindela sylvatica"
"34"	"Cicindela"	"hybrida"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103314"	"Dyntaxa"	"Cicindela hybrida"
"35"	"Cicindela"	"campestris"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/103315"	"Dyntaxa"	"Cicindela campestris"
"36"	"Cylindera"	"sp."	"Westwood, 1831"	"https://www.dyntaxa.se/taxon/info/1008303"	"Dyntaxa"	"Cylindera sp."
"37"	"Cylindera"	"germanica"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/208393"	"Dyntaxa"	"Cylindera germanica"
"38"	"Cylindera"	"arenaria"	"(Fuessly, 1775)"	"https://www.dyntaxa.se/taxon/info/232292"	"Dyntaxa"	"Cylindera arenaria"
"39"	"Loricera"	"sp."	"Latreille, 1802"	"https://www.dyntaxa.se/taxon/info/1002333"	"Dyntaxa"	"Loricera sp."
"40"	"Loricera"	"pilicornis"	"(Fabricius, 1775)"	"https://www.dyntaxa.se/taxon/info/103298"	"Dyntaxa"	"Loricera pilicornis"
"41"	"Blethisa"	"sp."	"Bonelli, 1810"	"https://www.dyntaxa.se/taxon/info/1002339"	"Dyntaxa"	"Blethisa sp."
"42"	"Blethisa"	"multipunctata"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/103317"	"Dyntaxa"	"Blethisa multipunctata"
"43"	"Diacheila"	"sp."	"Motschulsky, 1845"	"https://www.dyntaxa.se/taxon/info/1002340"	"Dyntaxa"	"Diacheila sp."
"44"	"Diacheila"	"arctica"	"(Gyllenhal, 1810)"	"https://www.dyntaxa.se/taxon/info/103318"	"Dyntaxa"	"Diacheila arctica"
"45"	"Diacheila"	"polita"	"(Faldermann, 1835)"	"https://www.dyntaxa.se/taxon/info/208397"	"Dyntaxa"	"Diacheila polita"
"46"	"Elaphrus"	"sp."	"Fabricius, 1775"	"https://www.dyntaxa.se/taxon/info/1002341"	"Dyntaxa"	"Elaphrus sp."
"47"	"Elaphrus"	"uliginosus"	"Fabricius, 1792"	"https://www.dyntaxa.se/taxon/info/102234"	"Dyntaxa"	"Elaphrus uliginosus"
"48"	"Elaphrus"	"lapponicus"	"Gyllenhal, 1810"	"https://www.dyntaxa.se/taxon/info/103319"	"Dyntaxa"	"Elaphrus lapponicus"
