"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Conops"	"flavipes"	"Linnaeus, 1758"	2	6	371	"2003.viii.12"
"2"	"Sicus"	"ferrugineus"	"(Linnaeus, 1761)"	6	6	371	"2003.viii.12"
"3"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	2	43	1172	"2004.viii.11"
"4"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	1	28	1468	"2005.viii.09"
"5"	"Myopa"	"fasciata"	"Meigen, 1804"	1	38	580	"2003.viii.07"
"6"	"Thecophora"	"fulvipes"	"(Robineau-Desvoidy, 1830)"	1	38	580	"2003.viii.07"
"7"	"Myopa"	"buccata"	"(Linnaeus, 1758)"	1	22	1730	"2006.vii.03"
"8"	"Myopa"	"buccata"	"(Linnaeus, 1758)"	2	22	1725	"2006.v.20"
"9"	"Conops"	"flavipes"	"Linnaeus, 1758"	9	6	370	"2003.vii.29"
"10"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	5	6	370	"2003.vii.29"
"11"	"Sicus"	"ferrugineus"	"(Linnaeus, 1761)"	2	6	370	"2003.vii.29"
"12"	"Myopa"	"buccata"	"(Linnaeus, 1758)"	1	22	840	"2005.iv.25"
"13"	"Myopa"	"hirsuta"	"Stuke & Clements, 2008"	1	22	840	"2005.iv.25"
"14"	"Myopa"	"tessellatipennis"	"Motschulsky, 1859"	1	22	840	"2005.iv.25"
"15"	"Myopa"	"tessellatipennis"	"Motschulsky, 1859"	1	13	1750	"2004.iv.25"
"16"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	2	35	1103	"2004.viii.07"
"17"	"Myopa"	"tessellatipennis"	"Motschulsky, 1859"	4	2046	2051	"2008.v.01"
"18"	"Myopa"	"buccata"	"(Linnaeus, 1758)"	1	28	1464	"2005.iv.10"
"19"	"Myopa"	"buccata"	"(Linnaeus, 1758)"	1	33	543	"2004.iv.28"
"20"	"Conops"	"vesicularis"	"Linnaeus, 1761"	1	38	1443	"2005.v.24"
"21"	"Myopa"	"buccata"	"(Linnaeus, 1758)"	2	37	831	"2004.v.20"
"22"	"Sicus"	"ferrugineus"	"(Linnaeus, 1761)"	1	1001	1333	"2005.vii.12"
"23"	"Thecophora"	"sp 1"	"sp. indet."	1	28	1460	"2004.viii.19"
"24"	"Conops"	"flavipes"	"Linnaeus, 1758"	1	6	368	"2003.vi.17"
"25"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	4	7	379	"2003.vii.03"
"26"	"Conops"	"flavipes"	"Linnaeus, 1758"	4	7	379	"2003.vii.03"
"27"	"Sicus"	"ferrugineus"	"(Linnaeus, 1761)"	2	7	379	"2003.vii.03"
"28"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	4	54	1254	"2004.viii.05"
"29"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	1	12	178	"2003.viii.25"
"30"	"Sicus"	"ferrugineus"	"(Linnaeus, 1761)"	1	2003	2036	"2006.vii.24"
"31"	"Sicus"	"ferrugineus"	"(Linnaeus, 1761)"	1	54	191	"2003.viii.01"
"32"	"Sicus"	"ferrugineus"	"(Linnaeus, 1761)"	1	57	203	"2003.viii.01"
"33"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	2	57	203	"2003.viii.01"
"34"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	4	1001	1355	"2005.viii.13"
"35"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	5	13	1648	"2005.viii.23"
"36"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	3	1001	1361	"2005.viii.24"
"37"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	3	43	1171	"2004.vii.28"
"38"	"Conops"	"quadrifasciatus"	"De Geer, 1776"	1	32	1533	"2005.viii.18"
"39"	"Conops"	"flavipes"	"Linnaeus, 1758"	1	37	570	"2003.vii.15"
