"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Dalmannia"	"sp."	"Robineau-Desvoidy 1830"	"urn:lsid:faunaeur.org:taxname:61279"	"Fauna Europaea"	NA	"Dalmannia sp."
"2"	"Dalmannia"	"marginata"	"(Meigen, 1824)"	"https://www.dyntaxa.se/taxon/info/100794"	"Dyntaxa"	NA	"Dalmannia marginata"
"3"	"Dalmannia"	"punctata"	"(Fabricius, 1794)"	"https://www.dyntaxa.se/taxon/info/100795"	"Dyntaxa"	NA	"Dalmannia punctata"
"4"	"Dalmannia"	"dorsalis"	"(Fabricius, 1794)"	"https://www.dyntaxa.se/taxon/info/236252"	"Dyntaxa"	NA	"Dalmannia dorsalis"
"5"	"Physocephala"	"sp."	"Schiner 1861"	"urn:lsid:faunaeur.org:taxname:61214"	"Fauna Europaea"	NA	"Physocephala sp."
"6"	"Physocephala"	"vittata"	"(Fabricius, 1794)"	"https://www.dyntaxa.se/taxon/info/101568"	"Dyntaxa"	NA	"Physocephala vittata"
"7"	"Physocephala"	"rufipes"	"(Fabricius, 1781)"	"https://www.dyntaxa.se/taxon/info/236230"	"Dyntaxa"	NA	"Physocephala rufipes"
"8"	"Physocephala"	"nigra"	"(De Geer, 1776)"	"https://www.dyntaxa.se/taxon/info/236231"	"Dyntaxa"	NA	"Physocephala nigra"
"9"	"Sicus"	"sp."	"Scopoli 1763"	"urn:lsid:faunaeur.org:taxname:61245"	"Fauna Europaea"	NA	"Sicus sp."
"10"	"Sicus"	"abdominalis"	"Kröber, 1915"	"https://www.dyntaxa.se/taxon/info/101777"	"Dyntaxa"	NA	"Sicus abdominalis"
"11"	"Sicus"	"ferrugineus"	"(Linnaeus, 1761)"	"https://www.dyntaxa.se/taxon/info/236229"	"Dyntaxa"	NA	"Sicus ferrugineus"
"12"	"Zodion"	"sp."	"Latreille, 1796"	"urn:lsid:faunaeur.org:taxname:61233"	"Fauna Europaea"	NA	"Zodion sp."
"13"	"Zodion"	"cinereum"	"(Fabricius, 1794)"	"https://www.dyntaxa.se/taxon/info/250297"	"Dyntaxa"	NA	"Zodion cinereum"
"14"	"Thecophora"	"sp."	"Rondani, 1845"	"urn:lsid:faunaeur.org:taxname:61267"	"Fauna Europaea"	NA	"Thecophora sp."
"15"	"Thecophora"	"cinerascens"	"(Meigen, 1804)"	"https://www.dyntaxa.se/taxon/info/236223"	"Dyntaxa"	NA	"Thecophora cinerascens"
"16"	"Thecophora"	"longirostris"	"Lyneborg, 1962"	"https://www.dyntaxa.se/taxon/info/236224"	"Dyntaxa"	NA	"Thecophora longirostris"
"17"	"Thecophora"	"jakutica"	"Zimina, 1974"	"https://www.dyntaxa.se/taxon/info/236225"	"Dyntaxa"	NA	"Thecophora jakutica"
"18"	"Thecophora"	"fulvipes"	"(Robineau-Desvoidy, 1830)"	"https://www.dyntaxa.se/taxon/info/236226"	"Dyntaxa"	NA	"Thecophora fulvipes"
"19"	"Thecophora"	"distincta"	"(Wiedemann in Meigen, 1824)"	"https://www.dyntaxa.se/taxon/info/236227"	"Dyntaxa"	NA	"Thecophora distincta"
"20"	"Thecophora"	"atra"	"(Fabricius, 1775)"	"https://www.dyntaxa.se/taxon/info/236228"	"Dyntaxa"	NA	"Thecophora atra"
"21"	"Myopotta"	"sp."	"Zimina, 1969"	"urn:lsid:faunaeur.org:taxname:61264"	"Fauna Europaea"	NA	"Myopotta sp."
