"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Trypoxylon"	"attenuatum"	"Smith, 1851"	1	2	788	"2004.vii.20"
"2"	"Trypoxylon"	"figulus"	"(Linnaeus, 1758)"	1	2	788	"2004.vii.20"
"3"	"Ectemnius"	"ruficornis"	"(Zetterstedt, 1838)"	1	11	411	"2003.vii.23"
"4"	"Passaloecus"	"insignis"	"(Vander Linden, 1829)"	1	14	1653	"2005.vii.05"
"5"	"Spilomena"	"differens"	"Blüthgen, 1953"	3	16	1667	"2005.vii.05"
"6"	"Spilomena"	"differens"	"Blüthgen, 1953"	2	16	1667	"2005.vii.05"
"7"	"Spilomena"	"differens"	"Blüthgen, 1953"	1	39	1803	"2005.vi.26"
"8"	"Spilomena"	"differens"	"Blüthgen, 1953"	1	39	1803	"2005.vi.26"
"9"	"Spilomena"	"troglodytes"	"(Vander Linden, 1829)"	1	39	1803	"2005.vi.26"
"10"	"Pemphredon"	"lugubris"	"(Fabricius, 1793)"	1	44	670	"2003.vii.17"
"11"	"Spilomena"	"curruca"	"(Dahlbom, 1843)"	2	44	670	"2003.vii.17"
"12"	"Passaloecus"	"monilicornis"	"Dahlbom, 1842"	1	47	998	"2004.vi.18"
"13"	"Pemphredon"	"lugubris"	"(Fabricius, 1793)"	2	47	998	"2004.vi.18"
"14"	"Rhopalum"	"clavipes"	"(Linnaeus, 1758)"	1	48	1209	"2004.vii.29"
"15"	"Spilomena"	"curruca"	"(Dahlbom, 1843)"	2	48	1209	"2004.vii.29"
"16"	"Pemphredon"	"lugubris"	"(Fabricius, 1793)"	6	1000	1362	"2005.viii.24"
"17"	"Spilomena"	"differens"	"Blüthgen, 1953"	1	1000	1362	"2005.viii.24"
"18"	"Spilomena"	"differens"	"Blüthgen, 1953"	1	1001	1333	"2005.vii.12"
"19"	"Passaloecus"	"singularis"	"Dahlbom, 1844"	1	1008	1739	"2006.vi.22"
"20"	"Pemphredon"	"lugubris"	"(Fabricius, 1793)"	2	1008	1739	"2006.vi.22"
"21"	"Spilomena"	"enslini"	"Blüthgen, 1953"	1	1008	1739	"2006.vi.22"
"22"	"Mimumesa"	"beaumonti"	"(van Lith, 1949)"	1	1008	1741	"2006.vii.04"
"23"	"Passaloecus"	"singularis"	"Dahlbom, 1844"	1	1008	1741	"2006.vii.04"
"24"	"Psenulus"	"concolor"	"(Dahlbom, 1843)"	1	1008	1741	"2006.vii.04"
"25"	"Passaloecus"	"singularis"	"Dahlbom, 1844"	1	1008	1743	"2006.vii.16"
"26"	"Pemphredon"	"lugubris"	"(Fabricius, 1793)"	1	1008	1743	"2006.vii.16"
"27"	"Spilomena"	"differens"	"Blüthgen, 1953"	1	1008	1743	"2006.vii.16"
"28"	"Pemphredon"	"lugubris"	"(Fabricius, 1793)"	2	1008	1746	"2006.viii.08"
"29"	"Astata"	"boops"	"(Schrank, 1781)"	2	28	1459	"2004.viii.02"
"30"	"Astata"	"boops"	"(Schrank, 1781)"	1	28	488	"2003.vii.08"
"31"	"Astata"	"boops"	"(Schrank, 1781)"	2	1002	1376	"2005.vii.15"
"32"	"Dolichurus"	"corniculus"	"(Spinola, 1808)"	1	28	1459	"2004.viii.02"
"33"	"Dolichurus"	"corniculus"	"(Spinola, 1808)"	1	28	488	"2003.vii.08"
"34"	"Dolichurus"	"corniculus"	"(Spinola, 1808)"	1	1002	1379	"2005.viii.12"
"35"	"Nitela"	"borealis"	"Valkeila, 1974"	1	28	1459	"2004.viii.02"
"36"	"Nitela"	"spinolae"	"Latreille, 1809"	1	29	1048	"2004.vii.30"
"37"	"Pemphredon"	"lugubris"	"(Fabricius, 1793)"	1	13	1648	"2005.viii.23"
"38"	"Pemphredon"	"lugubris"	"(Fabricius, 1793)"	1	24	817	"2003.vii.15"
"39"	"Spilomena"	"troglodytes"	"(Vander Linden, 1829)"	1	13	1648	"2005.viii.23"
"40"	"Tachysphex"	"pompiliformis"	"(Panzer, 1803)"	1	29	1047	"2004.vii.11"
"41"	"Dolichurus"	"corniculus"	"(Spinola, 1808)"	1	43	1171	"2004.vii.28"
