"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Dolichurus"	"sp."	"Latreille, 1809"	"http://dyntaxa.se/taxon/info/1009636"	"Dyntaxa"	"Dolichurus sp."
"2"	"Dolichurus"	"corniculus"	"(Spinola, 1808)"	"http://dyntaxa.se/taxon/info/234300"	"Dyntaxa"	"Dolichurus corniculus"
"3"	"Dolichurus"	"bicolor"	"(Lepeltier, 1845)"	"http://dyntaxa.se/taxon/info/234301"	"Dyntaxa"	"Dolichurus bicolor"
"4"	"Cerceris"	"sp."	"Latreille, 1802"	"http://dyntaxa.se/taxon/info/1009637"	"Dyntaxa"	"Cerceris sp."
"5"	"Cerceris"	"sabulosa"	"(Panzer, 1799)"	"http://dyntaxa.se/taxon/info/234302"	"Dyntaxa"	"Cerceris sabulosa"
"6"	"Cerceris"	"quinquefasciata"	"(Rossi, 1792)"	"http://dyntaxa.se/taxon/info/234303"	"Dyntaxa"	"Cerceris quinquefasciata"
"7"	"Cerceris"	"ruficornis"	"(Fabricius, 1793)"	"http://dyntaxa.se/taxon/info/234304"	"Dyntaxa"	"Cerceris ruficornis"
"8"	"Cerceris"	"quadricincta"	"(Panzer, 1799)"	"http://dyntaxa.se/taxon/info/234305"	"Dyntaxa"	"Cerceris quadricincta"
"9"	"Cerceris"	"quadrifasciata"	"(Panzer, 1799)"	"http://dyntaxa.se/taxon/info/234306"	"Dyntaxa"	"Cerceris quadrifasciata"
"10"	"Cerceris"	"arenaria"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/234307"	"Dyntaxa"	"Cerceris arenaria"
"11"	"Cerceris"	"rybyensis"	"(Linnaeus, 1771)"	"http://dyntaxa.se/taxon/info/234308"	"Dyntaxa"	"Cerceris rybyensis"
"12"	"Philanthus"	"sp."	"Fabricius, 1790"	"http://dyntaxa.se/taxon/info/1008293"	"Dyntaxa"	"Philanthus sp."
"13"	"Philanthus"	"triangulum"	"(Fabricius, 1775)"	"http://dyntaxa.se/taxon/info/232283"	"Dyntaxa"	"Philanthus triangulum"
"14"	"Mimesa"	"sp."	"Shuckard, 1837"	"http://dyntaxa.se/taxon/info/1006942"	"Dyntaxa"	"Mimesa sp."
"15"	"Mimesa"	"bruxellensis"	"Bondroit, 1934"	"http://dyntaxa.se/taxon/info/101333"	"Dyntaxa"	"Mimesa bruxellensis"
"16"	"Mimesa"	"bicolor"	"(Jurine, 1807)"	"http://dyntaxa.se/taxon/info/234320"	"Dyntaxa"	"Mimesa bicolor"
"17"	"Mimesa"	"lutaria"	"(Fabricius, 1787)"	"http://dyntaxa.se/taxon/info/234321"	"Dyntaxa"	"Mimesa lutaria"
"18"	"Mimesa"	"equestris"	"(Fabricius, 1804)"	"http://dyntaxa.se/taxon/info/234322"	"Dyntaxa"	"Mimesa equestris"
"19"	"Mimumesa"	"sp."	"Malloch, 1933"	"http://dyntaxa.se/taxon/info/1006943"	"Dyntaxa"	"Mimumesa sp."
"20"	"Mimumesa"	"beaumonti"	"(van Lith, 1949)"	"http://dyntaxa.se/taxon/info/101334"	"Dyntaxa"	"Mimumesa beaumonti"
"21"	"Mimumesa"	"littoralis"	"(Bondroit, 1934)"	"http://dyntaxa.se/taxon/info/101335"	"Dyntaxa"	"Mimumesa littoralis"
"22"	"Mimumesa"	"dahlbomi"	"(Wesmael, 1852)"	"http://dyntaxa.se/taxon/info/234316"	"Dyntaxa"	"Mimumesa dahlbomi"
"23"	"Mimumesa"	"spooneri"	"(Richards, 1948)"	"http://dyntaxa.se/taxon/info/234317"	"Dyntaxa"	"Mimumesa spooneri"
"24"	"Mimumesa"	"atratina"	"(Morawitz, 1891)"	"http://dyntaxa.se/taxon/info/234318"	"Dyntaxa"	"Mimumesa atratina"
"25"	"Mimumesa"	"unicolor"	"(Vander Linden, 1829)"	"http://dyntaxa.se/taxon/info/234319"	"Dyntaxa"	"Mimumesa unicolor"
"26"	"Psen"	"sp."	"Latreille, 1796"	"http://dyntaxa.se/taxon/info/1006947"	"Dyntaxa"	"Psen sp."
"27"	"Psen"	"ater"	"(Olivier, 1792)"	"http://dyntaxa.se/taxon/info/101639"	"Dyntaxa"	"Psen ater"
"28"	"Psenulus"	"sp."	"Kohl, 1897"	"http://dyntaxa.se/taxon/info/1009638"	"Dyntaxa"	"Psenulus sp."
"29"	"Psenulus"	"brevitarsis"	"Merisuo, 1937"	"http://dyntaxa.se/taxon/info/234309"	"Dyntaxa"	"Psenulus brevitarsis"
"30"	"Psenulus"	"schencki"	"(Tournier, 1889)"	"http://dyntaxa.se/taxon/info/234310"	"Dyntaxa"	"Psenulus schencki"
"31"	"Psenulus"	"pallipes"	"(Panzer, 1798)"	"http://dyntaxa.se/taxon/info/234311"	"Dyntaxa"	"Psenulus pallipes"
"32"	"Psenulus"	"gussakovskiji"	"(van Lith, 1973)"	"http://dyntaxa.se/taxon/info/234312"	"Dyntaxa"	"Psenulus gussakovskiji"
"33"	"Psenulus"	"chevrieri"	"(Tournier, 1889)"	"http://dyntaxa.se/taxon/info/234313"	"Dyntaxa"	"Psenulus chevrieri"
"34"	"Psenulus"	"fuscipennis"	"(Dahlbom, 1843)"	"http://dyntaxa.se/taxon/info/234314"	"Dyntaxa"	"Psenulus fuscipennis"
"35"	"Psenulus"	"concolor"	"(Dahlbom, 1843)"	"http://dyntaxa.se/taxon/info/234315"	"Dyntaxa"	"Psenulus concolor"
"36"	"Pemphredon"	"sp."	"Latreille, 1796"	"http://dyntaxa.se/taxon/info/1006945"	"Dyntaxa"	"Pemphredon sp."
"37"	"Pemphredon"	"clypealis"	"Thomson, 1870"	"http://dyntaxa.se/taxon/info/234347"	"Dyntaxa"	"Pemphredon clypealis"
"38"	"Pemphredon"	"morio"	"Vander Linden, 1829"	"http://dyntaxa.se/taxon/info/234348"	"Dyntaxa"	"Pemphredon morio"
"39"	"Pemphredon"	"mortifer"	"Valkeila, 1970"	"http://dyntaxa.se/taxon/info/234349"	"Dyntaxa"	"Pemphredon mortifer"
"40"	"Pemphredon"	"lethifer"	"(Shuckard, 1837)"	"http://dyntaxa.se/taxon/info/234350"	"Dyntaxa"	"Pemphredon lethifer"
"41"	"Pemphredon"	"enslini"	"(Wagner, 1932)"	"http://dyntaxa.se/taxon/info/234351"	"Dyntaxa"	"Pemphredon enslini"
"42"	"Pemphredon"	"inornata"	"Say, 1824"	"http://dyntaxa.se/taxon/info/234352"	"Dyntaxa"	"Pemphredon inornata"
"43"	"Pemphredon"	"wesmaeli"	"(Morawitz, 1864)"	"http://dyntaxa.se/taxon/info/234353"	"Dyntaxa"	"Pemphredon wesmaeli"
"44"	"Pemphredon"	"fabrici"	"(Müller, 1911)"	"http://dyntaxa.se/taxon/info/243451"	"Dyntaxa"	"Pemphredon fabrici"
"45"	"Pemphredon"	"beaumonti"	"Hellén, 1955"	"http://dyntaxa.se/taxon/info/101522"	"Dyntaxa"	"Pemphredon beaumonti"
"46"	"Pemphredon"	"fennica"	"Merisuo, 1972"	"http://dyntaxa.se/taxon/info/101523"	"Dyntaxa"	"Pemphredon fennica"
"47"	"Pemphredon"	"baltica"	"Merisuo, 1972"	"http://dyntaxa.se/taxon/info/234354"	"Dyntaxa"	"Pemphredon baltica"
"48"	"Pemphredon"	"flavistigma"	"Thomson, 1874"	"http://dyntaxa.se/taxon/info/234355"	"Dyntaxa"	"Pemphredon flavistigma"
"49"	"Pemphredon"	"lugens"	"Dahlbom, 1842"	"http://dyntaxa.se/taxon/info/234356"	"Dyntaxa"	"Pemphredon lugens"
"50"	"Pemphredon"	"montana"	"Dahlbom, 1845"	"http://dyntaxa.se/taxon/info/234357"	"Dyntaxa"	"Pemphredon montana"
"51"	"Pemphredon"	"lugubris"	"(Fabricius, 1793)"	"http://dyntaxa.se/taxon/info/234358"	"Dyntaxa"	"Pemphredon lugubris"
"52"	"Spilomena"	"sp."	"Shuckard, 1838"	"http://dyntaxa.se/taxon/info/1006949"	"Dyntaxa"	"Spilomena sp."
"53"	"Spilomena"	"curruca"	"(Dahlbom, 1843)"	"http://dyntaxa.se/taxon/info/101811"	"Dyntaxa"	"Spilomena curruca"
"54"	"Spilomena"	"troglodytes"	"(Vander Linden, 1829)"	"http://dyntaxa.se/taxon/info/234323"	"Dyntaxa"	"Spilomena troglodytes"
"55"	"Spilomena"	"beata"	"Blüthgen, 1953"	"http://dyntaxa.se/taxon/info/234324"	"Dyntaxa"	"Spilomena beata"
"56"	"Spilomena"	"enslini"	"Blüthgen, 1953"	"http://dyntaxa.se/taxon/info/234326"	"Dyntaxa"	"Spilomena enslini"
