"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Apterygida"	"media"	"Hagenbach, 1822"	2	36	565	"2004.i.24"
"2"	"Forficula"	"auricularia"	"(Linnaeus, 1758)"	1	2003	2036	"2006.vii.24"
"3"	"Forficula"	"auricularia"	"(Linnaeus, 1758)"	23	21	1508	"2005.viii.01"
"4"	"Forficula"	"auricularia"	"(Linnaeus, 1758)"	1	20	1496	"2005.vi.03"
"5"	"Forficula"	"auricularia"	"(Linnaeus, 1758)"	1	1002	1893	"2005.xi.03"
"6"	"Apterygida"	"media"	"Hagenbach, 1822"	6	1003	1387	"2005.vi.27"
"7"	"Apterygida"	"media"	"Hagenbach, 1822"	2	22	1390	"2005.x.03"
"8"	"Apterygida"	"media"	"Hagenbach, 1822"	1	1	1574	"2005.viii.04"
"9"	"Apterygida"	"media"	"Hagenbach, 1822"	1	2046	2055	"2008.vii.16"
"10"	"Forficula"	"auricularia"	"(Linnaeus, 1758)"	4	2046	2051	"2008.v.01"
"11"	"Forficula"	"auricularia"	"(Linnaeus, 1758)"	7	22	1731	"2006.vii.20"
"12"	"Forficula"	"auricularia"	"(Linnaeus, 1758)"	18	2046	2055	"2008.vii.16"
"13"	"Forficula"	"auricularia"	"(Linnaeus, 1758)"	14	30	1718	"2005.vii.17"
"14"	"Forficula"	"auricularia"	"(Linnaeus, 1758)"	13	2006	2020	"2007.viii.31"
"15"	"Apterygida"	"media"	"Hagenbach, 1822"	4	22	1725	"2006.v.20"
"16"	"Chelidurella"	"acanthopygia"	"(Géné, 1832)"	1	22	1725	"2006.v.20"
"17"	"Apterygida"	"media"	"Hagenbach, 1822"	3	12	895	"2004.viii.19"
