"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	1	27	1035	"2004.vii.20"
"2"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	8	8	390	"2003.vii.04"
"3"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	25	8	391	"2003.vii.15"
"4"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	1	22	1731	"2006.vii.20"
"5"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	2	9	1611	"2005.vii.16"
"6"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	3	1008	1739	"2006.vi.22"
"7"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	2	1000	1325	"2005.vii.18"
"8"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	2	8	1560	"2004.vii.29"
"9"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	1	37	1822	"2005.vii.07"
"10"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	18	8	1559	"2004.vii.13"
"11"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	1	1008	1742	"2006.vii.10"
"12"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	1	9	1612	"2005.viii.06"
"13"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	2	9	1611	"2005.vii.16"
"14"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	1	1000	1323	"2005.vii.02"
"15"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	26	8	1602	"2005.vi.20"
"16"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	1	37	834	"2004.vii.14"
"17"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	1	25	451	"2003.vii.22"
"18"	"Diacritus"	"aciculatus"	"(Vollenhoven, 1878)"	1	1	309	"2003.viii.04"
