"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Diadocidia"	"spinosula"	"Tollet, 1948"	1	44	1186	"2004.vii.05"
"2"	"Diadocidia"	"sp."	"Ruthe, 1831"	2	44	1186	"2004.vii.05"
"3"	"Diadocidia"	"ferruginosa"	"(Meigen, 1830)"	2	44	670	"2003.vii.17"
"4"	"Diadocidia"	"sp."	"Ruthe, 1831"	1	44	670	"2003.vii.17"
"5"	"Diadocidia"	"spinosula"	"Tollet, 1948"	1	44	1188	"2004.viii.09"
"6"	"Diadocidia"	"valida"	"Mik, 1874"	1	44	1188	"2004.viii.09"
"7"	"Diadocidia"	"sp."	"Ruthe, 1831"	3	44	1188	"2004.viii.09"
"8"	"Diadocidia"	"spinosula"	"Tollet, 1948"	1	17	1514	"2005.v.31"
"9"	"Diadocidia"	"sp."	"Ruthe, 1831"	3	17	1514	"2005.v.31"
"10"	"Diadocidia"	"sp."	"Ruthe, 1831"	1	17	1516	"2005.vii.01"
"11"	"Diadocidia"	"spinosula"	"Tollet, 1948"	1	17	275	"2003.ix.10"
"12"	"Diadocidia"	"trispinosa"	"Polevoi, 1996"	1	42	1165	"2004.vi.17"
"13"	"Diadocidia"	"ferruginosa"	"(Meigen, 1830)"	1	42	1165	"2004.vi.17"
"14"	"Diadocidia"	"valida"	"Mik, 1874"	1	1008	2000	"2006.ix.05"
"15"	"Diadocidia"	"sp."	"Ruthe, 1831"	2	1008	2000	"2006.ix.05"
"16"	"Diadocidia"	"spinosula"	"Tollet, 1948"	3	1006	1902	"2005.ix.26"
"17"	"Diadocidia"	"sp."	"Ruthe, 1831"	2	1006	1902	"2005.ix.26"
"18"	"Diadocidia"	"sp."	"Ruthe, 1831"	1	1006	1902	"2005.ix.26"
"19"	"Diadocidia"	"sp. n. 2"	"sp. n."	2	1003	1389	"2005.vii.24"
"20"	"Diadocidia"	"spinosula"	"Tollet, 1948"	1	1003	1389	"2005.vii.24"
"21"	"Diadocidia"	"sp. n. 2"	"sp. n."	1	1003	1388	"2005.vii.10"
"22"	"Diadocidia"	"sp."	"Ruthe, 1831"	13	1003	1388	"2005.vii.10"
"23"	"Diadocidia"	"ferruginosa"	"(Meigen, 1830)"	1	1003	1386	"2005.vi.18"
"24"	"Diadocidia"	"sp."	"Ruthe, 1831"	2	1003	1386	"2005.vi.18"
"25"	"Diadocidia"	"sp."	"Ruthe, 1831"	1	34	547	"2003.viii.20"
