"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Diadocidia"	"valida"	"Mik, 1874"	1	10	401	"2003.ix.16"
"2"	"Symmerus"	"annulatus"	"(Meigen, 1830)"	1	10	397	"2003.vii.08"
"3"	"Diadocidia"	"valida"	"Mik, 1874"	1	10	401	"2003.ix.16"
"4"	"Platurocypta"	"punctum"	"(Stannius, 1831)"	1	3	109	"2003.viii.04"
"5"	"Diadocidia"	"furcata"	"n. sp."	1	4	114	"2003.viii.04"
"6"	"Diadocidia"	"spinosula"	"Tollet, 1948"	1	4	88	"2003.vii.02"
"7"	"Diadocidia"	"ferruginosa"	"(Meigen, 1830)"	3	10	408	"2004.v.13"
"8"	"Diadocidia"	"trispinosa"	"Polevoi, 1996"	3	10	408	"2004.v.13"
"9"	"Diadocidia"	"n. sp. 1"	"n. sp."	1	4	114	"2003.viii.04"
"10"	"Diadocidia"	"n. sp. 1"	"n. sp."	1	4	114	"2003.viii.04"
"11"	"Diadocidia"	"spinosula"	"Tollet, 1948"	3	4	89	"2003.vii.21"
"12"	"Diadocidia"	"valida"	"Mik, 1874"	1	44	673	"2003.viii.29"
"13"	"Symmerus"	"annulatus"	"(Meigen, 1830)"	2	37	833	"2004.vii.03"
"14"	"Symmerus"	"annulatus"	"(Meigen, 1830)"	3	8	1602	"2005.vi.20"
"15"	"Symmerus"	"annulatus"	"(Meigen, 1830)"	1	1001	1329	"2005.vi.04"
"16"	"Symmerus"	"annulatus"	"(Meigen, 1830)"	1	17	1516	"2005.vii.01"
"17"	"Symmerus"	"nobilis"	"Lackschewitz, 1937"	1	44	670	"2003.vii.17"
"18"	"Symmerus"	"nobilis"	"Lackschewitz, 1937"	1	44	1186	"2004.vii.05"
"19"	"Symmerus"	"nobilis"	"Lackschewitz, 1937"	1	37	833	"2004.vii.03"
"20"	"Symmerus"	"sp."	"Walker, 1848"	1	37	833	"2004.vii.03"
"21"	"Symmerus"	"sp."	"Walker, 1848"	1	18	341	"2004.vi.30"
"22"	"Symmerus"	"sp."	"Walker, 1848"	1	8	1602	"2005.vi.20"
"23"	"Sciarosoma"	"borealis"	"Chandler, 2002"	1	58	754	"2004.iv.20"
"24"	"Diadocidia"	"furcata"	"n. sp."	2	1353	1996	"2005.ix.09"
