"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Bioblapsis"	"cultiformis"	"(Davis, 1897)"	1	57	1276	"2004.viii.20"
"2"	"Bioblapsis"	"cultiformis"	"(Davis, 1897)"	1	47	699	"2004.vi.01"
"3"	"Campocraspedon"	"annulitarsis"	"(Hedwig, 1938)"	1	1002	1370	"2005.iv.26"
"4"	"Campocraspedon"	"annulitarsis"	"(Hedwig, 1938)"	1	22	1313	"2005.vi.01"
"5"	"Campocraspedon"	"annulitarsis"	"(Hedwig, 1938)"	2	22	1725	"2006.v.20"
"6"	"Campocraspedon"	"annulitarsis"	"(Hedwig, 1938)"	1	8	393	"2003.viii.19"
"7"	"Campocraspedon"	"annulitarsis"	"(Hedwig, 1938)"	2	30	1717	"2005.vi.16"
"8"	"Campocraspedon"	"annulitarsis"	"(Hedwig, 1938)"	1	30	1717	"2005.vi.16"
"9"	"Campocraspedon"	"annulitarsis"	"(Hedwig, 1938)"	1	27	487	"2004.vi.02"
"10"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	1	1002	1372	"2005.vi.04"
"11"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	4	1001	1728	"2006.v.18"
"12"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	9	22	1312	"2005.v.20"
"13"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	3	22	1313	"2005.vi.01"
"14"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	2	22	1314	"2005.vi.15"
"15"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	1	22	1725	"2006.v.20"
"16"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	1	1001	1728	"2006.v.18"
"17"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	1	22	775	"2004.v.01"
"18"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	4	22	1725	"2006.v.20"
"19"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	1	22	776	"2004.vi.01"
"20"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	1	1	316	" 2004.v.28"
"21"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	1	1	79	"2003.vi.17"
"22"	"Diplazon"	"albotibialis"	"Dasch, 1964"	1	1008	1337	"2005.v.25"
"23"	"Diplazon"	"angustus"	"Dasch, 1964"	1	7	858	"2004.vi.27"
"24"	"Diplazon"	"annulatus"	"(Gravenhorst, 1829)"	1	1000	1323	"2005.vii.02"
"25"	"Diplazon"	"annulatus"	"(Gravenhorst, 1829)"	1	24	817	"2003.vii.15"
"26"	"Diplazon"	"deletus"	"(Thomson, 1890)"	1	43	1170	"2004.vii.14"
"27"	"Diplazon"	"deletus"	"(Thomson, 1890)"	1	1002	1376	"2005.vii.15"
