"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Diplazontinae"	"sp."	"Viereck, 1918"	"https://www.dyntaxa.se/taxon/info/1000028"	"DynTaxa"	NA	"Diplazontinae sp."
"2"	"Bioblapsis"	"sp."	"Förster, 1869"	"https://www.dyntaxa.se/taxon/info/1014767"	"DynTaxa"	NA	"Bioblapsis sp."
"3"	"Bioblapsis"	"cultiformis"	"(Davis, 1897)"	"https://www.dyntaxa.se/taxon/info/255438"	"DynTaxa"	NA	"Bioblapsis cultiformis"
"4"	"Bioblapsis"	"polita"	"(Vollenhoven, 1878)"	"https://www.dyntaxa.se/taxon/info/255439"	"DynTaxa"	NA	"Bioblapsis polita"
"5"	"Campocraspedon"	"sp."	"Uchida, 1957"	"https://www.dyntaxa.se/taxon/info/1014768"	"DynTaxa"	NA	"Campocraspedon sp."
"6"	"Campocraspedon"	"annulitarsis"	"(Hedwig, 1938)"	"https://www.dyntaxa.se/taxon/info/255440"	"DynTaxa"	NA	"Campocraspedon annulitarsis"
"7"	"Campocraspedon"	"caudatus"	"(Thomson, 1890)"	"https://www.dyntaxa.se/taxon/info/255441"	"DynTaxa"	NA	"Campocraspedon caudatus"
"8"	"Diplazon"	"sp."	"Nees, 1818"	"https://www.dyntaxa.se/taxon/info/1014769"	"DynTaxa"	NA	"Diplazon sp."
"9"	"Diplazon"	"annulatus"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/255442"	"DynTaxa"	NA	"Diplazon annulatus"
"10"	"Diplazon"	"deletus"	"(Thomson, 1890)"	"https://www.dyntaxa.se/taxon/info/255443"	"DynTaxa"	NA	"Diplazon deletus"
"11"	"Diplazon"	"hyperboreus"	"(Marshall, 1877)"	"https://www.dyntaxa.se/taxon/info/255444"	"DynTaxa"	NA	"Diplazon hyperboreus"
"12"	"Diplazon"	"laetatorius"	"(Fabricius, 1781)"	"https://www.dyntaxa.se/taxon/info/255445"	"DynTaxa"	NA	"Diplazon laetatorius"
"13"	"Diplazon"	"neoalpinus"	"Zwakhals, 1979"	"https://www.dyntaxa.se/taxon/info/255446"	"DynTaxa"	NA	"Diplazon neoalpinus"
"14"	"Diplazon"	"pectoratorius"	"(Thunberg, 1824)"	"https://www.dyntaxa.se/taxon/info/255447"	"DynTaxa"	NA	"Diplazon pectoratorius"
"15"	"Diplazon"	"scutatorius"	"Teunissen, 1943"	"https://www.dyntaxa.se/taxon/info/255448"	"DynTaxa"	NA	"Diplazon scutatorius"
"16"	"Diplazon"	"tetragonus"	"(Thunberg, 1824)"	"https://www.dyntaxa.se/taxon/info/255449"	"DynTaxa"	NA	"Diplazon tetragonus"
"17"	"Diplazon"	"tibiatorius"	"(Thunberg, 1824)"	"https://www.dyntaxa.se/taxon/info/255450"	"DynTaxa"	NA	"Diplazon tibiatorius"
"18"	"Diplazon"	"varicoxa"	"(Thomson, 1890)"	"https://www.dyntaxa.se/taxon/info/255451"	"DynTaxa"	NA	"Diplazon varicoxa"
"19"	"Enizemum"	"sp."	"Förster, 1869"	"https://www.dyntaxa.se/taxon/info/1014770"	"DynTaxa"	NA	"Enizemum sp."
"20"	"Enizemum"	"nigricorne"	"(Thomson, 1890)"	"https://www.dyntaxa.se/taxon/info/255452"	"DynTaxa"	NA	"Enizemum nigricorne"
"21"	"Enizemum"	"ornatum"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/255453"	"DynTaxa"	NA	"Enizemum ornatum"
"22"	"Phthorima"	"sp."	"Förster, 1869"	"https://www.dyntaxa.se/taxon/info/1014771"	"DynTaxa"	NA	"Phthorima sp."
"23"	"Phthorima"	"compressa"	"(Desvignes, 1856)"	"https://www.dyntaxa.se/taxon/info/255454"	"DynTaxa"	NA	"Phthorima compressa"
"24"	"Phthorima"	"xanthaspis"	"(Thomson, 1890)"	"https://www.dyntaxa.se/taxon/info/255455"	"DynTaxa"	NA	"Phthorima xanthaspis"
"25"	"Promethes"	"sp."	"Förster, 1869"	"https://www.dyntaxa.se/taxon/info/1014772"	"DynTaxa"	NA	"Promethes sp."
"26"	"Promethes"	"bridgmani"	"Fitton, 1976"	"https://www.dyntaxa.se/taxon/info/255456"	"DynTaxa"	NA	"Promethes bridgmani"
