"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Dixidae"	"sp."	NA	"http://dyntaxa.se/taxon/info/2001296"	"Dyntaxa"	"Dixidae sp."
"2"	"Dixa"	"sp."	"Meigen, 1818"	"http://dyntaxa.se/taxon/info/1014057"	"Dyntaxa"	"Dixa sp."
"3"	"Dixa"	"borealis"	"Martini, 1928"	"http://dyntaxa.se/taxon/info/251626"	"Dyntaxa"	"Dixa borealis"
"4"	"Dixa"	"maculata"	"Meigen, 1818"	"http://dyntaxa.se/taxon/info/251627"	"Dyntaxa"	"Dixa maculata"
"5"	"Dixa"	"nebulosa"	"Meigen, 1830"	"http://dyntaxa.se/taxon/info/251628"	"Dyntaxa"	"Dixa nebulosa"
"6"	"Dixa"	"puberula"	"Loew, 1843"	"http://dyntaxa.se/taxon/info/251629"	"Dyntaxa"	"Dixa puberula"
"7"	"Dixella"	"sp."	"Dyar & Shannon, 1924"	"http://dyntaxa.se/taxon/info/1014058"	"Dyntaxa"	"Dixella sp."
"8"	"Dixella"	"aestivalis"	"(Meigen, 1818)"	"http://dyntaxa.se/taxon/info/251633"	"Dyntaxa"	"Dixella aestivalis"
"9"	"Dixella"	"amphibia"	"(De Geer, 1776)"	"http://dyntaxa.se/taxon/info/251634"	"Dyntaxa"	"Dixella amphibia"
"10"	"Dixella"	"dyari"	"(Garrett, 1924)"	"http://dyntaxa.se/taxon/info/251635"	"Dyntaxa"	"Dixella dyari"
"11"	"Dixella"	"hyperborea"	"(Bergroth, 1889)"	"http://dyntaxa.se/taxon/info/251636"	"Dyntaxa"	"Dixella hyperborea"
"12"	"Dixella"	"nigra"	"(Staeger, 1840)"	"http://dyntaxa.se/taxon/info/251638"	"Dyntaxa"	"Dixella nigra"
"13"	"Dixella"	"obscura"	"(Loew, 1849)"	"http://dyntaxa.se/taxon/info/251639"	"Dyntaxa"	"Dixella obscura"
"14"	"Dixella"	"serotina"	"(Meigen, 1818)"	"http://dyntaxa.se/taxon/info/251640"	"Dyntaxa"	"Dixella serotina"
"15"	"Dixa"	"nubilipennis"	"Curtis 1832"	"urn:lsid:faunaeur.org:taxname:135100"	"Fauna Europaea"	"Dixa nubilipennis"
