"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Dolichopodidae"	"sp."	"Latreille, 1809"	"http://dyntaxa.se/taxon/info/2001321"	NA	"Dyntaxa"	"Dolichopodidae sp."
"2"	"Australachalcus"	"sp."	"Pollet, 2005"	"http://dyntaxa.se/taxon/info/6003558"	NA	"Dyntaxa"	"Australachalcus sp."
"3"	"Australachalcus"	"melanotrichus"	"(Mik, 1878)"	"http://dyntaxa.se/taxon/info/239919"	NA	"Dyntaxa"	"Australachalcus melanotrichus"
"4"	"Achalcus"	"sp."	"Loew, 1857"	"http://www.faunaeur.org/full_results.php?id=135151"	NA	"Fauna Europaea"	"Achalcus sp."
"5"	"Achalcus"	"cinereus"	"(Haliday, 1851)"	"http://dyntaxa.se/taxon/info/239917"	NA	"Dyntaxa"	"Achalcus cinereus"
"6"	"Achalcus"	"flavicollis"	"(Meigen, 1824)"	"http://dyntaxa.se/taxon/info/239918"	NA	"Dyntaxa"	"Achalcus flavicollis"
"7"	"Achalcus"	"bimaculatus"	"Pollet, 1996"	"http://dyntaxa.se/taxon/info/250187"	NA	"Dyntaxa"	"Achalcus bimaculatus"
"8"	"Achalcus"	"nigropunctatus"	"Pollet & Bruhnes, 1996"	"http://dyntaxa.se/taxon/info/250188"	NA	"Dyntaxa"	"Achalcus nigropunctatus"
"9"	"Achalcus"	"thalhammeri"	"Lichtwardt, 1913"	"http://dyntaxa.se/taxon/info/250189"	NA	"Dyntaxa"	"Achalcus thalhammeri"
"10"	"Achalcus"	"vaillanti"	"Bruhnes, 1987"	"http://dyntaxa.se/taxon/info/250190"	NA	"Dyntaxa"	"Achalcus vaillanti"
"11"	"Cryptophlebs"	"sp."	"Lichtwardt, 1898"	"http://www.faunaeur.org/full_results.php?id=135389"	NA	"Fauna Europaea"	"Cryptophlebs sp."
"12"	"Cryptophlebs"	"kerteszi"	"Lichtwardt, 1898"	"http://dyntaxa.se/taxon/info/100761"	NA	"Dyntaxa"	"Cryptophlebs kerteszi"
"13"	"Chrysotus"	"sp."	"Meigen, 1824"	"http://www.faunaeur.org/full_results.php?id=135169"	NA	"Fauna Europaea"	"Chrysotus sp."
"14"	"Chrysotus"	"blepharosceles"	"Kowarz, 1874"	"http://dyntaxa.se/taxon/info/239950"	NA	"Dyntaxa"	"Chrysotus blepharosceles"
"15"	"Chrysotus"	"cilipes"	"Meigen, 1824"	"http://dyntaxa.se/taxon/info/239951"	NA	"Dyntaxa"	"Chrysotus cilipes"
"16"	"Chrysotus"	"cupreus"	"(Macquart, 1827)"	"http://dyntaxa.se/taxon/info/239952"	NA	"Dyntaxa"	"Chrysotus cupreus"
"17"	"Chrysotus"	"femoratus"	"Zetterstedt, 1843"	"http://dyntaxa.se/taxon/info/239953"	NA	"Dyntaxa"	"Chrysotus femoratus"
