"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Medetera"	"belgica"	"Parent, 1936"	1	1	79	"2003.vi.17"
"2"	"Medetera"	"abstrusa"	"Thuneberg, 1955"	2	1	79	"2003.vi.17"
"3"	"Medetera"	"belgica"	"Parent, 1936"	1	1	1574	"2005.viii.04"
"4"	"Medetera"	"pallipes"	"(Zetterstedt, 1843)"	1	1	1574	"2005.viii.04"
"5"	"Medetera"	"lorea"	"Negrobov, 1967"	1	1	1574	"2005.viii.04"
"6"	"Medetera"	"tristis"	"(Zetterstedt, 1838)"	1	2	81	"2003.vi.08"
"7"	"Medetera"	"tristis"	"(Zetterstedt, 1838)"	1	5	350	"2004.iv.016"
"8"	"Medetera"	"obscura"	"(Zetterstedt, 1838)"	1	5	350	"2004.iv.016"
"9"	"Medetera"	"melancholica"	"Lundbeck, 1912"	1	5	350	"2004.iv.016"
"10"	"Medetera"	"tristis"	"(Zetterstedt, 1838)"	3	5	350	"2004.iv.016"
"11"	"Medetera"	"acanthura"	"Negrobov & Thuneberg, 1970"	3	5	350	"2004.iv.016"
"12"	"Medetera"	"belgica"	"Parent, 1936"	1	5	764	"2004.vi.16"
"13"	"Medetera"	"belgica"	"Parent, 1936"	2	5	764	"2004.vi.16"
"14"	"Medetera"	"takagii"	"Negrobov, 1970"	1	5	764	"2004.vi.16"
"15"	"Medetera"	"melancholica"	"Lundbeck, 1912"	1	5	764	"2004.vi.16"
"16"	"Medetera"	"belgica"	"Parent, 1936"	3	5	765	"2004.vi.30"
"17"	"Medetera"	"pseudoapicalis"	"Thuneberg, 1955"	2	5	765	"2004.vi.30"
"18"	"Medetera"	"truncorum"	"Meigen, 1824"	1	5	765	"2004.vi.30"
"19"	"Medetera"	"vagans"	"Becker, 1917"	1	5	765	"2004.vi.30"
"20"	"Medetera"	"belgica"	"Parent, 1936"	2	5	765	"2004.vi.30"
"21"	"Medetera"	"vagans"	"Becker, 1917"	1	5	765	"2004.vi.30"
"22"	"Medetera"	"infumata"	"Loew, 1857"	1	5	765	"2004.vi.30"
"23"	"Medetera"	"acanthura"	"Negrobov & Thuneberg, 1970"	3	5	765	"2004.vi.30"
"24"	"Medetera"	"borealis"	"Thuneberg, 1955"	1	5	765	"2004.vi.30"
"25"	"Medetera"	"jacula"	"(Fallén, 1823)"	2	5	768	"2004.viii.16"
"26"	"Medetera"	"unisetosa"	"Collin, 1941"	1	5	768	"2004.viii.16"
"27"	"Medetera"	"jacula"	"(Fallén, 1823)"	2	5	768	"2004.viii.16"
