"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Amiota"	"alboguttata"	"(Wahlberg, 1839)"	"urn:lsid:dyntaxa.se:TaxonName:97818"	"Dyntaxa"	NA	"Amiota alboguttata"
"2"	"Chymomyza"	"amoena"	"(Loew, 1862)"	"urn:lsid:dyntaxa.se:TaxonName:225620"	"Dyntaxa"	NA	"Chymomyza amoena"
"3"	"Chymomyza"	"caudatula"	"Oldenburg, 1914"	"urn:lsid:dyntaxa.se:TaxonName:151500"	"Dyntaxa"	NA	"Chymomyza caudatula"
"4"	"Chymomyza"	"costata"	"(Zetterstedt, 1838)"	"urn:lsid:dyntaxa.se:TaxonName:51298"	"Dyntaxa"	NA	"Chymomyza costata"
"5"	"Chymomyza"	"fuscimana"	"(Zetterstedt, 1938)"	"urn:lsid:dyntaxa.se:TaxonName:51300"	"Dyntaxa"	NA	"Chymomyza fuscimana"
"6"	"Drosophila"	"busckii"	"Cocquillett, 1901"	"urn:lsid:dyntaxa.se:TaxonName:51304"	"Dyntaxa"	NA	"Drosophila busckii"
"7"	"Drosophila"	"funebris"	"(Fabricius, 1787)"	"urn:lsid:dyntaxa.se:TaxonName:51307"	"Dyntaxa"	NA	"Drosophila funebris"
"8"	"Drosophila"	"histrio"	"Meigen, 1830"	"urn:lsid:dyntaxa.se:TaxonName:51308"	"Dyntaxa"	NA	"Drosophila histrio"
"9"	"Drosophila"	"hydei"	"Sturtevant, 1921"	"urn:lsid:dyntaxa.se:TaxonName:51310"	"Dyntaxa"	NA	"Drosophila hydei"
"10"	"Drosophila"	"immigrans"	"Sturtevant, 1921"	"urn:lsid:dyntaxa.se:TaxonName:51309"	"Dyntaxa"	NA	"Drosophila immigrans"
"11"	"Drosophila"	"littoralis"	"Meigen, 1830"	"urn:lsid:dyntaxa.se:TaxonName:51313"	"Dyntaxa"	NA	"Drosophila littoralis"
"12"	"Drosophila"	"melanogaster"	"Meigen, 1830"	"urn:lsid:dyntaxa.se:TaxonName:51315"	"Dyntaxa"	NA	"Drosophila melanogaster"
"13"	"Drosophila"	"obscura"	"Fallén, 1823"	"urn:lsid:dyntaxa.se:TaxonName:51317"	"Dyntaxa"	NA	"Drosophila obscura"
"14"	"Drosophila"	"phalerata"	"Meigen, 1830"	"urn:lsid:dyntaxa.se:TaxonName:51318"	"Dyntaxa"	NA	"Drosophila phalerata"
"15"	"Drosophila"	"subobscura"	"Collin, 1936"	"urn:lsid:dyntaxa.se:TaxonName:51322"	"Dyntaxa"	NA	"Drosophila subobscura"
"16"	"Drosophila"	"subsilvestris"	"Hardy & Kaneshiro, 1968"	"urn:lsid:dyntaxa.se:TaxonName:51323"	"Dyntaxa"	NA	"Drosophila subsilvestris"
"17"	"Drosophila"	"testacea"	"von Roser, 1840"	"urn:lsid:dyntaxa.se:TaxonName:51324"	"Dyntaxa"	NA	"Drosophila testacea"
"18"	"Drosophila"	"transversa"	"Fallén, 1823"	"urn:lsid:dyntaxa.se:TaxonName:51325"	"Dyntaxa"	NA	"Drosophila transversa"
"19"	"Drosophila"	"tristis"	"Fallén, 1823"	"urn:lsid:dyntaxa.se:TaxonName:51326"	"Dyntaxa"	NA	"Drosophila tristis"
"20"	"Hirtodrosophila"	"cameraria"	"(Haliday, 1833)"	"urn:lsid:dyntaxa.se:TaxonName:51328"	"Dyntaxa"	NA	"Hirtodrosophila cameraria"
"21"	"Lordiphosa"	"andalusiaca"	"(Strobl, 1906)"	"urn:lsid:dyntaxa.se:TaxonName:51337"	"Dyntaxa"	NA	"Lordiphosa andalusiaca"
"22"	"Lordiphosa"	"fenestrarum"	"(Fallén, 1823)"	"urn:lsid:dyntaxa.se:TaxonName:51338"	"Dyntaxa"	NA	"Lordiphosa fenestrarum"
"23"	"Lordiphosa"	"nigricolor"	"(Strobl, 1898)"	"urn:lsid:dyntaxa.se:TaxonName:51339"	"Dyntaxa"	NA	"Lordiphosa nigricolor"
"24"	"Microdrosophila"	"congesta"	"(Zetterstedt, 1847)"	"urn:lsid:dyntaxa.se:TaxonName:51340"	"Dyntaxa"	NA	"Microdrosophila congesta"
