"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Aphelopus"	"atratus"	"(Dalman, 1823)"	1	2003	2036	"2006.vii.24"
"2"	"Gonatopus"	"clavipes"	"(Thunberg, 1827)"	1	2003	2036	"2006.vii.24"
"3"	"Gonatopus"	"helleni"	"(Raatikainen, 1961)"	1	2003	2036	"2006.vii.24"
"4"	"Aphelopus"	"melaleucus"	"(Dalman, 1818)"	2	33	1078	"2004.v.30"
"5"	"Anteon"	"gaullei"	"Kieffer, 1905"	1	33	1078	"2004.v.30"
"6"	"Anteon"	"infectum"	"(Haliday, 1837)"	1	33	1078	"2004.v.30"
"7"	"Anteon"	"gaullei"	"Kieffer, 1905"	1	31	1547	"2005.vii.15"
"8"	"Aphelopus"	"atratus"	"(Dalman, 1823)"	7	2046	2054	"2008.vii.01"
"9"	"Anteon"	"fulviventre"	"(Haliday, 1828)"	4	2046	2054	"2008.vii.01"
"10"	"Anteon"	"pubicorne"	"(Dalman, 1818)"	11	2046	2054	"2008.vii.01"
"11"	"Anteon"	"tripartitum"	"Kieffer, 1905"	2	2046	2054	"2008.vii.01"
"12"	"Lonchodryinus"	"ruficornis"	"(Dalman, 1818)"	2	2046	2054	"2008.vii.01"
"13"	"Aphelopus"	"serratus"	"Richards, 1939"	1	18	342	"2004.vii.10"
"14"	"Anteon"	"sp."	"Jurine, 1807"	1	18	342	"2004.vii.10"
"15"	"Anteon"	"fulviventre"	"(Haliday, 1828)"	2	26	1681	"2004.vii.15"
"16"	"Anteon"	"gaullei"	"Kieffer, 1905"	1	26	1681	"2004.vii.15"
"17"	"Anteon"	"flavicorne"	"(Dalman, 1818)"	1	26	1681	"2004.vii.15"
"18"	"Aphelopus"	"serratus"	"Richards, 1939"	1	9	355	"2003.vi.18"
"19"	"Anteon"	"fulviventre"	"(Haliday, 1828)"	4	9	355	"2003.vi.18"
"20"	"Aphelopus"	"atratus"	"(Dalman, 1823)"	1	1002	1378	"2005.vii.23"
"21"	"Aphelopus"	"camus"	"Richards, 1939"	1	1002	1378	"2005.vii.23"
"22"	"Anteon"	"exiguum"	"(Haupt, 1941)"	5	1002	1378	"2005.vii.23"
"23"	"Anteon"	"gaullei"	"Kieffer, 1905"	3	1002	1378	"2005.vii.23"
"24"	"Anteon"	"pubicorne"	"(Dalman, 1818)"	2	1002	1378	"2005.vii.23"
"25"	"Lonchodryinus"	"ruficornis"	"(Dalman, 1818)"	3	1002	1378	"2005.vii.23"
"26"	"Aphelopus"	"serratus"	"Richards, 1939"	1	30	1717	"2005.vi.16"
"27"	"Anteon"	"flavicorne"	"(Dalman, 1818)"	1	30	1717	"2005.vi.16"
"28"	"Anteon"	"fulviventre"	"(Haliday, 1828)"	5	30	1717	"2005.vi.16"
"29"	"Anteon"	"pubicorne"	"(Dalman, 1818)"	1	30	1717	"2005.vi.16"
"30"	"Anteon"	"exiguum"	"(Haupt, 1941)"	1	31	503	"2003.vii.10"
"31"	"Anteon"	"gaullei"	"Kieffer, 1905"	1	31	503	"2003.vii.10"
"32"	"Anteon"	"pubicorne"	"(Dalman, 1818)"	1	31	503	"2003.vii.10"
"33"	"Aphelopus"	"atratus"	"(Dalman, 1823)"	1	24	1673	"2005.v.31"
"34"	"Aphelopus"	"melaleucus"	"(Dalman, 1818)"	9	24	1673	"2005.v.31"
"35"	"Aphelopus"	"serratus"	"Richards, 1939"	1	24	1673	"2005.v.31"
"36"	"Anteon"	"fulviventre"	"(Haliday, 1828)"	8	24	1673	"2005.v.31"
"37"	"Anteon"	"pubicorne"	"(Dalman, 1818)"	19	24	1673	"2005.v.31"
"38"	"Aphelopus"	"atratus"	"(Dalman, 1823)"	1	24	1309	"2004.vi.27"
"39"	"Aphelopus"	"melaleucus"	"(Dalman, 1818)"	3	24	1309	"2004.vi.27"
"40"	"Aphelopus"	"nigriceps"	"Kieffer, 1905"	1	24	1309	"2004.vi.27"
"41"	"Aphelopus"	"serratus"	"Richards, 1939"	2	24	1309	"2004.vi.27"
"42"	"Anteon"	"fulviventre"	"(Haliday, 1828)"	8	24	1309	"2004.vi.27"
"43"	"Anteon"	"pubicorne"	"(Dalman, 1818)"	6	24	1309	"2004.vi.27"
"44"	"Gonatopus"	"clavipes"	"(Thunberg, 1827)"	2	24	1309	"2004.vi.27"
"45"	"Lonchodryinus"	"ruficornis"	"(Dalman, 1818)"	6	50	1975	"2005.vii.20"
"46"	"Anteon"	"sp."	"Jurine, 1807"	1	50	1975	"2005.vii.20"
